% Model:              2D-Au-Plate-from-wl.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 14 2025, 02:18
% Dimension:          1
% Nodes:              71
% Expressions:        4
% Description:        Table graph
% lambda0 (nm),C_ED (m^2),C_MD (m^2),C_EQ (m^2),C_MQ (m^2)
400,1.064067807796665,0.9948863497799947,0.20481228097672308,0.041645769191613044
410,1.0082164651974772,0.3743031874314086,0.20999194583862338,0.07681904042413229
419.99999999999994,0.6272016288107101,0.5000498604375392,0.45578149648895094,0.10970766035214961
429.99999999999994,0.26161982946541884,0.5889468493425619,0.33449021620341396,0.20389189678298605
439.99999999999994,1.0610446324160463,1.0070128708553678,0.33851470832045605,0.13743972729916218
450,2.053777844015866,1.1384430090240623,0.2750083696343231,0.004592683109076979
460,2.3970323292963673,1.2585954405954165,0.17244906189505738,0.0014685368532554059
470,2.2414690732614035,1.721188920983452,0.1159045666325507,0.0039016370069147855
480,2.640077181796966,2.1617443649830617,0.08084792079668732,0.008632125874346672
490,3.1962824011226854,0.8506382442939943,0.030042996093029746,0.018806750755936314
500,2.8418894987602075,0.049411592798171027,0.004900023829197651,0.023955702525558894
509.99999999999994,2.6172247072315673,0.013551419252848015,0.029441349774398988,0.034275962981731446
519.9999999999999,2.531758599377563,0.06337982018167196,0.38111472799712637,0.03482606753204505
530,2.176017721684526,0.10310381082122473,0.6070414900530477,0.03640068913047241
540,1.8100942219843967,0.12661090230283042,0.3540885154920212,0.04128347388030562
550,1.525396492139501,0.12287032035766415,0.2453729870124079,0.06004912461671328
560,1.1786104240020152,0.09618907912885877,0.1615151915584717,0.10346270246634434
570,0.589647247463586,0.1013117167162461,0.14394154082819385,0.15271148460137332
580,0.1284595525518296,0.1549015661901571,0.2088412255270875,0.1907919577369813
590,0.020014987778245955,0.22984383119135926,0.3583724332320052,0.2412157865369169
600,0.26119833871365183,0.2986956512760972,0.4016979663679913,0.37764386389711413
610,0.5897579692628322,0.41834240454451954,0.2994105163255648,0.995907842791153
619.9999999999999,2.5771414621953848,0.3271248980620394,0.15227089918699974,0.5639981659360913
629.9999999999999,3.429374957702427,0.364345210251982,0.14417206074981892,0.07334142357404769
639.9999999999999,4.595768572578612,0.40870300903494816,0.14422752006666298,0.022076995924848145
650,6.167503716454855,0.46008768630842645,0.14126225666782605,0.013509950958551117
660,8.181298674648879,0.5295345475320454,0.13732410423722996,0.012533365985849292
670,10.690332864398615,0.6286077084741701,0.13310701557500018,0.013456498826635646
680,13.888218079037767,0.7815830779577312,0.1290290817945698,0.015060755929047685
690,17.906273091221273,1.023917327819993,0.124262582605948,0.016986043006032583
700,22.7643933595363,1.4095025790643116,0.11733862215420338,0.019025695791317784
710,28.177201923867173,2.0271750219289975,0.10565218936823509,0.02074601586577175
720,32.777004842431865,2.9039929579249977,0.08725541903341709,0.02137711532113718
729.9999999999999,34.5707913537178,3.996063618499508,0.062761473615135,0.020058665724156825
739.9999999999999,31.901559636991916,5.040116964660581,0.03786836012950085,0.01660541829449703
749.9999999999999,25.627187629190477,5.79640109323527,0.01953906460383069,0.01208182103331449
759.9999999999999,18.450501651039804,6.216608659128122,0.010413443864078343,0.007978829522752402
770,12.305054024146358,6.443812514481994,0.00806579077336422,0.004935361736255736
780,7.929261882207824,6.6651505389438155,0.009211833199242203,0.002968951375196671
790,5.137983072156605,7.10984570120199,0.011583747705043492,0.001780410778519403
800,3.598049954930904,8.157175656726544,0.013985418537042417,0.0011298781088872937
810,2.967888222286616,10.74337983257353,0.015819103568386284,9.006653730946807E-4
820,2.9380915286886538,15.222864274852999,0.016913873703800424,0.0010710098054420606
830,3.267976100136237,12.711207660899417,0.017223365017105544,0.0010043609947035098
839.9999999999999,3.755694907733641,7.698244399689923,0.01681837575127916,6.755764894614004E-4
849.9999999999999,4.234220974637497,5.357508494810588,0.015861940972061006,4.990156468459657E-4
859.9999999999999,4.618257972169015,4.128927943322987,0.014550651066094537,4.0612036866667065E-4
869.9999999999999,4.854738808965549,3.3431519362303197,0.013084302999589131,3.4692824818863434E-4
879.9999999999999,4.954047988718304,2.7436614691711436,0.011576749486357427,3.0076636617886284E-4
890,4.923388658210134,2.277617593437114,0.010161213795708536,2.614687646328764E-4
900,4.796839702355445,1.8956014273578208,0.008874670594876356,2.263650434075087E-4
910,4.604018611927778,1.5809952611375628,0.007737367652573655,1.9491476804898763E-4
920,4.3707294332157,1.3219042310166729,0.006750811257066735,1.6700120945317628E-4
930,4.118467683913458,1.1126908852527544,0.005914244622393029,1.4274685096997837E-4
940,3.857299694169088,0.9357870522780136,0.005191260189691886,1.2147480335225085E-4
949.9999999999999,3.6009468372337623,0.792625531937181,0.004583698646150883,1.033592854198868E-4
960,3.3530966061493546,0.6736248793261751,0.00406654246598932,8.786219419706704E-5
969.9999999999999,3.1174019345711748,0.5745010542790586,0.0036260725902872793,7.466955012421998E-5
980,2.895713455133671,0.4916908616491954,0.0032500586722555235,6.347477982675392E-5
989.9999999999999,2.688848794680467,0.42234883013203856,0.0029278749405519,5.399504971877158E-5
1000,2.4986434003578033,0.36522649941060026,0.0026535181067181917,4.605952933030885E-5
1010,2.3210603729065618,0.3158781526446413,0.002413544514709002,3.926965648490162E-5
1019.9999999999999,2.158874430261731,0.27493799258779567,0.0022070062761959937,3.358938690337038E-5
1030,2.00951102961477,0.24005022929506176,0.0020259613645043167,2.877657045055402E-5
1039.9999999999998,1.8720934461450505,0.21022776221348322,0.0018661340886885315,2.4695288005532024E-5
1050,1.7457295255472054,0.18465815993808987,0.001723991011486811,2.1230595513840143E-5
1060,1.6295300957602936,0.16266906543327056,0.001596619046662351,1.8285518391556114E-5
