% Model:              3D-Ag-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 14 2025, 23:49
% Dimension:          1
% Nodes:              51
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),F_x (N),F_y (N),F_z (N)
300,7.898387501905601E-30,1.6456760047520802E-31,-1.087283115993648E-29
302,7.70375302768057E-30,1.6450704165542023E-31,-1.0595441848511867E-29
304,7.515426353614673E-30,1.6444902308297974E-31,-1.0327062218891835E-29
306,7.333161157380909E-30,1.6439316106431103E-31,-1.0067339507694065E-29
307.99999999999994,7.156722978583195E-30,1.6433918487133574E-31,-9.815937593212161E-30
309.99999999999994,6.985888560929838E-30,1.6428692651261395E-31,-9.572536242798484E-30
312,6.820445083693037E-30,1.6423631121077811E-31,-9.336830292091072E-30
314,6.660189272441954E-30,1.6418734715247901E-31,-9.108528678900153E-30
316,6.504926449950999E-30,1.6414012124315041E-31,-8.887353325688938E-30
318,6.354469607260506E-30,1.6409481313039335E-31,-8.673037923489187E-30
319.99999999999994,6.208638554709671E-30,1.6405174128401817E-31,-8.465326693227762E-30
321.99999999999994,6.067259181020008E-30,1.6401145565013065E-31,-8.26397315679858E-30
324,5.930252101484543E-30,1.6396355855913215E-31,-8.068873681689966E-30
326,5.7972676714799645E-30,1.639287113392441E-31,-7.879534510191339E-30
328,5.6682482002325005E-30,1.6389976198078091E-31,-7.695854078987985E-30
330,5.543082551904365E-30,1.6380150564313234E-31,-7.517639572651796E-30
331.99999999999994,5.421627220323181E-30,1.6375864185488765E-31,-7.344745826393055E-30
333.99999999999994,5.303740709482309E-30,1.6371625529912322E-31,-7.176943852923171E-30
336,5.189297825703808E-30,1.6367402534383058E-31,-7.014055321421814E-30
338,5.078178912359487E-30,1.636316608836464E-31,-6.855909572238327E-30
340,4.970269499114904E-30,1.6358895837906858E-31,-6.702342939751169E-30
342,4.865546040008513E-30,1.6357892606002496E-31,-6.553433228453789E-30
343.99999999999994,4.76369385625356E-30,1.6354203595059066E-31,-6.408519179688355E-30
345.99999999999994,4.66473986939535E-30,1.635027182213541E-31,-6.267736028047636E-30
348,4.568585784667872E-30,1.6346166935783484E-31,-6.130942373824046E-30
350,4.475137291401646E-30,1.6341945198785426E-31,-5.9980027802912024E-30
352,4.3843033658191214E-30,1.6337674505014402E-31,-5.868786859051321E-30
354,4.295994395421885E-30,1.6333453109766388E-31,-5.743167048573996E-30
355.99999999999994,4.210120317999561E-30,1.6329380486978075E-31,-5.62101647464375E-30
357.99999999999994,4.126664569074562E-30,1.632185334719053E-31,-5.502220205315227E-30
360,4.045422932497933E-30,1.631831987273357E-31,-5.3867057712323446E-30
362,3.966390829582011E-30,1.6314634449454923E-31,-5.27434018886815E-30
364,3.889497460210172E-30,1.631083522968144E-31,-5.1650197890070494E-30
366,3.814670538231224E-30,1.6307007775905586E-31,-5.0586414417540436E-30
367.99999999999994,3.74184031225799E-30,1.6303206693148647E-31,-4.955106856570352E-30
369.99999999999994,3.670941840641623E-30,1.629944400889534E-31,-4.854324544810866E-30
372,3.601914696957075E-30,1.6295710891379403E-31,-4.7562089284348384E-30
374,3.5347016982943024E-30,1.629199664043629E-31,-4.660678537336653E-30
376,3.469247776728787E-30,1.628829517266728E-31,-4.567654516209699E-30
378,3.405499236013099E-30,1.6284602878165883E-31,-4.47705969054986E-30
379.99999999999994,3.3434034055060075E-30,1.6280911846604782E-31,-4.3888181925632355E-30
381.99999999999994,3.2829087711381775E-30,1.62772030887297E-31,-4.302855837310591E-30
384,3.223965746588937E-30,1.6273444936010442E-31,-4.219101468751411E-30
386,3.166528004856419E-30,1.6269602964207465E-31,-4.137489138687314E-30
388,3.1107081914058018E-30,1.6266579468217416E-31,-4.058216924720897E-30
390,3.0561491225928956E-30,1.626306773841856E-31,-3.980703848347057E-30
391.99999999999994,3.002957984716202E-30,1.6259520053412348E-31,-3.905138643390244E-30
393.99999999999994,2.951101729660161E-30,1.625587873404858E-31,-3.831477093531972E-30
395.99999999999994,2.9006297028179267E-30,1.6253696929630018E-31,-3.7598836931155275E-30
398,2.8513344911908533E-30,1.625043396683511E-31,-3.689881021660323E-30
400,2.8032573374627116E-30,1.6247177842517673E-31,-3.621612731293178E-30
