% Model:              2D-Au-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jul 2 2025, 20:50
% Dimension:          1
% Nodes:              61
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(px) (C*m),imag(px) (C*m),real(my) (m^2*A),imag(my) (m^2*A),real(pz) (C*m),imag(pz) (C*m)
800,8.047716525259004E-32,-3.1829789304307465E-31,-7.10891394125075E-24,2.0667123604586348E-23,-8.585665939540326E-32,-2.5308649121271506E-32
804.9999999999999,1.0332389548929117E-31,-3.278867073299106E-31,-8.286057917911512E-24,2.1770409880907908E-23,-8.565980174880877E-32,-3.067382589923509E-32
810,1.2491408533507805E-31,-3.3981631938361583E-31,-9.815776197486885E-24,2.2539293638441472E-23,-8.533849323679656E-32,-3.578681816527782E-32
814.9999999999999,1.4664635705159783E-31,-3.5329289239472042E-31,-1.1596082972317367E-23,2.3015441304966196E-23,-8.491586304550388E-32,-4.069871222245996E-32
820,1.6924988418345958E-31,-3.678017768055953E-31,-1.357971738201482E-23,2.32190679558087E-23,-8.440860633916925E-32,-4.5449474164162237E-32
825,1.9317507586141738E-31,-3.829649311941807E-31,-1.574480752098271E-23,2.3150250895723428E-23,-8.383099305547914E-32,-5.006404533629477E-32
830,2.1876715868723466E-31,-3.985114414431683E-31,-1.80772238895602E-23,2.2800283632550056E-23,-8.31834527180241E-32,-5.456883194839363E-32
835,2.4632501774246663E-31,-4.141918355591272E-31,-2.056782992675201E-23,2.2148155528176652E-23,-8.24646394054079E-32,-5.898161763177067E-32
839.9999999999999,2.7612268744716283E-31,-4.297747065314603E-31,-2.3209046219757552E-23,2.116525219745892E-23,-8.167544619051249E-32,-6.331477787120428E-32
845,3.0796072593419008E-31,-4.449059430359787E-31,-2.5938858365578064E-23,1.9837489657927187E-23,-8.084230368697643E-32,-6.753626893616907E-32
849.9999999999999,3.4253406227730797E-31,-4.59444073919024E-31,-2.8795130320478913E-23,1.810843217554843E-23,-7.994086870779967E-32,-7.169686392747527E-32
855,3.8012412505538855E-31,-4.730671011354696E-31,-3.176061167447721E-23,1.5925971767514368E-23,-7.897122103742606E-32,-7.579983028114461E-32
859.9999999999999,4.210192994964318E-31,-4.853828457335342E-31,-3.480996617164428E-23,1.3229006992655043E-23,-7.793386594280767E-32,-7.984687356482787E-32
865,4.6490166929804655E-31,-4.958905384710708E-31,-3.78490396953991E-23,9.998104833392515E-24,-7.68589852244094E-32,-8.380490837198678E-32
869.9999999999999,5.1257237675802445E-31,-5.0410574008529475E-31,-4.0885306622414247E-23,6.123084848402823E-24,-7.572116806654624E-32,-8.771127995019901E-32
875,5.649534816969708E-31,-5.092396123876103E-31,-4.390341944278059E-23,1.446596621702754E-24,-7.449123836304961E-32,-9.159504939484373E-32
879.9999999999999,6.216171493850517E-31,-5.104076382390817E-31,-4.674974991930168E-23,-4.073031485751968E-24,-7.320222955260073E-32,-9.542297023926823E-32
885,6.818562987470867E-31,-5.067456826503353E-31,-4.924534582605957E-23,-1.0434842502091276E-23,-7.188927863103387E-32,-9.91670228449073E-32
890,7.46255948900366E-31,-4.969612079747515E-31,-5.127954977046788E-23,-1.779864340926167E-23,-7.052580347952468E-32,-1.0285777419104712E-31
894.9999999999999,8.14213888711296E-31,-4.795876654200986E-31,-5.263309909511676E-23,-2.6208945563385447E-23,-6.911295775811801E-32,-1.064654293114406E-31
900,8.85005065096887E-31,-4.530924270592306E-31,-5.304038647783796E-23,-3.5705837958312134E-23,-6.765666138261576E-32,-1.100004955499408E-31
904.9999999999999,9.575096821569192E-31,-4.157903930445195E-31,-5.217105077283666E-23,-4.629095398357869E-23,-6.616206914152644E-32,-1.1348223690170044E-31
910,1.029887308245342E-30,-3.6606881811484034E-31,-4.9652203786386714E-23,-5.7864128994756E-23,-6.463431153581683E-32,-1.1691375067450627E-31
914.9999999999999,1.0995188965561517E-30,-3.025189164241283E-31,-4.5067968490784563E-23,-7.020641984663437E-23,-6.307714233098919E-32,-1.2029669095158816E-31
920,1.162987920314768E-30,-2.2430732047332046E-31,-3.8004786694627497E-23,-8.294367963257945E-23,-6.149419577797851E-32,-1.2363323296143415E-31
924.9999999999999,1.2158056197677912E-30,-1.329988669377953E-31,-2.827025617599243E-23,-9.534739058848818E-23,-5.992494552815843E-32,-1.2691008325172598E-31
930,1.2543211512489728E-30,-2.899057866803233E-32,-1.5591954793890487E-23,-1.0689742580026232E-22,-5.833677821206298E-32,-1.3014786073805021E-31
934.9999999999999,1.2741560606715912E-30,8.623141067921456E-32,2.481581376854617E-25,-1.1688679939496105E-22,-5.669525699081156E-32,-1.3336206016486068E-31
940,1.2716269124814792E-30,2.0627204626101996E-31,1.8745631248387388E-23,-1.2425265125839567E-22,-5.503925213309333E-32,-1.3654111901515135E-31
945,1.2460112254118477E-30,3.233357040728637E-31,3.89191089045906E-23,-1.281904269604717E-22,-5.340783524196595E-32,-1.3967702598141574E-31
949.9999999999999,1.1978581222614928E-30,4.325560562086957E-31,6.010574574062174E-23,-1.2832293790159844E-22,-5.176568936692759E-32,-1.427865047943738E-31
954.9999999999999,1.1301609279998042E-30,5.279886755690394E-31,8.126135629538845E-23,-1.244883471827592E-22,-5.011350471102104E-32,-1.4587171899093248E-31
960,1.0478179912946065E-30,6.052902958093001E-31,1.0137631311708957E-22,-1.1691666839201222E-22,-4.8452303097009334E-32,-1.4893739272558718E-31
965,9.566127094991903E-31,6.6214986023081095E-31,1.196216504501986E-22,-1.0613248622794423E-22,-4.678227133725604E-32,-1.5198681609554735E-31
969.9999999999999,8.623182972336626E-31,6.983675964916151E-31,1.3543990659612279E-22,-9.284866560085374E-23,-4.5103282988647064E-32,-1.5502353687188972E-31
974.9999999999999,7.6993351508308575E-31,7.1540331051139105E-31,1.4855325126151064E-22,-7.782489507317423E-23,-4.341461339590997E-32,-1.5804978830973306E-31
980,6.832711775696134E-31,7.159103435534738E-31,1.5894451060746145E-22,-6.177853059618072E-23,-4.171559112188421E-32,-1.6106980532891058E-31
985,6.048273667159317E-31,7.030064154574937E-31,1.6677110374025446E-22,-4.52948340837403E-23,-4.000422632267577E-32,-1.6408950561681576E-31
989.9999999999999,5.35928918796869E-31,6.798210948736822E-31,1.722928371400526E-22,-2.8804940590447077E-23,-3.8276517707377974E-32,-1.6712007217902622E-31
994.9999999999999,4.780432052861445E-31,6.499973735792317E-31,1.7577108558349814E-22,-1.2931396309470933E-23,-3.657277855838641E-32,-1.7014912631752734E-31
1000,4.298654535754408E-31,6.153254668556835E-31,1.7758754539156688E-22,2.4319064611903407E-24,-3.485215947596349E-32,-1.7318455627018674E-31
1005,3.904375140730991E-31,5.768204830948341E-31,1.7795804309383125E-22,1.7460841492246632E-23,-3.3072478459411776E-32,-1.762299171566033E-31
1010,3.5987784335334066E-31,5.3690819889886795E-31,1.7709928435751434E-22,3.1820132156774937E-23,-3.1270410520200236E-32,-1.792842795870866E-31
1014.9999999999999,3.375922559293267E-31,4.977209436999638E-31,1.7528516868778711E-22,4.5249437067739663E-23,-2.948342536561165E-32,-1.8234840720678747E-31
1019.9999999999999,3.2230206576487026E-31,4.592569640000123E-31,1.72618862404476E-22,5.804726040005512E-23,-2.7668780573769333E-32,-1.8542609091599272E-31
1025,3.132720061797864E-31,4.221968405518961E-31,1.6920401446554125E-22,7.024470620442221E-23,-2.5823333347608357E-32,-1.8851801190842485E-31
1030,3.097990153025455E-31,3.870606416169268E-31,1.6512006572137163E-22,8.18770360080265E-23,-2.3943798947310236E-32,-1.916254125480301E-31
1035,3.112569444915519E-31,3.5425163649890145E-31,1.6041675257388173E-22,9.297207960211887E-23,-2.202681473355518E-32,-1.9474815252847167E-31
1039.9999999999998,3.1704793816813285E-31,3.240821721578239E-31,1.5513250645236989E-22,1.0355458139426384E-22,-2.0068871145161863E-32,-1.9788709034665965E-31
1045,3.2663794076142984E-31,2.968077564849632E-31,1.4928704774820885E-22,1.1363531165807255E-22,-1.8066446133387052E-32,-2.010417173294498E-31
1050,3.3951530125866658E-31,2.7263226998560663E-31,1.4289520038655822E-22,1.2321714418394437E-22,-1.601590852118039E-32,-2.0421201689953806E-31
1055,3.552031156667804E-31,2.5173131990843537E-31,1.3596411686812933E-22,1.3228778217600308E-22,-1.391367576557007E-32,-2.0739689801863824E-31
1060,3.7323067610897987E-31,2.34242644844563E-31,1.2850315214025524E-22,1.4082690989801972E-22,-1.1756084887362524E-32,-2.105956529996389E-31
1064.9999999999998,3.9314246896389394E-31,2.202878624513814E-31,1.205212255200021E-22,1.4879791000555667E-22,-9.539655398963699E-33,-2.1380615982027044E-31
1070,4.1447179104464295E-31,2.0993749679898684E-31,1.1203793558411164E-22,1.5616326069031338E-22,-7.260731446637459E-33,-2.170274517811877E-31
1075,4.367568454282636E-31,2.0324055567057637E-31,1.030784043170496E-22,1.628721072119428E-22,-4.9159215959145465E-33,-2.2025703801520834E-31
1080,4.595293288296887E-31,2.001902662301897E-31,9.368073364676557E-23,1.6887508953522514E-22,-2.501752290489945E-33,-2.234930522083592E-31
1084.9999999999998,4.817427209427432E-31,2.0064284145252524E-31,8.416865858364267E-23,1.7409145363614528E-22,-6.007713422045094E-35,-2.2674374869172385E-31
1090,5.0356995497928825E-31,2.0443228421810136E-31,7.433085122508189E-23,1.7854558241882699E-22,2.4613553365536284E-33,-2.299958808483349E-31
1095,5.251117373032105E-31,2.1165768730305594E-31,6.395710757160566E-23,1.8217456501112184E-22,5.11373760839893E-33,-2.332322280549952E-31
1100,5.4536652577955105E-31,2.2200567828646147E-31,5.341266008431651E-23,1.8491661238910604E-22,7.847690186727515E-33,-2.3646220052182666E-31
