% Model:              3D-Au-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jul 2 2025, 20:37
% Dimension:          1
% Nodes:              61
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(pxx) (C*m),imag(pxx) (C*m),real(myy) (m^2*A),imag(myy) (m^2*A),real(pzz) (C*m),imag(pzz) (C*m)
800,5.873776447041445E-32,-2.195666601486991E-31,-8.508736869568392E-24,2.3825636847266624E-23,-5.994203094223325E-32,-1.8260385988673208E-32
804.9999999999999,7.771758621025939E-32,-2.3796104519554715E-31,-9.77616008127092E-24,2.503636376408021E-23,-6.296271110957229E-32,-2.3025776225152596E-32
810,9.672373276799558E-32,-2.571323843128609E-31,-1.1437377561525982E-23,2.5881553401650552E-23,-6.541841600556156E-32,-2.7817232567560875E-32
814.9999999999999,1.1651234881997524E-31,-2.7684393990335743E-31,-1.337637052837177E-23,2.641191114608996E-23,-6.740695283597678E-32,-3.2602055239623976E-32
820,1.375088709182389E-31,-2.9693407614979345E-31,-1.5541515839137813E-23,2.665423355429572E-23,-6.900816610996102E-32,-3.7359808813653965E-32
825,1.6002001558940772E-31,-3.172619987839213E-31,-1.7911857085438658E-23,2.661219126971139E-23,-7.02872782887027E-32,-4.2077491366752873E-32
830,1.8430441758135317E-31,-3.377302269825935E-31,-2.0476462178163383E-23,2.627896934951435E-23,-7.128991500627139E-32,-4.675155979993622E-32
835,2.1062288538035393E-31,-3.5822606099209033E-31,-2.3231503485504797E-23,2.563299829110934E-23,-7.205106262391732E-32,-5.138152037920499E-32
839.9999999999999,2.3923827342057124E-31,-3.7863335429950964E-31,-2.6176242027755896E-23,2.4643071356510545E-23,-7.260128233382933E-32,-5.596755148346402E-32
845,2.6995943468097423E-31,-3.986032835951848E-31,-2.924813981806936E-23,2.3290965860855795E-23,-7.296929997398437E-32,-6.045915538249817E-32
849.9999999999999,3.035166139675101E-31,-4.181857518912605E-31,-3.250124055235573E-23,2.1512387879655056E-23,-7.317617786363217E-32,-6.491390433791388E-32
855,3.402502040437835E-31,-4.3714410828976325E-31,-3.5927529040318177E-23,1.9243995676798072E-23,-7.32368897801949E-32,-6.933345125124543E-32
859.9999999999999,3.80534931555672E-31,-4.551637042774787E-31,-3.9510954631450206E-23,1.6409143756291504E-23,-7.316362697614766E-32,-7.371937690153951E-32
865,4.241520248545381E-31,-4.717029516192131E-31,-4.3154027365944724E-23,1.2971695228885679E-23,-7.298010481590256E-32,-7.802843958618104E-32
869.9999999999999,4.720587301935648E-31,-4.8642223811598755E-31,-4.6880577864877913E-23,8.793223662951665E-24,-7.268574423981085E-32,-8.230998641506675E-32
875,5.254024721489661E-31,-4.986599220766855E-31,-5.0691457636378703E-23,3.674617168751334E-24,-7.226863417623214E-32,-8.660585733677274E-32
879.9999999999999,5.839673036209727E-31,-5.073933549525036E-31,-5.441704902096252E-23,-2.465003470994146E-24,-7.17500601650448E-32,-9.087279519620218E-32
885,6.4725541435715684E-31,-5.115355312177433E-31,-5.784720564293487E-23,-9.664281205950874E-24,-7.115621780201244E-32,-9.50731867951559E-32
890,7.161746814943818E-31,-5.09711317769292E-31,-6.085390622399197E-23,-1.8150361681760417E-23,-7.047464887722075E-32,-9.924937639727734E-32
894.9999999999999,7.904109680416578E-31,-5.001128134843049E-31,-6.316020444511697E-23,-2.8027829317840625E-23,-6.970671308029515E-32,-1.0337216142669564E-31
900,8.694628499422987E-31,-4.807230375046938E-31,-6.441441792467028E-23,-3.9399413449338826E-23,-6.885810899134416E-32,-1.0745188598422942E-31
904.9999999999999,9.52318930011374E-31,-4.492029388176555E-31,-6.416020044830177E-23,-5.2319525273301364E-23,-6.793286632277975E-32,-1.1150837950461877E-31
910,1.037012781261711E-30,-4.031309012115571E-31,-6.185570979936912E-23,-6.670321583884374E-23,-6.693627845658259E-32,-1.155460370385691E-31
914.9999999999999,1.1204520141968829E-30,-3.4019746015507464E-31,-5.687564956871409E-23,-8.22856688838543E-23,-6.586918698738982E-32,-1.195637746583844E-31
920,1.1982898915369992E-30,-2.5874961071461324E-31,-4.8579699783537076E-23,-9.85538128396315E-23,-6.473377301509323E-32,-1.2356499708650856E-31
924.9999999999999,1.2644562298537167E-30,-1.5997124594979972E-31,-3.6612057139382416E-23,-1.144723601823293E-22,-6.356176130152507E-32,-1.275252891297377E-31
930,1.3138025375427119E-30,-4.442039456903623E-32,-2.0594722183835574E-23,-1.2920730719296364E-22,-6.232273885049278E-32,-1.3147517734743505E-31
934.9999999999999,1.3403522929133697E-30,8.558893206192324E-32,-3.1047324784477195E-25,-1.4165061034177554E-22,-6.098108418386495E-32,-1.3543899862879017E-31
940,1.3390859235579728E-30,2.2165757565537906E-31,2.3415841438161644E-23,-1.5026910507465382E-22,-5.956642153638472E-32,-1.3939079434054164E-31
945,1.3092182635715591E-30,3.534639279804026E-31,4.9047537419523245E-23,-1.5399471146946586E-22,-5.811126034707038E-32,-1.4330679082342512E-31
949.9999999999999,1.2524087932245245E-30,4.741994203387088E-31,7.543631001063244E-23,-1.5245911240486808E-22,-5.658030867485658E-32,-1.4720780286031661E-31
954.9999999999999,1.173559709995726E-30,5.766130244342837E-31,1.0104198609802945E-22,-1.4572932738273038E-22,-5.497248688890129E-32,-1.5108826456838827E-31
960,1.0797369586544026E-30,6.561781448396163E-31,1.245373791793406E-22,-1.344459891724696E-22,-5.328935252059006E-32,-1.549448136487829E-31
965,9.785114479654898E-31,7.113762790895965E-31,1.4499936258257616E-22,-1.1959367862828798E-22,-5.153294381031889E-32,-1.587735371299079E-31
969.9999999999999,8.767054954088835E-31,7.433430772318484E-31,1.6196850417017725E-22,-1.022837432631892E-22,-4.970630169095933E-32,-1.625718313191245E-31
974.9999999999999,7.796035389386292E-31,7.549383160530612E-31,1.7537786856294283E-22,-8.35489960281271E-23,-4.7812175541589344E-32,-1.6633685125612594E-31
980,6.907344645410936E-31,7.499546592871262E-31,1.854588223425306E-22,-6.424766297088432E-23,-4.5854039649740213E-32,-1.7006880499427403E-31
985,6.120164469878653E-31,7.322541006243598E-31,1.9259398325130875E-22,-4.49982986756329E-23,-4.383344831155625E-32,-1.7377038999926222E-31
989.9999999999999,5.441291459640364E-31,7.053401578467851E-31,1.9721919924901492E-22,-2.6197618657838292E-23,-4.1748020548951814E-32,-1.7745112158251955E-31
994.9999999999999,4.878958363677883E-31,6.729717857846948E-31,1.997280099110053E-22,-8.434857714636289E-24,-3.9646692499125335E-32,-1.810870053761873E-31
1000,4.41616349914668E-31,6.368056942592383E-31,2.0057028150968656E-22,8.510563946201179E-24,-3.748918741756119E-32,-1.8469247935847964E-31
1005,4.04073445233399E-31,5.977012951502204E-31,1.9999003029814925E-22,2.4909926524697946E-23,-3.523297438570868E-32,-1.8827486734646301E-31
1010,3.7512023496539067E-31,5.578978057610906E-31,1.982311137338764E-22,4.045724797654702E-23,-3.292084341697501E-32,-1.9182519576593037E-31
1014.9999999999999,3.5400889853707264E-31,5.1930175842288885E-31,1.955809578675242E-22,5.491773064299449E-23,-3.059727795581691E-32,-1.953362064113473E-31
1019.9999999999999,3.394669713008346E-31,4.817490333258586E-31,1.9212578862936517E-22,6.865000655227103E-23,-2.821942865533236E-32,-1.9881644139456008E-31
1025,3.307523652944059E-31,4.457756931540909E-31,1.8795907095231688E-22,8.170934428691789E-23,-2.578771124570093E-32,-2.0226574831410775E-31
1030,3.2718234824372277E-31,4.117844355269366E-31,1.8314991296358404E-22,9.414749470180735E-23,-2.3301730929449274E-32,-2.0568408529571065E-31
1035,3.281643864228712E-31,3.800845998127379E-31,1.7773785409812562E-22,1.06002449662127E-22,-2.0761627600654187E-32,-2.0906993245085058E-31
1039.9999999999998,3.3314372629294442E-31,3.5091434410423047E-31,1.717532743106011E-22,1.1730493378523707E-22,-1.8167467876844676E-32,-2.1242343620072203E-31
1045,3.4163280351245035E-31,3.2447093989989938E-31,1.652092092344717E-22,1.2806835159986605E-22,-1.551925432179815E-32,-2.157435019250241E-31
1050,3.5316882185945736E-31,3.009124132338874E-31,1.5811621230881742E-22,1.382966082957783E-22,-1.281694874675334E-32,-2.1902977536153362E-31
1055,3.673245289030265E-31,2.803781797776791E-31,1.504787362772581E-22,1.4797716144844481E-22,-1.0060592513194882E-32,-2.222810718272109E-31
1060,3.83680302779809E-31,2.6297803127634275E-31,1.4230534299916417E-22,1.5708945855901558E-22,-7.250067994303776E-33,-2.2549694788883433E-31
1064.9999999999998,4.018329006130613E-31,2.4881256868530243E-31,1.3360493679307071E-22,1.6559643908645884E-22,-4.385356998649564E-33,-2.28675591381866E-31
1070,4.213699780887676E-31,2.3793873083500526E-31,1.2439839990248635E-22,1.7346131220652375E-22,-1.4663996614739092E-33,-2.3181672189340095E-31
1075,4.418860836411481E-31,2.30399353968028E-31,1.147120236548869E-22,1.806341496976381E-22,1.5067797958772086E-33,-2.3491883331585292E-31
1080,4.629706117209775E-31,2.2619051480630057E-31,1.0458523142278978E-22,1.8706770472379778E-22,4.534431107018437E-33,-2.379812432825055E-31
1084.9999999999998,4.83641426785333E-31,2.2519820155024507E-31,9.436474981146595E-23,1.9267276577595598E-22,7.568481265874393E-33,-2.410135947869745E-31
1090,5.04114802198765E-31,2.27268660622384E-31,8.381722860518996E-23,1.9748987936641794E-22,1.0660916294139869E-32,-2.440044692162433E-31
1095,5.245456576510673E-31,2.3250949034025435E-31,7.270680006242885E-23,2.014670108118641E-22,1.3862268316254318E-32,-2.4693792215747168E-31
1100,5.439852867389361E-31,2.4067043187367155E-31,6.14199523295023E-23,2.045331527544136E-22,1.7118097024089855E-32,-2.4982572940614094E-31
