% Model:              SPP2-from-lambda.mph
% Version:            COMSOL 6.1.0.282
% Date:               Dec 12 2024, 13:08
% Dimension:          1
% Nodes:              61
% Expressions:        4
% Description:        Table graph
% lambda0 (nm),Fxee (N),Fxmm (N),Fzee (N),Fzmm (N)
600,5.085289652638161E-25,5.972108980081948E-26,-2.2575491542574066E-25,2.4657239206144276E-25
610,4.784159142698123E-25,1.2854543728765594E-26,-2.1613505890348756E-25,4.09586830422201E-26
620,4.549755309681388E-25,3.991733904555018E-27,-2.0445326625960743E-25,-9.04329451681817E-26
630,4.315001817973968E-25,-4.3529168037097155E-27,-1.5274762125034974E-25,-1.731064189989273E-25
640,4.0959106308752147E-25,-8.33094278216625E-28,-1.139486418823E-25,-2.3303412489034237E-25
650,3.9344247025682633E-25,1.3824663963055966E-27,-4.3002743594595653E-26,-3.2692410710616834E-25
660,4.314528413025103E-25,9.181099025090435E-27,3.847515951028464E-28,-3.978640931191065E-25
670,4.1656425886989895E-25,1.3669765407590657E-26,3.90534603293673E-28,-3.398051711334444E-25
680,3.345243075868836E-25,1.2888955071259601E-26,-4.0263762819490115E-28,-2.4319387516180836E-25
690,2.332698601954978E-25,1.0627774484724037E-26,6.748106500533973E-27,-1.5444072676014666E-25
700,1.3906609383430245E-25,8.66715918676545E-27,1.5619438019731793E-26,-7.769653889724699E-26
710,6.390256133932262E-26,7.89494058039369E-27,1.9008014494660495E-26,-1.3773385825109557E-26
720,2.3604208550821134E-26,8.931338536942778E-27,1.4315717124634044E-26,2.934531240528251E-26
730,2.1316171568634137E-26,1.2158993722689596E-26,3.4788413820991446E-27,4.72578277474489E-26
740,5.490716840041023E-26,1.7531372429505693E-26,-7.691222126701457E-27,3.6505536235470744E-26
749.9999999999999,1.116429184581038E-25,2.4584316829572246E-26,-1.6814268329390346E-26,-4.4821202154916676E-27
760,1.5506784169661023E-25,3.0016529647278153E-26,-2.407977367805363E-26,-8.626834993228251E-26
770,2.5679813139887276E-26,4.2593526221473286E-26,-4.514914392920618E-26,-3.2553812337754655E-25
780,2.2399199543554463E-25,3.4497795285097306E-26,-2.1227816324783897E-25,-3.687058847344247E-25
790,5.369722977474715E-25,4.227251260259989E-26,-2.4945861534509525E-25,-3.008780367168487E-25
800,7.062453249153755E-25,4.9569631063514226E-26,-2.8864809132054336E-25,-3.460080996128969E-25
810,8.54004349480321E-25,5.435494288495891E-26,-3.361366479138619E-25,-4.1233849608149754E-25
820,1.003773064151911E-24,5.669570724066674E-26,-3.8644537227399388E-25,-4.85390492562384E-25
830,1.1615875348668784E-24,5.623784412660994E-26,-4.350859798196142E-25,-5.606327013551431E-25
840,1.3301556823221816E-24,5.244734274149483E-26,-4.777894727433238E-25,-6.351970851404191E-25
850,1.5082380282060758E-24,4.476609452401715E-26,-5.0983261492853015E-25,-7.046316790328049E-25
859.9999999999999,1.697544144380947E-24,3.2298634293461003E-26,-5.24689911741845E-25,-7.666832702385031E-25
870,1.8932522655467336E-24,1.441994626652134E-26,-5.159589021342539E-25,-8.147490762384667E-25
879.9999999999999,2.0945360397934162E-24,-1.0225515445763513E-26,-4.734077695034666E-25,-8.43878286010096E-25
890,2.2891484247849628E-24,-4.1671970703867684E-26,-3.9087558622196334E-25,-8.425910373434182E-25
900,2.4666183240335533E-24,-8.015051487240665E-26,-2.595952557609425E-25,-8.003109977256176E-25
910,2.6129240340208546E-24,-1.2511646100191436E-25,-7.401447973366062E-26,-7.035471976548724E-25
920,2.7115994220077038E-24,-1.747420590445682E-25,1.6750161582537454E-25,-5.384353234867348E-25
930,2.745692655768883E-24,-2.24806582895254E-25,4.567850124738325E-25,-2.9607788575129963E-25
940,2.698836758740463E-24,-2.7065799099166883E-25,7.871536066630221E-25,3.636984663669472E-26
949.9999999999999,2.5639808367750268E-24,-3.0335714198223383E-25,1.1287035322290744E-24,4.4747954188937195E-25
960,2.3408682054664164E-24,-3.1390793186296215E-25,1.4531120324521075E-24,9.23040391355124E-25
969.9999999999999,2.043935348585944E-24,-2.9261750679825436E-25,1.723766669664649E-24,1.4272602365247237E-24
980,1.702106264631144E-24,-2.3182498897833594E-25,1.906313722666003E-24,1.907095181695006E-24
989.9999999999999,1.3551839345013842E-24,-1.286893315290393E-25,1.9788262758155583E-24,2.2999061232673768E-24
1000,1.0498377026973946E-24,1.0067258976811075E-26,1.941575263244714E-24,2.5425062907797782E-24
1010,8.115375910887186E-25,1.7967535154134086E-25,1.8096580936772224E-24,2.602689851779495E-24
1019.9999999999999,6.636933471063814E-25,3.610435241588697E-25,1.6264558757914814E-24,2.4688708413003258E-24
1030,6.0022021973458485E-25,5.479589301024711E-25,1.4299023779540473E-24,2.164804140110155E-24
1040,6.042612989713533E-25,7.422962581430709E-25,1.2553724575627805E-24,1.738005416372499E-24
1050,6.516543138558585E-25,9.638557384766931E-25,1.1255703077949638E-24,1.2717092441788022E-24
1060,7.18388949912043E-25,1.2135202716530725E-24,1.049000234927981E-24,9.402565176338295E-25
1070,7.8543944281667155E-25,1.2950793632592542E-24,1.0227580868546948E-24,8.91223493113211E-25
1080.0000000000002,8.405564190289248E-25,1.109257837926559E-24,1.0370514212602429E-24,7.613482107559339E-25
1090,8.766470873183456E-25,9.300053892913818E-25,1.0781327652675697E-24,4.575641475360463E-25
1100,8.951921466391605E-25,8.08439788930229E-25,1.1367487997072624E-24,1.3947669564901487E-25
1109.9999999999998,8.95893699876695E-25,7.246398376139982E-25,1.2005715889028147E-24,-1.1738092539245747E-25
1120,8.826250476829867E-25,6.546286803448783E-25,1.2658588873973888E-24,-3.201804335001159E-25
1130,8.585063736839096E-25,5.958342867466398E-25,1.3247143794723845E-24,-4.67806506524669E-25
1140,8.263745688025111E-25,5.4122173595888715E-25,1.3773897772603278E-24,-5.762468378230706E-25
1149.9999999999998,7.897497075308372E-25,4.933699850276706E-25,1.419997681820779E-24,-6.500341216213111E-25
1160,7.50448725230979E-25,4.498531406834642E-25,1.4536911306560439E-24,-6.987525191305351E-25
1170,7.101186893305123E-25,4.1037083132203997E-25,1.4788356611333607E-24,-7.281890452328457E-25
1180,6.69959724271278E-25,3.746580712800751E-25,1.496168889242734E-24,-7.429896559549582E-25
1190,6.308111539515041E-25,3.4244449552983638E-25,1.5066059245983776E-24,-7.468232848358183E-25
1199.9999999999998,5.932270611421917E-25,3.1344841382996757E-25,1.5111244431319059E-24,-7.4256526417480095E-25
