% Model:              3D-Ag-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 15 2025, 16:16
% Dimension:          1
% Nodes:              51
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),F_x (N),F_y (N),F_z (N)
300,-1.2842443322048147E-30,-1.816831871509988E-31,2.156481666585817E-28
302,-5.803185688406502E-31,-1.8054708049547712E-31,1.9997758940025208E-28
304,3.8360024352741035E-31,-1.8069906561091753E-31,1.8037548072842158E-28
306,1.4820885451015017E-30,-1.8046684391108775E-31,1.6018070417342793E-28
307.99999999999994,2.6781530543243095E-30,-1.7986140423598547E-31,1.3939427845325392E-28
309.99999999999994,3.918461194667071E-30,-1.787247811884576E-31,1.1804624359157845E-28
312,4.962319807241868E-30,-1.8228232628501381E-31,9.75393372428193E-29
314,5.998730423473937E-30,-1.8863174849201124E-31,7.658760734561857E-29
316,7.122187279500812E-30,-1.9486663025065025E-31,5.405121914603706E-29
318,8.284386564327685E-30,-2.0070097248109653E-31,2.948893908302743E-29
319.99999999999994,9.419781815435685E-30,-2.0571901007374177E-31,2.210665671015082E-30
321.99999999999994,1.1247890701437944E-29,-2.523167649706964E-31,-1.3820201603999475E-29
324,1.3209985852783176E-29,-3.250037733752212E-31,-1.2738866804504015E-29
326,1.4056710500629864E-29,-4.106857764531363E-31,1.2307892305788255E-29
328,1.234915903941968E-29,-5.050945482328153E-31,6.87591910382171E-29
330,5.6730180178535534E-30,-6.054235106270035E-31,1.7218783717430783E-28
331.99999999999994,-9.670566184507557E-30,-6.794728817477701E-31,3.2524291376120707E-28
333.99999999999994,-3.371989519923134E-29,-6.706736764715059E-31,3.842070796959178E-28
336,-7.154244912282443E-29,-6.641804542302298E-31,4.0293918304528893E-28
338,-1.1909691833677037E-28,-6.615648817599707E-31,3.4138113335446896E-28
340,-1.5331794760090637E-28,-6.583184403696097E-31,2.028382713235542E-28
342,-1.5536919118205684E-28,-6.5965008251589356E-31,7.336504630117464E-29
343.99999999999994,-1.3967184711661194E-28,-6.617586616678101E-31,1.675004957518852E-29
345.99999999999994,-1.1647561081830943E-28,-6.606220483521896E-31,1.2980646125073074E-29
348,-9.018507698649507E-29,-6.608814666536279E-31,4.034376149961616E-29
350,-6.815115599384467E-29,-6.6265712256466766E-31,7.975456440606E-29
352,-5.265334476322959E-29,-6.5986429031561575E-31,1.2011642087130063E-28
354,-4.147652504154935E-29,-6.533850336709816E-31,1.6156264665651964E-28
355.99999999999994,-3.4866794872154926E-29,-6.458363483984263E-31,1.9412225678327033E-28
357.99999999999994,-2.958816752005974E-29,-6.366666922599567E-31,2.2451047300841433E-28
360,-2.5199305120049207E-29,-6.258985494612927E-31,2.5239369546915757E-28
362,-2.1511602710762005E-29,-6.141262966990099E-31,2.770211449674458E-28
364,-1.8336459130569476E-29,-6.017079710578472E-31,2.9824594173462458E-28
366,-1.5520698884450364E-29,-5.889737978998629E-31,3.1634402498047817E-28
367.99999999999994,-1.2990181540727599E-29,-5.762126803255771E-31,3.317435944023618E-28
369.99999999999994,-1.1055484760906267E-29,-5.643682165456891E-31,3.4333814268966367E-28
372,-9.273032067463742E-30,-5.527372147636354E-31,3.537990722016603E-28
374,-7.65474263639041E-30,-5.413629337752702E-31,3.634535209125966E-28
376,-6.2097863210849964E-30,-5.302483532631391E-31,3.725078380399093E-28
378,-4.939092770131024E-30,-5.193712136892625E-31,3.8106548675006236E-28
379.99999999999994,-3.83502671185716E-30,-5.087239983303397E-31,3.891604010594839E-28
381.99999999999994,-2.9748442904722948E-30,-4.9838454377951265E-31,3.963464810259882E-28
384,-2.4870932465331634E-30,-4.885264142932555E-31,4.0178829177519904E-28
386,-2.064722346062603E-30,-4.788893498237965E-31,4.06842652395357E-28
388,-1.6984107813310478E-30,-4.694640427303898E-31,4.115037817116781E-28
390,-1.379588752991235E-30,-4.602423068251841E-31,4.157713951672616E-28
391.99999999999994,-1.1006454535015345E-30,-4.512167114404382E-31,4.196501224532148E-28
393.99999999999994,-8.549774414199424E-31,-4.423804051232221E-31,4.231485632280356E-28
395.99999999999994,-6.36880959636066E-31,-4.3372928189060615E-31,4.26277853043525E-28
398,-4.4209712581215925E-31,-4.252553470619379E-31,4.2904566418031725E-28
400,-2.6691049279522597E-31,-4.169758217163066E-31,4.314590882650358E-28
