% Model:              SPP2-from-lambda.mph
% Version:            COMSOL 6.1.0.282
% Date:               Dec 12 2024, 12:42
% Dimension:          1
% Nodes:              61
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),F_x (N),F_y (N),F_z (N)
600,4.366689612438605E-25,5.647634369012132E-26,-1.6359413489641415E-25
610,4.878250460711733E-25,1.6529209608981622E-26,-3.0057661454696664E-25
620,5.814864075250188E-25,1.4263225806721947E-26,-2.6240741949912647E-25
630,5.939066792723846E-25,5.259651448636481E-26,-5.465132301014806E-25
640,5.808170473674745E-25,-6.433250301334788E-26,-1.086195364510669E-24
650,3.1626240965406975E-25,-1.9483069788825758E-25,-1.8519402413887244E-24
660,2.185143501491585E-25,-2.6836931276330193E-25,-1.7792838356656445E-24
670,2.3434850804756707E-25,-2.4328677328215744E-25,-1.2396346847426778E-24
680,2.2460691860928477E-25,-1.8817345789165044E-25,-8.031974672224077E-25
690,2.0329774847678386E-25,-1.352861894068269E-25,-5.366219360407802E-25
700,1.8694507707047777E-25,-8.796294104430024E-26,-3.934682179535309E-25
710,1.8873780431283848E-25,-4.2199471532292764E-26,-3.441896480987288E-25
720,2.187033836655569E-25,5.893588835337383E-28,-3.7188158938374158E-25
730,2.8074023165544075E-25,3.951869633501892E-26,-4.571433201953724E-25
740,3.6962244264654665E-25,6.582197389947943E-26,-5.79006063619811E-25
749.9999999999999,4.830400523440999E-25,6.899873141512253E-26,-7.389431904938606E-25
760,6.400475989163524E-25,3.9663886915082407E-26,-9.394214701477422E-25
770,8.897041287461695E-25,-1.4686579425397476E-26,-8.369939363077507E-25
780,5.085462641765308E-25,7.971345403036236E-26,1.759611252971591E-25
790,5.729015920944512E-25,7.603993324251115E-26,-5.946484868207251E-25
800,7.126543612820332E-25,4.9333506433833194E-26,-1.0303297298634093E-24
810,8.42759790955787E-25,2.6122696015981986E-26,-1.3350577884341318E-24
820,9.73071909728629E-25,6.541140016290857E-27,-1.5915821595296155E-24
830,1.108996812258687E-24,-9.898918215367597E-27,-1.8191068772855225E-24
840,1.253604630333808E-24,-2.362199735000061E-26,-2.019273077011329E-24
850,1.4062929424284872E-24,-3.496211896819255E-26,-2.1846049266661262E-24
859.9999999999999,1.56870030293379E-24,-4.442597720467216E-26,-2.3032605233180884E-24
870,1.7367194215158927E-24,-5.233088618170391E-26,-2.357389357569822E-24
879.9999999999999,1.9095162152493477E-24,-5.895634096240356E-26,-2.3195077412265138E-24
890,2.0765235567249265E-24,-6.440815711443151E-26,-2.1651555014772284E-24
900,2.228625959687324E-24,-6.872604425149684E-26,-1.862743388063331E-24
910,2.353917094057512E-24,-7.161446965575636E-26,-1.3824252023375708E-24
920,2.4387166283012155E-24,-7.271502886421848E-26,-7.020877670915764E-25
930,2.4693082733122043E-24,-7.189598723310818E-26,1.7043961200028764E-25
940,2.4332014812805504E-24,-6.853623194467297E-26,1.239411135921817E-24
949.9999999999999,2.3261854390166257E-24,-6.338450516296669E-26,2.418892337876471E-24
960,2.1505305731559483E-24,-5.706306348572638E-26,3.624215677630622E-24
969.9999999999999,1.9209767613634407E-24,-5.125068205520647E-26,4.720614562087481E-24
980,1.663774751250893E-24,-4.822555873750222E-26,5.554152996660541E-24
989.9999999999999,1.4127886548059049E-24,-5.0277469552286966E-26,5.9891869012081746E-24
1000,1.2041335941472932E-24,-5.85156586134335E-26,5.951745555332264E-24
1010,1.0569715794204254E-24,-7.211411274706368E-26,5.4390840693466974E-24
1019.9999999999999,9.83066143770223E-25,-8.564373549218428E-26,4.578060002622555E-24
1030,9.719457894183897E-25,-8.802526550318055E-26,3.5324065143969816E-24
1040,1.0006396202694874E-24,-5.548446351397586E-26,2.529895677012312E-24
1050,1.0280336983977855E-24,6.043239401891995E-26,1.858015458168368E-24
1060,9.805705688550284E-25,3.0681343967520556E-25,1.7564360097696405E-24
1070,8.419782470014611E-25,4.678391361815385E-25,1.5589133295322287E-24
1080.0000000000002,7.927729331970543E-25,2.8603682242303826E-25,4.3615582841550215E-25
1090,8.1992301911700465E-25,6.468000544271355E-26,-6.2604103566967945E-25
1100,8.401482237391305E-25,-7.976963772799208E-26,-1.300817010651541E-24
1109.9999999999998,8.365794999430817E-25,-1.6251678465400696E-25,-1.6575289303009735E-24
1120,8.130614042398389E-25,-2.1246022689448174E-25,-1.8272663745400033E-24
1130,7.771090231626227E-25,-2.4176634259637117E-25,-1.8742029173334336E-24
1140,7.32305787654485E-25,-2.5892378327652252E-25,-1.844192513378775E-24
1149.9999999999998,6.8463974520653235E-25,-2.68014153595889E-25,-1.770300244343028E-24
1160,6.358455270116022E-25,-2.717670374992723E-25,-1.6700872158541557E-24
1170,5.878050879422323E-25,-2.7181078250135487E-25,-1.5561864648510673E-24
1180,5.417420686114804E-25,-2.692400341887693E-25,-1.4369833889081396E-24
1190,4.98406378012856E-25,-2.648140696961352E-25,-1.3178988068367224E-24
1199.9999999999998,4.581978565056611E-25,-2.5907661268320104E-25,-1.202327347000259E-24
