% Model:              SPP2-free-space.mph
% Version:            COMSOL 6.1.0.282
% Date:               Dec 20 2024, 15:03
% Dimension:          1
% Nodes:              61
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),px (C*m),py (C*m),pz (C*m)
600,-7.221380980281796E-33,-7.969425061823911E-33,-3.3595067364377125E-33
610,-7.118757651372181E-33,-7.857446860324261E-33,-3.3155147033466255E-33
620,-7.001454106028165E-33,-7.735601775179568E-33,-3.280576807666152E-33
630,-7.023151014946795E-33,-7.720401382590278E-33,-3.285731530296518E-33
640,-7.105527416437796E-33,-7.821957884247816E-33,-3.3084719056334304E-33
650,-7.380853376836095E-33,-8.153432464162705E-33,-3.361712298702373E-33
660,-7.635486857193424E-33,-8.427247010622806E-33,-3.5332819117514254E-33
670,-7.91975272621125E-33,-8.735700553309858E-33,-3.692225176301586E-33
680,-8.179975148081873E-33,-9.02037827224347E-33,-3.825227124816978E-33
690,-8.193741698826651E-33,-9.035031066384197E-33,-3.835219047852214E-33
700,-7.705597256084352E-33,-8.497222917802013E-33,-3.606613035853006E-33
710,-6.262470794865105E-33,-6.90648506223753E-33,-2.9300677425883763E-33
720,-3.300483862360351E-33,-3.6397874796075255E-33,-1.544349653946498E-33
730,2.0698946022513828E-33,2.285520650278893E-33,9.660098832380942E-34
740,1.1065840320707498E-32,1.2214367457864992E-32,5.172114938961357E-33
749.9999999999999,2.538289135427963E-32,2.8021266550434897E-32,1.1872563209739068E-32
760,4.626103018266324E-32,5.108249278237875E-32,2.165631819946264E-32
770,7.497961896971286E-32,8.281582509068074E-32,3.5118402419925595E-32
780,1.1063550096787446E-31,1.2197064570143284E-31,5.151475062366929E-32
790,1.492817803102433E-31,1.6459716757841598E-31,6.944789451160017E-32
800,1.8555206589014331E-31,2.0465085475003935E-31,8.62727119335271E-32
810,2.1387077223949585E-31,2.359226103927794E-31,9.937297576012717E-32
820,2.3217989579564928E-31,2.5614536729198637E-31,1.0785468744287548E-31
830,2.4083760951209236E-31,2.657157249947064E-31,1.1191762427429787E-31
840,2.4206183388427993E-31,2.6708156611708595E-31,1.1258501571114248E-31
850,2.386772982988156E-31,2.6336003523603544E-31,1.1114168622505208E-31
859.9999999999999,2.3259917992739833E-31,2.5666487460166595E-31,1.0845182945465484E-31
870,2.254943205254476E-31,2.488354902734927E-31,1.052708876236558E-31
879.9999999999999,2.1771612463368803E-31,2.4026212135222196E-31,1.017545829138658E-31
890,2.1028388028759803E-31,2.3206943088839874E-31,9.837268816234858E-32
900,2.0320419385616026E-31,2.2426475691591105E-31,9.512927473172199E-32
910,1.9660035130869617E-31,2.1698409160068395E-31,9.208416732120646E-32
920,1.9052235280565409E-31,2.1028256479555263E-31,8.926406210772126E-32
930,1.8514230035161424E-31,2.0434998191907624E-31,8.675295070149402E-32
940,1.8007816969224777E-31,1.987647998631673E-31,8.437568111730645E-32
949.9999999999999,1.756290181222143E-31,1.9385680927203456E-31,8.227498443301169E-32
960,1.715888601181113E-31,1.893986120198385E-31,8.035698895217861E-32
969.9999999999999,1.6792312562279759E-31,1.8535188296761943E-31,7.860739206916001E-32
980,1.6459959468163602E-31,1.8168082029105663E-31,7.70123852386286E-32
989.9999999999999,1.6158795045412093E-31,1.783516302355216E-31,7.555843924934052E-32
1000,1.5896255460973059E-31,1.7544593032279203E-31,7.428038438430785E-32
1010,1.5649416179079105E-31,1.7271004751309088E-31,7.307004057118844E-32
1019.9999999999999,1.5435936184386762E-31,1.7033811646046127E-31,7.200873643644688E-32
1030,1.5244460699325386E-31,1.682036979226224E-31,7.104086354552036E-32
1040,1.5073954925334063E-31,1.6629409362728843E-31,7.015901886668541E-32
1050,1.492310663351432E-31,1.6459441594587409E-31,6.935535902180722E-32
1060,1.4789692969671103E-31,1.6308153997294411E-31,6.862400758415727E-32
1070,1.4668804987721643E-31,1.6170895869015048E-31,6.795862571011689E-32
1080.0000000000002,1.455248183826637E-31,1.6040204820082157E-31,6.735397951948241E-32
1090,1.4440321923289084E-31,1.5916735890458006E-31,6.683433963287361E-32
1100,1.4319780997457358E-31,1.5786466990931805E-31,6.633592651675282E-32
1109.9999999999998,1.4209808838066969E-31,1.56688617970109E-31,6.591099044405681E-32
1120,1.4103369252579624E-31,1.5555053100047466E-31,6.550180006139459E-32
1130,1.4014485552041703E-31,1.545984329990711E-31,6.515768131238483E-32
1140,1.393137261734005E-31,1.5370291101089238E-31,6.482492692582389E-32
1149.9999999999998,1.3863690319123446E-31,1.529710750422027E-31,6.454965929247706E-32
1160,1.3804625104502567E-31,1.523296909717186E-31,6.43044313564795E-32
1170,1.3753085987944197E-31,1.5176798087225004E-31,6.408689564624794E-32
1180,1.3708171861343293E-31,1.5127694824563135E-31,6.38949005142393E-32
1190,1.3669147631606504E-31,1.5084916551415398E-31,6.372648163760558E-32
1199.9999999999998,1.3635398991972885E-31,1.5047836649386148E-31,6.357993424188865E-32
