% Model:              2D-free-space.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 20 2025, 02:53
% Dimension:          1
% Nodes:              101
% Expressions:        2
% Description:        Table graph
% lambda0 (nm),C_ED (m^2),C_MD (m^2)
600,0.28019158436008296,0.3004844894391942
605,0.20482289440854393,0.312435457339669
610,0.1344853577543739,0.3237095748180211
615,0.07477860496566331,0.3340088139969047
619.9999999999999,0.029207060194650233,0.34386626659322617
625,0.005162868720164886,0.3531968020313313
629.9999999999999,0.011063593020289905,0.36233065112935153
635,0.05755532426499768,0.37122418738600754
639.9999999999999,0.1581579538303924,0.38022677970625124
645,0.32589970284029196,0.3892928695654952
650,0.5788390609531511,0.3986579632560862
655,0.9315251751729747,0.40747374402544617
660,1.38076852593476,0.41492433923428906
665,1.8390259750267361,0.4276143369957999
670,2.3632327019392165,0.44294021642683273
674.9999999999999,2.925413855419622,0.4585512017985247
680,3.4730565687140973,0.474718230333204
684.9999999999999,3.9565025146459267,0.49109899440417165
690,4.355147505114987,0.5078759182724406
694.9999999999999,4.64969758469439,0.5242090972218083
700,4.849640918610011,0.5407153800115323
704.9999999999999,4.960427677575832,0.5577738944464176
710,4.996047070885732,0.575177144182199
715,4.974711825248146,0.5922667469336221
720,4.909836587621831,0.610001446325979
725,4.814762939800377,0.6286459370809037
729.9999999999999,4.696891777344214,0.64839126991685
735,4.565762678382295,0.6689408614616634
739.9999999999999,4.425387981873107,0.6910247352300811
745,4.279831335262715,0.7149007166501254
749.9999999999999,4.132421789860467,0.7408673927130375
755,3.987818027193165,0.7685613404864238
759.9999999999999,3.8449465201777127,0.7989073624654468
765,3.7045361834535626,0.8322327856089842
770,3.5678363212997333,0.8690191610222143
775,3.436852760112279,0.9087322562281382
780,3.310198756314637,0.9527895591852563
784.9999999999999,3.1883420911056892,1.0019444790764078
790,3.0709717969408876,1.0568728633125006
794.9999999999999,2.957938035810584,1.11839006299785
800,2.849383157096276,1.1876456096593109
804.9999999999999,2.746401417571615,1.2640986396329206
810,2.6475567622282266,1.3506952518452502
814.9999999999999,2.552710319936408,1.44917787635207
820,2.461768300371786,1.5617433488570254
825,2.374579692855528,1.6909671323830626
830,2.2910498941342943,1.8401384725921917
835,2.211057532556156,2.01320605754945
839.9999999999999,2.1345059937374162,2.2150608101969036
845,2.062067344649732,2.4463057377303796
849.9999999999999,1.9928506437069344,2.717674295621357
855,1.9268471215899483,3.0371570867648314
859.9999999999999,1.8640987717114452,3.4137996170430065
865,1.8052852698826602,3.8468073813496573
869.9999999999999,1.7499332964825087,4.351702649695098
875,1.6978527007995872,4.945547720203565
879.9999999999999,1.6499884193282561,5.612708243090032
885,1.6070339190571867,6.312668033181441
890,1.5687298963160206,7.007647450408835
894.9999999999999,1.5348489894950614,7.6121538067441685
900,1.5044434783915672,8.014681219856293
904.9999999999999,1.4757620204877877,8.109332711195767
910,1.4466969083116157,7.852855611227058
914.9999999999999,1.4155528391731254,7.285830629840059
920,1.381662753562786,6.516429910725022
924.9999999999999,1.3457186425577703,5.688526560715343
930,1.3083510821121564,4.878271700164674
934.9999999999999,1.2701166966689927,4.124931720341937
940,1.2321688225859513,3.4725451186940033
945,1.1954137145346775,2.9338666071805006
949.9999999999999,1.1597805475183371,2.4846829860843918
954.9999999999999,1.1254188067874389,2.1125010435342384
960,1.092389695677337,1.8048292184123973
965,1.0606893097065968,1.5501189809494405
969.9999999999999,1.0302816518600908,1.3385614134773844
974.9999999999999,1.0011112684030141,1.1620224664326921
980,0.97312004023051,1.0139957551810184
985,0.9462456823727816,0.889208012142147
989.9999999999999,0.9204268536755902,0.7834329551044183
994.9999999999999,0.8958208776908666,0.6950961249114455
1000,0.872138304109384,0.6191705906571447
1005,0.8491315246762668,0.552240891488391
1010,0.8269700874166841,0.4943476891256068
1014.9999999999999,0.8057914520266898,0.44505665518377824
1019.9999999999999,0.785358935468346,0.4019128296588037
1025,0.7656356084054958,0.3639980014842902
1030,0.7465878625507161,0.3305547637769163
1035,0.7281834472288825,0.3009489795290176
1039.9999999999998,0.7103932886882998,0.2746537382268164
1045,0.6931893638992486,0.25122353580374673
1050,0.6765459870964851,0.2302838558506734
1055,0.6604385255124641,0.2115158836499292
1060,0.6448442672005924,0.19464917681861515
1064.9999999999998,0.6297411707600445,0.17945136553888671
1070,0.6151092994172388,0.1657245525521149
1075,0.6009291473748765,0.15329719480489437
1080,0.5871827582040252,0.14202174184600985
1084.9999999999998,0.5739654064883796,0.13198784633101118
1090,0.5611416524966711,0.12282824526994766
1095,0.5485902194998006,0.11426875727378187
1100,0.536408971196466,0.10644215125502415
