% Model:              2D-free-space.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 20 2025, 02:53
% Dimension:          1
% Nodes:              101
% Expressions:        2
% Description:        Table graph
% lambda0 (nm),C_EQ (m^2),C_MQ (m^2)
600,0.0808019946009615,0.060668948391369264
605,0.07036836811342588,0.0682168112186837
610,0.06188682187131652,0.07803633691421051
615,0.05491066110471271,0.09071830435966045
619.9999999999999,0.04901933091122922,0.10813678431043482
625,0.0440008159455378,0.13261817501570938
629.9999999999999,0.03966203794893439,0.16929346851666996
635,0.03589700053425023,0.22698070948436488
639.9999999999999,0.032596331801273484,0.3270735765504998
645,0.029702618931473752,0.5190530313715337
650,0.027147107837206388,0.9543250082600461
655,0.02489799293477747,2.0569050053605205
660,0.022996851601953326,3.455557616996641
665,0.021414104197003958,1.9250914346498924
670,0.01994581606583674,0.8051046429995612
674.9999999999999,0.01862955249701397,0.39377066332750826
680,0.017453165608474198,0.22166757304142481
684.9999999999999,0.016389483537074905,0.13815432780388903
690,0.015409561836803896,0.09193390070753452
694.9999999999999,0.014497707243591366,0.06467945503054849
700,0.01363767709562705,0.047089850248861094
704.9999999999999,0.012820337659476943,0.03510331992996342
710,0.012044376246622078,0.02676623436148455
715,0.011312361442064555,0.02091526192262262
720,0.010619788332578324,0.016593495112127855
725,0.009966333254788193,0.01333938695262113
729.9999999999999,0.009351195123472307,0.010847404236058353
735,0.008775056960869762,0.008930662523863883
739.9999999999999,0.008234909449448036,0.007417709467750367
745,0.0077292715519016435,0.006209949055545111
749.9999999999999,0.007256511967457063,0.0052360108543605035
755,0.00681610742067916,0.004451586505917804
759.9999999999999,0.006404840428484104,0.0038063933380967996
765,0.006020915917690788,0.0032717533859138695
770,0.005662596601625136,0.002825711084571106
775,0.005329065729605889,0.0024551681919831743
780,0.0050176746124006456,0.0021416851236233632
784.9999999999999,0.004726891345753772,0.001875093966096243
790,0.004455259524873297,0.0016472741011146186
794.9999999999999,0.00420141431283583,0.0014517061925213605
800,0.003964079033487068,0.0012831216162930846
804.9999999999999,0.003742628016593877,0.001138787956736741
810,0.0035353019048069657,0.0010132233146545847
814.9999999999999,0.0033410722656441465,9.036200294230519E-4
820,0.003158981431114008,8.076478128421688E-4
825,0.002988136373536737,7.233613300447746E-4
830,0.0028277052926148198,6.491304211852472E-4
835,0.0026769110497434933,5.835815285672142E-4
839.9999999999999,0.0025350269515358034,5.255528490198605E-4
845,0.0024017375173596145,4.7462181609109E-4
849.9999999999999,0.002276012754934506,4.29259466563611E-4
855,0.002157259548809376,3.8876743319398853E-4
859.9999999999999,0.002044922915074513,3.525439399315012E-4
865,0.0019388246494240675,3.204320427652757E-4
869.9999999999999,0.001838170343219973,2.915452641373921E-4
875,0.0017422579341231828,2.6520662648225516E-4
879.9999999999999,0.0016511727054983813,2.4143865452639756E-4
885,0.001565178472094696,2.2019260039027558E-4
890,0.0014841261952516095,2.0093398042698846E-4
894.9999999999999,0.0014084562722900455,1.834702010909852E-4
900,0.0013387483696034256,1.6765111595880413E-4
904.9999999999999,0.0012754217725906617,1.533575298910345E-4
910,0.0012183379361141256,1.404789289614988E-4
914.9999999999999,0.0011666887471689514,1.288930402412007E-4
920,0.0011192408183511504,1.1846097538127632E-4
924.9999999999999,0.001074796182596708,1.0914704720783138E-4
930,0.001032467020178025,1.0069190032166596E-4
934.9999999999999,9.917133499422475E-4,9.289859786682711E-5
940,9.523182605142426E-4,8.57834832433004E-5
945,9.142781923001996E-4,7.934765516806844E-5
949.9999999999999,8.775511060039584E-4,7.344267703817999E-5
954.9999999999999,8.421533572764613E-4,6.801826924555635E-5
960,8.081000421219197E-4,6.30306997590594E-5
965,7.753927598937706E-4,5.844129720215834E-5
969.9999999999999,7.440199654682301E-4,5.421546094876674E-5
974.9999999999999,7.13957732272058E-4,5.032199373519052E-5
980,6.851745140764637E-4,4.67326670540864E-5
985,6.576316167203559E-4,4.342184489439419E-5
989.9999999999999,6.312860088844774E-4,4.0366210445208676E-5
994.9999999999999,6.061652534537214E-4,3.7578513056335004E-5
1000,5.821451284699987E-4,3.500045471289196E-5
1005,5.591098088506395E-4,3.258576471647494E-5
1010,5.370863121241726E-4,3.0352338579470047E-5
1014.9999999999999,5.160930118980325E-4,2.8310606845751416E-5
1019.9999999999999,4.960173184118583E-4,2.6418408792858908E-5
1025,4.768166021208605E-4,2.466388870517127E-5
1030,4.584500466963141E-4,2.3036203759189542E-5
1035,4.408783765824596E-4,2.152542466267857E-5
1039.9999999999998,4.240642325164131E-4,2.0122462424501985E-5
1045,4.0797182563707794E-4,1.8818984839232807E-5
1050,3.9256714407482555E-4,1.760735499660563E-5
1055,3.77817735197746E-4,1.6480565179154055E-5
1060,3.636927947163847E-4,1.543218505477417E-5
1064.9999999999998,3.5016295807557417E-4,1.445630702925466E-5
1070,3.372004279170235E-4,1.3547505730643116E-5
1075,3.2477871721719786E-4,1.2700791019247268E-5
1080,3.1287272365251997E-4,1.1911574129919863E-5
1084.9999999999998,3.014961064654818E-4,1.118503400921699E-5
1090,2.9058589732718244E-4,1.0506669636939014E-5
1095,2.800859345855306E-4,9.864780196984848E-6
1100,2.700132992856149E-4,9.265466163981149E-6
