% Model:              Untitled.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 22 2025, 17:29
% Dimension:          1
% Nodes:              101
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),F_x (N),F_y (N),F_z (N)
600,3.339701270388529E-25,-2.0989083355022202E-26,-3.0533840013359875E-24
605,3.7425854155100784E-25,-2.7201663180989497E-26,-3.320595913599585E-24
610,4.191887631300607E-25,-3.48128183546669E-26,-3.590608416986671E-24
615,4.684322394162212E-25,-4.368221887193258E-26,-3.8620840961364824E-24
619.9999999999999,5.226157674940401E-25,-5.377139668986994E-26,-4.145043417535866E-24
625,5.817169038296461E-25,-6.524086805986838E-26,-4.434854586422717E-24
629.9999999999999,6.469199295000316E-25,-7.84945756662565E-26,-4.7296210880961505E-24
635,7.181592983756326E-25,-9.355041536065407E-26,-5.0223527273918984E-24
639.9999999999999,7.96047936050791E-25,-1.1061584950554734E-25,-5.302379338928109E-24
645,8.795817597633709E-25,-1.29462737999985E-25,-5.549687504355786E-24
650,9.676902093387209E-25,-1.4987130874744716E-25,-5.73411460787292E-24
655,1.056176751935736E-24,-1.7071910315711211E-25,-5.810162802291592E-24
660,1.138485243548322E-24,-1.9031820837910562E-25,-5.712899239249864E-24
665,1.19920253218083E-24,-2.050990987994653E-25,-5.360831768925343E-24
670,1.228385279854175E-24,-2.1190606095393848E-25,-4.7029349023336684E-24
674.9999999999999,1.2121222841972735E-24,-2.0657647771660291E-25,-3.7192804387084735E-24
680,1.1425041586338217E-24,-1.8637989450199482E-25,-2.471322010456744E-24
684.9999999999999,1.0255471716795302E-24,-1.5243368437166478E-25,-1.1286559361664609E-24
690,8.793352288928274E-25,-1.0945865111316137E-25,1.205782915573568E-25
694.9999999999999,7.30648648523377E-25,-6.509085536406109E-26,1.094678074426154E-24
700,5.968563002183496E-25,-2.4555329447700157E-26,1.7476013940585035E-24
704.9999999999999,4.88332392514817E-25,8.56425730909661E-27,2.086137769714218E-24
710,4.094801547413224E-25,3.20602714320098E-26,2.1557975197533E-24
715,3.582510299486887E-25,4.6293756324334234E-26,2.0360083532727438E-24
720,3.287389017156534E-25,5.234424054179158E-26,1.7896593221240328E-24
725,3.161644795960427E-25,5.0976874317108574E-26,1.4652172011211514E-24
729.9999999999999,3.1652020770054893E-25,4.256329763898124E-26,1.0974607920980148E-24
735,3.2588446988924657E-25,2.787761813107366E-26,7.22918367264937E-25
739.9999999999999,3.411121174049786E-25,7.488192019968004E-27,3.670520829990127E-25
745,3.5878590473828504E-25,-1.6035064761470298E-26,6.782102763403998E-26
749.9999999999999,3.7399398817265947E-25,-3.352667107001311E-26,-1.2195367188596185E-25
755,3.7917661352144475E-25,-2.017243307222339E-26,-1.641154469336225E-25
759.9999999999999,3.7103043098203917E-25,5.325307608809585E-26,-1.9404306311187656E-25
765,3.6553748328480315E-25,1.4638517862529754E-25,-5.234417682822107E-25
770,3.7588107109776666E-25,1.8411367374718032E-25,-1.0860055685118196E-24
775,3.9260564313148885E-25,1.7412288053065202E-25,-1.6045008292354634E-24
780,4.071974066233819E-25,1.4676815201353215E-25,-2.0077840201766067E-24
784.9999999999999,4.170188364590494E-25,1.1624424827600911E-25,-2.3085600041159286E-24
790,4.217321035878211E-25,8.705455034507921E-26,-2.5279107667478517E-24
794.9999999999999,4.216747203612272E-25,6.051933790642053E-26,-2.6814608499826452E-24
800,4.174360459882702E-25,3.695109108407959E-26,-2.7816728588400393E-24
804.9999999999999,4.098171861825262E-25,1.6604094906923764E-26,-2.837825164381356E-24
810,3.9932520968993437E-25,-1.0928825671744313E-27,-2.8582191541942756E-24
814.9999999999999,3.8653969206235985E-25,-1.631022674013814E-26,-2.848893593287952E-24
