% Model:              Untitled.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 22 2025, 17:37
% Dimension:          1
% Nodes:              101
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),real(mx) (m^2*A),real(my) (m^2*A),real(mz) (m^2*A)
600,3.2216222162663814E-24,-5.591639053136832E-24,-7.653051530727461E-25
605,4.064311526352673E-24,-5.619750224112584E-24,-7.346794707655597E-25
610,5.0209037984787304E-24,-5.534518383069667E-24,-7.038665057079857E-25
615,6.079708581341233E-24,-5.306923568135958E-24,-6.716104214027816E-25
619.9999999999999,7.262063085692712E-24,-4.9093472296448E-24,-6.4000674142523775E-25
625,8.554330549082094E-24,-4.292728101276188E-24,-6.072726300542079E-25
629.9999999999999,9.965017866816304E-24,-3.384414575059399E-24,-5.709821740200335E-25
635,1.1456986120091574E-23,-2.110317134649388E-24,-5.314254068840803E-25
639.9999999999999,1.2989690501806013E-23,-3.5527285444715383E-25,-4.867086473055845E-25
645,1.4449813017698038E-23,1.989229693706869E-24,-4.366263004347403E-25
650,1.567907307538071E-23,5.074541249306951E-24,-3.790551090714942E-25
655,1.639060953173369E-23,8.992374535343588E-24,-3.131828766120584E-25
660,1.6181502995776712E-23,1.3804496281912394E-23,-2.364150457113211E-25
665,1.448045148944617E-23,1.9228938565441407E-23,-1.4831318330028571E-25
670,1.0829722171484287E-23,2.4926433718684883E-23,-4.305686367367745E-26
674.9999999999999,4.898938701658063E-24,3.0113118457264374E-23,8.325321635252071E-26
680,-3.1639425488082998E-24,3.375145108914084E-23,2.375200789899674E-25
684.9999999999999,-1.2470280377730102E-23,3.4902609604874383E-23,4.260878448655745E-25
690,-2.183621779553967E-23,3.324900706967164E-23,6.61715839186686E-25
694.9999999999999,-2.9932939713615376E-23,2.9199742028127824E-23,9.489821948202162E-25
700,-3.6246714418077146E-23,2.3506156563683795E-23,1.3162648013336002E-24
704.9999999999999,-4.062538075424956E-23,1.6903328011924077E-23,1.808448479536474E-24
710,-4.316540294206687E-23,1.0128104932979691E-23,2.4637890993479092E-24
715,-4.4224561789955534E-23,3.703913641951907E-24,3.325541162830081E-24
720,-4.419085167173475E-23,-2.3174918411897077E-24,4.5229257182152446E-24
725,-4.333781333001463E-23,-7.86558890563887E-24,6.225797960348212E-24
729.9999999999999,-4.183863285233188E-23,-1.2924496166274453E-23,8.752032601413407E-24
735,-3.986376644612681E-23,-1.744519163010234E-23,1.258251808879508E-23
739.9999999999999,-3.7493845697209086E-23,-2.1510504811757344E-23,1.8717293360589968E-23
745,-3.47969995212549E-23,-2.5129965706774744E-23,2.8914938961525584E-23
749.9999999999999,-3.1831530649153395E-23,-2.8309623870394096E-23,4.585906662704E-23
755,-2.8707031343547766E-23,-3.10278624159936E-23,7.005675455320777E-23
759.9999999999999,-2.541638757776634E-23,-3.331040706494283E-23,9.023528918176182E-23
765,-2.2008362475863197E-23,-3.514541858319753E-23,8.535966046698572E-23
770,-1.8540530464468192E-23,-3.65410607873665E-23,6.357134578417759E-23
775,-1.5126906056882787E-23,-3.750209773502211E-23,4.417828498394485E-23
780,-1.1762303285946658E-23,-3.8054461906081205E-23,3.106710618801994E-23
784.9999999999999,-8.494381459260914E-24,-3.822913493757386E-23,2.2631299987787793E-23
790,-5.3727400717363114E-24,-3.80427669919502E-23,1.7112045486019846E-23
794.9999999999999,-2.4427326109750522E-24,-3.752642337814576E-23,1.337932480122693E-23
800,2.6609850866853303E-25,-3.6729964186782124E-23,1.075499846651033E-23
804.9999999999999,2.7001412471235416E-24,-3.573458890947965E-23,8.872897872025411E-24
810,4.888017834471783E-24,-3.455599763497523E-23,7.457512473322771E-24
814.9999999999999,6.824303864661884E-24,-3.323725129752386E-23,6.367579574186048E-24
820,8.513574923092769E-24,-3.182035098258271E-23,5.509409710265026E-24
825,9.961556374069846E-24,-3.034339381264848E-23,4.8221876670276815E-24
830,1.1186138138978E-23,-2.883810814346568E-23,4.262040870079587E-24
835,1.2204854429768018E-23,-2.733058394023919E-23,3.7991432563878225E-24
839.9999999999999,1.3036997630371237E-23,-2.5842469267174615E-23,3.41166986255353E-24
845,1.3702135472524892E-23,-2.4421407550689642E-23,3.0884583178323016E-24
849.9999999999999,1.4223641018811177E-23,-2.304555479799467E-23,2.8115647720145267E-24
855,1.4619096525173272E-23,-2.172369961896571E-23,2.5722948428063004E-24
859.9999999999999,1.4904905930328314E-23,-2.0461739510917577E-23,2.3639578572339373E-24
865,1.5101393022263652E-23,-1.9287423261100574E-23,2.184391213741558E-24
869.9999999999999,1.5219033012845412E-23,-1.8174965455130082E-23,2.0256251679707835E-24
875,1.5262016064999673E-23,-1.710379234039423E-23,1.8822347939211742E-24
879.9999999999999,1.5247164177314234E-23,-1.6096993307777035E-23,1.754303900531218E-24
885,1.5191783177549475E-23,-1.5171163571597495E-23,1.6416864329643835E-24
890,1.509713802826889E-23,-1.430296624189482E-23,1.5400888983840845E-24
894.9999999999999,1.4966867858754102E-23,-1.348936140197582E-23,1.4488415250532645E-24
900,1.480847389430596E-23,-1.2728166046860631E-23,1.366375469705141E-24
904.9999999999999,1.4628716618140222E-23,-1.2017288785896749E-23,1.291380077192187E-24
910,1.443266248965177E-23,-1.1353238215196384E-23,1.2226976140482016E-24
914.9999999999999,1.422393352330242E-23,-1.073305968266911E-23,1.1596157553475332E-24
920,1.400564274867503E-23,-1.0153842171348903E-23,1.1015032314574942E-24
924.9999999999999,1.378931113705965E-23,-9.622788113848976E-24,1.0486787799463123E-24
930,1.356791615054904E-23,-9.125917856543172E-24,9.997071229806772E-25
934.9999999999999,1.3334381753994496E-23,-8.652450184246851E-24,9.5356894863944E-25
940,1.3099424546728438E-23,-8.209766566456306E-24,9.106506266608701E-25
945,1.2872630255250947E-23,-7.803166153794338E-24,8.712663888607306E-25
949.9999999999999,1.2646345334072951E-23,-7.422102882339514E-24,8.34444676006588E-25
954.9999999999999,1.242119875782278E-23,-7.065051014587123E-24,8.000626815506565E-25
960,1.2198123586603002E-23,-6.730044652463481E-24,7.678020685326159E-25
965,1.1977654814043041E-23,-6.415558075193547E-24,7.374948757618316E-25
969.9999999999999,1.1760266528163877E-23,-6.120112617137635E-24,7.089677559885867E-25
974.9999999999999,1.1546177917255491E-23,-5.842576003081267E-24,6.821499971516865E-25
980,1.133581783170129E-23,-5.581492902595887E-24,6.568338627871767E-25
985,1.1129506685042715E-23,-5.33563847530304E-24,6.328664304141562E-25
989.9999999999999,1.0927653875425116E-23,-5.103802601854244E-24,6.100648396821551E-25
994.9999999999999,1.0736360373765558E-23,-4.889435115827944E-24,5.888688430374384E-25
1000,1.0548970772314462E-23,-4.686991448018396E-24,5.687475601930181E-25
1005,1.0359339010972973E-23,-4.4921090333164106E-24,5.493141557851735E-25
1010,1.0173998909012382E-23,-4.308013578793292E-24,5.308421529615501E-25
1014.9999999999999,9.998746442436899E-24,-4.1373416727902054E-24,5.13600907240407E-25
1019.9999999999999,9.827460270314264E-24,-3.975730462569202E-24,4.971677108160008E-25
1025,9.66007929051626E-24,-3.822659749440425E-24,4.81509838193573E-25
1030,9.496590472507343E-24,-3.677526456297448E-24,4.665596414718907E-25
1035,9.336899724935394E-24,-3.5399182581793435E-24,4.523002757666184E-25
1039.9999999999998,9.180986808527676E-24,-3.409279179194149E-24,4.386632058034237E-25
1045,9.028760418279391E-24,-3.285229380419144E-24,4.256267913389371E-25
1050,8.880169373520963E-24,-3.1673152039327494E-24,4.1314072001118874E-25
1055,8.735118430096087E-24,-3.0552064091312534E-24,4.0118579424884568E-25
1060,8.593544608953209E-24,-2.948513352227569E-24,3.8971978736874386E-25
1064.9999999999998,8.455333571609866E-24,-2.8469964738625394E-24,3.787395542878229E-25
1070,8.320435225477465E-24,-2.750270073992166E-24,3.681946934588666E-25
1075,8.188746904849903E-24,-2.6581043923588673E-24,3.5807603547431213E-25
1080,8.060203219254122E-24,-2.5701877953700312E-24,3.483469762043045E-25
1084.9999999999998,7.938922353198992E-24,-2.4879698320430738E-24,3.391692632218234E-25
1090,7.820409406335638E-24,-2.4093094312438116E-24,3.3033551981207604E-25
1095,7.700544290509049E-24,-2.3324379746775782E-24,3.216671046896326E-25
1100,7.583502040649925E-24,-2.2589572033205265E-24,3.1331493912227874E-25
