% Model:              Untitled.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 22 2025, 17:29
% Dimension:          1
% Nodes:              101
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),real(px) (C*m),real(my)/c_const (C*m),real(pz) (C*m)
600,8.957059333602636E-32,-1.865170021434239E-32,5.803639112576344E-33
605,9.635335860962628E-32,-1.8745468987457262E-32,7.136189237667074E-33
610,1.0321629556625088E-31,-1.846116616806173E-32,8.389402509535878E-33
615,1.099263894658684E-31,-1.7701991582910195E-32,9.583571232300534E-33
619.9999999999999,1.1626652880186136E-31,-1.637581966670022E-32,1.0716851889137862E-32
625,1.220149823760668E-31,-1.4318999650338727E-32,1.18177045393049E-32
629.9999999999999,1.269625593265299E-31,-1.1289191855051267E-32,1.292813362239731E-32
635,1.3066572298397636E-31,-7.039260256004799E-33,1.4053926964816543E-32
639.9999999999999,1.3246025546531358E-31,-1.1850626824212964E-33,1.5208156749485015E-32
645,1.3145176050345659E-31,6.635356029226289E-33,1.63927030245032E-32
650,1.2633774567004447E-31,1.6926847603707731E-32,1.7617453123301268E-32
655,1.1554684038477241E-31,2.999533275564787E-32,1.888143925578522E-32
660,9.704077852503564E-32,4.604684311942362E-32,2.0187590904934796E-32
665,6.9161701564924E-32,6.414083494202315E-32,2.1493477519077914E-32
670,3.15543038236625E-32,8.314563309889831E-32,2.2842154591278132E-32
674.9999999999999,-1.4167933997331938E-32,1.0044655111792163E-31,2.4233206369352016E-32
680,-6.339930555670161E-32,1.1258272244173948E-31,2.5664577625457735E-32
684.9999999999999,-1.0887946012671184E-31,1.1642257392904256E-31,2.712903215678783E-32
690,-1.4444399915552648E-31,1.109067495943198E-31,2.862813762651062E-32
694.9999999999999,-1.662777814466817E-31,9.739985529631911E-32,3.0150212778424846E-32
700,-1.7510492866300704E-31,7.840809845751288E-32,3.169884048112132E-32
704.9999999999999,-1.7326356084898242E-31,5.638343314135033E-32,3.32679746294554E-32
710,-1.6410158411890546E-31,3.378372158041311E-32,3.4825143988271484E-32
715,-1.5123426205954192E-31,1.23549260266978E-32,3.6384417384034E-32
720,-1.3661976193088106E-31,-7.730320691355443E-33,3.7946930323834027E-32
725,-1.2174855276094504E-31,-2.623678046510053E-32,3.9508520668769694E-32
729.9999999999999,-1.0753544335561387E-31,-4.311147869595323E-32,4.106107938333603E-32
735,-9.474975424924577E-32,-5.819089561653462E-32,4.259566846594273E-32
739.9999999999999,-8.353265106532308E-32,-7.175132074789335E-32,4.4109486764455193E-32
745,-7.408495155118332E-32,-8.382454273340907E-32,4.5596296701758265E-32
749.9999999999999,-6.650675670610956E-32,-9.443074071728014E-32,4.7050874431705806E-32
755,-6.088365896061277E-32,-1.0349780852723653E-31,4.8468471753638517E-32
759.9999999999999,-5.708332149989553E-32,-1.1111155793299785E-31,4.983641339890518E-32
765,-5.505681002141221E-32,-1.1723249750064605E-31,5.11554174018406E-32
770,-5.467152117344077E-32,-1.218878587911858E-31,5.2425467338165E-32
775,-5.574618169348582E-32,-1.2509353299015316E-31,5.364372939217094E-32
780,-5.808139723764866E-32,-1.2693602153954522E-31,5.480798853860225E-32
784.9999999999999,-6.145739455484401E-32,-1.2751866805659888E-31,5.59182913150079E-32
