% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 30 2025, 17:00
% Dimension:          1
% Nodes:              176
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
9.999999999999998,8.067874100508145E-29,-1.2752765562184635E-29,1.6908270839022865E-29,8.762482132206342E-29,1.5897949549528773E-30,8.860901742700447E-30
11,1.2991347234746359E-28,-2.0533490861690378E-29,2.7216758440415953E-29,1.4106361519707337E-28,2.6235442147093604E-30,1.4668151780777083E-29
12,2.0070844037750054E-28,-3.17210409648922E-29,4.2033655689794394E-29,2.1788016571593953E-28,4.151551702696615E-30,2.3279990637336904E-29
12.999999999999998,2.994899830743143E-28,-4.733098252056292E-29,6.270034656072949E-29,3.250308672239578E-28,6.341746697641111E-30,3.5661885910110966E-29
14,4.338603762457033E-28,-6.856607359735148E-29,9.080319258938919E-29,4.707394155654766E-28,9.400180907443381E-30,5.300291668643348E-29
15,6.127015701771781E-28,-9.683132869726405E-29,1.281956388496251E-28,6.646096332053265E-28,1.3576428788151153E-29,7.67472490709189E-29
15.999999999999998,8.462815363576738E-28,-1.3375412402518597E-28,1.7701995964836642E-28,9.17735219064879E-28,1.916893862102199E-29,1.0862779504575467E-28
16.999999999999996,1.1463617209185626E-27,-1.8119913370743388E-28,2.397310099299898E-28,1.2428188427460604E-27,2.653128608567969E-29,1.5070228301707184E-28
18,1.5263092294760209E-27,-2.412900715260265E-28,3.191195745543967E-28,1.6542871228792887E-27,3.6078179113005625E-29,2.0539157930393836E-28
19,2.0012083801143184E-27,-3.1642676640387964E-28,4.183379066647877E-28,2.1684039818745165E-27,4.8292826506651737E-29,2.7552074492336914E-28
19.999999999999996,2.5879795531566174E-27,-4.093086738837822E-28,5.409238947789246E-28,2.803413364792555E-27,6.373317099809251E-29,3.6436244937050963E-28
21,3.305500774449349E-27,-5.229550465542987E-28,6.9083297531589195E-28,3.579642705537344E-27,8.304024651902632E-29,4.756831705599849E-28
22,4.174727309035491E-27,-6.607282587831611E-28,8.724595565794447E-28,4.51964658617984E-27,1.069463903697363E-28,6.137925589515263E-28
22.999999999999996,5.218825140301715E-27,-8.263597124469363E-28,1.0906745119237919E-27,5.648342796641896E-27,1.3628293823092286E-28,7.835952762353954E-28
24,6.463302119175984E-27,-1.0239731910288188E-27,1.3508566814242377E-27,6.9931378043829E-27,1.7199098605983286E-28,9.906464886871835E-28
25,7.936152683722708E-27,-1.2581208923598105E-27,1.6589175270945062E-27,8.584112127561805E-27,2.1512830943142705E-28,1.2412097131980937E-27
25.999999999999996,9.667995415500805E-27,-1.5338107804784594E-27,2.0213653564091645E-27,1.045410682823946E-26,2.6688210617320184E-28,1.5423201682721758E-27
