% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 30 2025, 16:58
% Dimension:          1
% Nodes:              176
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
9.999999999999998,3.1302417495584325E-35,-6.747676328735898E-36,5.4313319210544204E-36,3.038795407975551E-35,-1.1254441808501401E-35,-5.825009476177341E-35
11,4.2795895111102946E-35,-9.204177137041599E-36,7.428474110065125E-36,4.1682885742313187E-35,-1.5123979058520715E-35,-7.817876712292953E-35
12,5.702158556559952E-35,-1.223705867880067E-35,9.901548558694216E-36,5.571298225625839E-35,-1.9816240329572122E-35,-1.0228033493986843E-34
12.999999999999998,7.434596935656468E-35,-1.5921925038293365E-35,1.291471731795655E-35,7.285684887027659E-35,-2.5419876021760646E-35,-1.3097301522598709E-34
14,9.51552233387758E-35,-2.0338328820084228E-35,1.6535841777327726E-35,9.351498928347551E-35,-3.202689937013468E-35,-1.6468121320936438E-34
15,1.1985565729255353E-34,-2.5569891707816347E-35,2.083626414829991E-35,1.1810992051561626E-34,-3.973344178222769E-35,-2.03832688663417E-34
15.999999999999998,1.488736797609042E-34,-3.170428825221654E-35,2.589125306269171E-35,1.4708658311235867E-34,-4.863981559607151E-35,-2.4886290003814916E-34
16.999999999999996,1.8265621771441973E-34,-3.8833410510435976E-35,3.177967054430604E-35,1.8091220915634454E-34,-5.885181809563004E-35,-3.002103864819024E-34
18,2.2167099693994363E-34,-4.7053417176523066E-35,3.8584417405898987E-35,2.20077062118059E-34,-7.048052014526375E-35,-3.58322136449386E-34
19,2.6640600386395216E-34,-5.646497275117501E-35,4.6392349340292064E-35,2.650942243460862E-34,-8.364367173421759E-35,-4.236479767062389E-34
19.999999999999996,3.173715480780572E-34,-6.717310483498749E-35,5.529448090913112E-35,3.1650028638832766E-34,-9.846678701401124E-35,-4.966480703895004E-34
21,3.7509863150569804E-34,-7.92877824457376E-35,6.538610926740954E-35,3.7485563470358145E-34,-1.1508219706748402E-34,-5.777868311854743E-34
22,4.401404988403179E-34,-9.29236935599169E-35,7.676704746902561E-35,4.407446419474257E-34,-1.3363248899776027E-34,-6.675362233078917E-34
22.999999999999996,5.13072799867564E-34,-1.082006360790089E-34,8.954165357477297E-35,5.147761936447858E-34,-1.5427129692701466E-34,-7.663761329720273E-34
24,5.944933391400679E-34,-1.25243943682658E-34,1.0381915236136321E-34,5.975840408726149E-34,-1.7716249754155324E-34,-8.747903881951095E-34
25,6.850245781851131E-34,-1.4418388828931398E-34,1.197138576537609E-34,6.8982763718547166E-34,-2.0248105410861224E-34,-9.932770046671901E-34
25.999999999999996,7.853108977155915E-34,-1.6515750010182919E-34,1.3734557948135857E-34,7.921921378946514E-34,-2.3041950668611914E-34,-1.1223369750156088E-33
26.999999999999996,8.960214213715184E-34,-1.8830671718379514E-34,1.5683987025169898E-34,9.053892690752862E-34,-2.6117978810300913E-34,-1.262482362169015E-33
28,1.0178512047416961E-33,-2.13781540252578E-34,1.7832791852505646E-34,1.0301579324510543E-33,-2.9498875534687075E-34,-1.41423136437416E-33
28.999999999999996,1.1515195663420633E-33,-2.417373544615393E-34,2.0194719861879824E-34,1.1672646832943474E-33,-3.3208202522105157E-34,-1.5781094354359615E-33
30,1.2977711479331819E-33,-2.7233823760969617E-34,2.2784314349702626E-34,1.3175046767346335E-33,-3.727248879010492E-34,-1.754655582679939E-33
30.999999999999996,1.4573803332588632E-33,-3.057548162646513E-34,2.5616698453507003E-34,1.481702025993824E-33,-4.17199573630907E-34,-1.9444158421597756E-33
31.999999999999996,1.6311444823649363E-33,-3.421671610842031E-34,2.8707868941567568E-34,1.6607113649301717E-33,-4.658057275604745E-34,-2.147935683886318E-33
33,1.8198948911712002E-33,-3.8176330868854723E-34,3.2074618288560526E-34,1.8554176840000032E-33,-5.188820150965322E-34,-2.365786572342284E-33
33.99999999999999,2.024485459792471E-33,-4.24742406567647E-34,3.5734711448767585E-34,2.066737709821619E-33,-5.767908520738282E-34,-2.598527661491291E-33
35,2.245806767543986E-33,-4.713124142235218E-34,3.970677197914408E-34,2.2956213509265595E-33,-6.399235403013764E-34,-2.846737523595395E-33
