% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 30 2025, 17:30
% Dimension:          1
% Nodes:              176
% Expressions:        5
% Description:        Table graph
% R0 (nm),C_ED (m^2),C_MD (m^2),C_EQ (m^2),C_MQ (m^2),C (m^2)
9.999999999999998,8.838089594148234E-21,2.6322121775021327E-25,1.3897991096784123E-26,2.962521137765372E-33,8.838366713360045E-21
11,1.6154574610187814E-20,6.825393389237262E-25,3.5453562134029927E-26,1.1444220652888213E-32,1.6155292603100315E-20
12,2.8062334847566345E-20,1.6291838328057198E-24,8.294576463732421E-26,3.9368505757291146E-32,2.806404697720316E-20
12.999999999999998,4.6707252163904815E-20,3.6276580625271114E-24,1.806054079927753E-25,1.2286862788635678E-31,4.6711060427498206E-20
14,7.496136090096845E-20,7.613550030458935E-24,3.701547930464284E-25,3.529799905239805E-31,7.496934460614493E-20
15,1.1659163899370595E-19,1.5184975710865534E-23,7.204331876869611E-25,9.441764029126942E-31,1.166075444035487E-19
15.999999999999998,1.7645832342790022E-19,2.897192078779661E-23,1.3410291404721766E-24,2.373395780146979E-30,1.7648863638020189E-19
16.999999999999996,2.6073692911750077E-19,5.316501124799471E-23,2.4010250103783936E-24,5.6491647033419455E-30,2.6079249515940836E-19
18,3.7717883752389434E-19,9.425538205079523E-23,4.154491272909965E-24,1.281196438446929E-29,3.7727724741003E-19
19,5.353962372686336E-19,1.620490977125048E-22,6.974168237760061E-24,2.7831915990293004E-29,5.355652605624158E-19
19.999999999999996,7.472009023997622E-19,2.7103705595436895E-22,1.139582700374892E-23,5.816923022517273E-29,7.474833353408896E-19
21,1.0269657949207885E-18,4.422110392168028E-22,1.817542657968432E-23,1.1741162393119715E-28,1.0274261815039966E-18
22,1.3920459465330548E-18,7.054441664641802E-22,2.836217859913351E-23,2.296207285580047E-28,1.3927797531077388E-18
22.999999999999996,1.8632451779935832E-18,1.1025719448711179E-21,4.3390930291126E-23,4.363349458084619E-28,1.8643911413050802E-18
24,2.4653227568896245E-18,1.6913309931061492E-21,6.519712066428766E-23,8.0761863378211765E-28,2.4670792858110136E-18
25,3.227600278566364E-18,2.550365038949227E-21,9.636132864861477E-23,1.4591768968089124E-27,3.230247006393139E-18
25.999999999999996,4.184571755903734E-18,3.785484507021175E-21,1.4028418593175173E-22,2.578410469795853E-27,4.1884975271750974E-18
26.999999999999996,5.3766339967469656E-18,5.537490549873789E-21,2.014036287524301E-22,4.4634713671964164E-27,5.382372895389063E-18
28,6.850871285664352E-18,7.991861677748419E-21,2.854564104099244E-22,7.580956365877706E-27,6.8591486113334666E-18
28.999999999999996,8.6619012762015E-18,1.1390620625223103E-20,3.9979269430076675E-22,1.2649984244790512E-26,8.673691702171007E-18
30,1.0872884348883002E-17,1.6046802987823525E-20,5.537598867315601E-22,2.0763298693902177E-26,1.0889484932520854E-17
30.999999999999996,1.3556548727428706E-17,2.2362205099122432E-20,7.591553276579238E-22,3.3559601774058294E-26,1.3579670121415088E-17
31.999999999999996,1.6796263824626597E-17,3.084847296636941E-20,1.0307560589254669E-21,5.346622632864277E-26,1.6828143107118115E-17
33,2.0687551434010407E-17,4.2152989854556135E-20,1.3869812500072534E-21,8.403768149665485E-26,2.0731091489152653E-17
33.99999999999999,2.533914823639787E-17,5.708910990474286E-20,1.8506180061039506E-21,1.3042306502015229E-25,2.539808809473178E-17
35,3.087482578193811E-17,7.66733075291692E-20,2.4497239668574854E-21,2.0000664532588446E-25,3.0953949013440784E-17
36,3.743495259893186E-17,1.0216823855887394E-19,3.2186639448443336E-21,3.032776442793308E-25,3.754033980471322E-17
36.99999999999999,4.517815556684824E-17,1.3513433205986064E-19,4.199293635653461E-21,4.550029797820689E-25,4.531748964754673E-17
38,5.4283957859821824E-17,1.7749100292314732E-19,5.442458742413593E-21,6.757974948491845E-25,5.4466891997284884E-17
39,6.495358233910367E-17,2.3158778187182147E-19,7.009397105929662E-21,9.942107476390485E-25,6.519218051229216E-17
39.99999999999999,7.741443706411669E-17,3.0028955054477094E-19,8.974014634149692E-21,1.4494847754756438E-24,7.772370207878039E-17
41,9.19203181071014E-17,3.8707461806052323E-19,1.1424588404977508E-20,2.0951736287138944E-24,9.231881940874053E-17
42,1.0875635408700052E-16,4.961510858854258E-19,1.4466708481308887E-20,3.003872516692634E-24,1.0926697488523977E-16
42.99999999999999,1.2824077334495685E-16,6.325922125919657E-19,1.82258895361274E-20,4.273357482331575E-24,1.2889159572044243E-16
44,1.5072885456076283E-16,8.024936671217922E-19,2.285098967321528E-20,6.034516941130205E-24,1.5155420525207478E-16
45,1.7661628081672683E-16,1.0131586371316901E-18,2.851792354052987E-20,8.461556766251988E-24,1.776579658389558E-16
45.99999999999999,2.063424532276386E-16,1.2733103105302082E-18,3.543371794888045E-20,1.1785055637169015E-23,2.0765120904117333E-16
47,2.4039744162407112E-16,1.5933437555984585E-18,4.38422088769465E-20,1.6308620098865786E-23,2.4203464389716665E-16
48,2.7932233863975757E-16,1.9856092892974413E-18,5.402833570863926E-20,2.242999729504082E-23,2.8136199869476094E-16
48.99999999999999,3.2371935115058827E-16,2.464754815853364E-18,6.632590136157675E-20,3.066780590778454E-23,3.262504625356091E-16
50,3.7425364397891417E-16,3.0481069119976823E-18,8.112375180624663E-20,4.169518910688926E-23,3.773829163379072E-16
50.99999999999999,4.316596907032578E-16,3.756135544283801E-18,9.887330141929366E-20,5.638206824510126E-23,4.355147559310291E-16
51.99999999999999,4.967480090441932E-16,4.6129543678934385E-18,1.2009808315594402E-19,7.58479971375578E-23,5.014811373432396E-16
53,5.704163166394157E-16,5.646941558817583E-18,1.4540599413767255E-19,1.015280647813482E-22,5.762087657204358E-16
53.99999999999999,6.536512269265199E-16,6.891446551917144E-18,1.7549714341133214E-19,1.3525499254983046E-22,6.607183058768409E-16
54.99999999999999,7.475378073469223E-16,8.385567680628818E-18,2.111779717913764E-19,1.7936059207579546E-22,7.561347323599347E-16
56,8.532714051808344E-16,1.0175145652204713E-17,2.533760879241129E-19,2.368017652672047E-22,8.637001637227286E-16
56.99999999999999,9.72165254276139E-16,1.231380011483556E-17,3.031554112601008E-19,3.11315170598579E-22,9.84782521117405E-16
57.99999999999999,1.1056602604978594E-15,1.486420971354238E-17,3.617331550101027E-19,4.0760812267525494E-22,1.1208866109745345E-15
59,1.2553355393143172E-15,1.7899565264210012E-17,4.304976304443555E-19,5.315927952120221E-22,1.2736661338017668E-15
60,1.4229312859421042E-15,2.15053137913089E-17,5.11038177151196E-19,6.906732030785787E-22,1.4449483285837675E-15
60.99999999999999,1.6103395327860214E-15,2.5781042774989834E-17,6.05150022536102E-19,8.940948534274325E-22,1.6367266196784006E-15
61.99999999999999,1.819644227458095E-15,3.084279000137762E-17,7.14882382448385E-19,1.1533725444086833E-21,1.8512030532144654E-15
63,2.0531149019298372E-15,3.682570486290444E-17,8.425441529989767E-19,1.4828108066648818E-21,2.0907846337565473E-15
63.99999999999999,2.313238864299234E-15,4.3887202692713476E-17,9.907498785167469E-19,1.9001373983326152E-21,2.3581187170078624E-15
64.99999999999999,2.602740246811756E-15,5.221033267135586E-17,1.1624543145781077E-18,2.4272657905270097E-21,2.656115461063481E-15
66,2.924564907841857E-15,6.20081024525314E-17,1.3609473909214922E-18,3.0912297193617463E-21,2.987937048915029E-15
67,3.2819587967398233E-15,7.352842283408953E-17,1.5899552349989427E-18,3.9253034723094844E-21,3.357081100112384E-15
67.99999999999999,3.6784605122661135E-15,8.705959198528067E-17,1.853646581494613E-18,4.970353169000976E-21,3.767378721186058E-15
69,4.1178887117628436E-15,1.0293687904568725E-16,2.156626414917438E-18,6.276480224560045E-21,4.222988493703673E-15
70,4.6044692763967624E-15,1.2155055668637584E-16,2.5041073744897904E-18,7.904975715148182E-21,4.728531845433343E-15
70.99999999999999,5.1427593640576694E-15,1.4335489968872176E-16,2.901824662305625E-18,9.930701873842617E-21,5.289026019110571E-15
72,5.737711750744883E-15,1.6887821617562912E-16,3.356116789257316E-18,1.2444913118436071E-20,5.909958528622888E-15
73,6.3947616284456745E-15,1.9873621485907492E-16,3.87406190700044E-18,1.5558669124814572E-20,6.597387463880875E-15
73.99999999999999,7.119801997616141E-15,2.3364610924707104E-16,4.463441549798145E-18,1.94069045666726E-20,7.357930955317577E-15
75,7.919247372475795E-15,2.744439533254878E-16,5.132833247222135E-18,2.4153325976697272E-20,8.19884831237448E-15
76,8.800102926422317E-15,3.22105171854231E-16,5.891728164155004E-18,2.999616868118926E-20,9.128129822609383E-15
76.99999999999999,9.769979381439597E-15,3.777682163872073E-16,6.75053091432901E-18,3.717523158256632E-20,1.0154535303972715E-14
78,1.083709506333927E-14,4.427626876262844E-16,7.720540351847821E-18,4.59800676201509E-20,1.1287624271385024E-14
79,1.2010638751701307E-14,5.186446871802007E-16,8.814709733683866E-18,5.675976479286508E-20,1.2538154908379985E-14
79.99999999999999,1.3300348904595002E-14,6.072335841900218E-16,1.004672205636511E-17,6.993484500010682E-20,1.391769914568639E-14
81,1.471696824692229E-14,7.106612344286273E-16,1.1431956610450581E-17,8.601076604968003E-20,1.5439147448727415E-14
82,1.6272231038442175E-14,8.314286948924386E-16,1.298756467362995E-17,1.0559451866555475E-19,1.7116752892526907E-14
82.99999999999999,1.7978878538707053E-14,9.724707393377064E-16,1.4732481503652192E-17,1.2941379582067543E-19,1.896621117334423E-14
84,1.9850856197774954E-14,1.1372380837811078E-15,1.6688098777566014E-17,1.5833982743798274E-19,2.1004940720161066E-14
85,2.1903417061989703E-14,1.3297891511824264E-15,1.8878714286569862E-17,1.934136712213864E-19,2.3252278341129922E-14
85.99999999999999,2.4153151187801434E-14,1.55490579081832E-15,2.1331900797371035E-17,2.3587783072119444E-19,2.5729624757247847E-14
87,2.6618022380247782E-14,1.8182296930782327E-15,2.4079042949006437E-17,2.872123017009425E-19,2.8460618328576725E-14
88,2.931770773603535E-14,2.1264209496442633E-15,2.7157101963579978E-17,3.4917594269488165E-19,3.147163496358589E-14
88.99999999999999,3.2273805465385955E-14,2.487348405282936E-15,3.0610151974503584E-17,4.238550951594424E-19,3.4792187877738556E-14
90,3.550909520518707E-14,2.910333946886326E-15,3.4488413067470096E-17,5.137196425760022E-19,3.845443128478344E-14
91,3.904874886825743E-14,3.406404207137467E-15,3.885390783242042E-17,6.216824741536996E-19,4.2494628665701477E-14
91.99999999999999,4.291905216484768E-14,3.988649198322346E-15,4.377909206016306E-17,7.51171032471204E-19,4.6952231626262657E-14
93,4.714859014083672E-14,4.672580742989218E-15,4.9353930867084024E-17,9.061997978128228E-19,5.187143101449084E-14
94,5.1766823449154126E-14,5.4766108651226634E-15,5.568542585164733E-17,1.0914541583886718E-18,5.730021119428682E-14
