% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 30 2025, 17:01
% Dimension:          1
% Nodes:              176
% Expressions:        3
% Description:        Table graph
% R0 (nm),F_x (N),F_y (N),F_z (N)
9.999999999999998,-6.513894797691977E-31,1.836033083479338E-30,-2.531215594729386E-28
11,-8.64438480093893E-31,2.1827906854778935E-30,-3.39193663026932E-28
12,-1.1063189519261442E-30,2.2734211746845465E-30,-4.388860877010728E-28
12.999999999999998,-1.3987827450470577E-30,1.934628856437576E-30,-5.558747433189505E-28
14,-1.708853117643928E-30,2.2368475089539265E-30,-6.8654842795567075E-28
15,-2.0692639301268467E-30,2.6784581712989514E-30,-8.3702593394743E-28
15.999999999999998,-2.4690382044718494E-30,2.9315804942252254E-30,-1.008867380482841E-27
16.999999999999996,-2.8814671560124942E-30,3.227339499677513E-30,-1.1959922779483053E-27
18,-3.318509353917541E-30,3.4483493465517264E-30,-1.4034526752865906E-27
19,-3.7528901410652E-30,3.0274272569957744E-30,-1.6302833562467093E-27
19.999999999999996,-4.1986820133400594E-30,3.72438329110445E-30,-1.8794896567772097E-27
21,-4.629864354019415E-30,4.223507124739953E-30,-2.155803226593603E-27
22,-5.020831198095781E-30,4.214321549212445E-30,-2.445611286694889E-27
22.999999999999996,-5.358092868251721E-30,4.8559852454282156E-30,-2.769372120899604E-27
24,-5.638922699455662E-30,4.295739032971829E-30,-3.1154148970317877E-27
25,-5.7574188628929745E-30,4.6049122835868125E-30,-3.4833764653184196E-27
25.999999999999996,-5.8232903773087094E-30,5.1523338667944344E-30,-3.8937511264242314E-27
26.999999999999996,-5.611772619269533E-30,4.9070995096685836E-30,-4.31936241008624E-27
28,-5.2332874086839666E-30,5.169108897703624E-30,-4.7850417724849456E-27
28.999999999999996,-4.587511650657945E-30,5.724626714006857E-30,-5.284417656694795E-27
30,-3.637193673463424E-30,6.3017030216190565E-30,-5.8296248853421395E-27
30.999999999999996,-2.296188330027544E-30,6.58853976014175E-30,-6.41547189740595E-27
31.999999999999996,-5.192373036670004E-31,6.457820754002063E-30,-7.045032221699083E-27
33,1.775511935070259E-30,6.965394156534652E-30,-7.731924855087137E-27
33.99999999999999,4.6762662328151795E-30,7.96924458676893E-30,-8.476187538568288E-27
35,8.266988563371178E-30,7.917724321909005E-30,-9.265232789407106E-27
36,1.266378618054098E-29,8.828677726267975E-30,-1.0131172414452061E-26
36.99999999999999,1.795789399621442E-29,8.824889279104466E-30,-1.106106577938478E-26
38,2.4310746699018732E-29,1.0101458701888839E-29,-1.2076379527126201E-26
39,3.1823310372501153E-29,1.1154971651692711E-29,-1.31772262066787E-26
39.99999999999999,4.0695891647561663E-29,1.311781930808289E-29,-1.4380463138992237E-26
41,5.106400266245669E-29,1.496369514552858E-29,-1.5674279609395935E-26
42,6.311015811319727E-29,1.6229847627044E-29,-1.706990921715833E-26
42.99999999999999,7.709707619132973E-29,1.8959313202142627E-29,-1.8600466106038538E-26
44,9.321954986996033E-29,2.1865804636886363E-29,-2.0258622147776637E-26
45,1.1175707926641845E-28,2.5733169646210005E-29,-2.207132760333015E-26
45.99999999999999,1.3297475221989443E-28,3.025730403055311E-29,-2.4040030103115148E-26
47,1.5718323015099201E-28,3.583367661559672E-29,-2.618902519301529E-26
48,1.8481396559931837E-28,4.309610736638813E-29,-2.851310466727936E-26
48.99999999999999,2.161890705463546E-28,5.137756848932614E-29,-3.1051797004289245E-26
50,2.517057767882536E-28,5.994606336140901E-29,-3.378427247648755E-26
50.99999999999999,2.919532400202839E-28,7.196912269717376E-29,-3.6777485843038846E-26
51.99999999999999,3.373937258116326E-28,8.682345419836444E-29,-4.0038337155909945E-26
53,3.8872348548857557E-28,1.0425530229174175E-28,-4.3570345200590243E-26
53.99999999999999,4.464230993773451E-28,1.2509859235256706E-28,-4.742771546999368E-26
54.99999999999999,5.114356599676265E-28,1.4959872547379645E-28,-5.158295435453003E-26
56,5.845124097635182E-28,1.7973574377350079E-28,-5.612744979309143E-26
56.99999999999999,6.663289363246584E-28,2.1342431902011368E-28,-6.100920620116195E-26
57.99999999999999,7.583670826643594E-28,2.5549371785441293E-28,-6.633520851356686E-26
59,8.615260404475615E-28,3.0466654102504776E-28,-7.209970530739599E-26
60,9.772310488118982E-28,3.6334502952155625E-28,-7.833214583423752E-26
60.99999999999999,1.1066063113887763E-27,4.319378794183113E-28,-8.508161075581073E-26
61.99999999999999,1.251970099569872E-27,5.144138651175074E-28,-9.237959208200227E-26
63,1.4144184802685075E-27,6.096023007931599E-28,-1.0025802748840033E-25
63.99999999999999,1.5965545677450567E-27,7.227377643141686E-28,-1.087720960881933E-25
64.99999999999999,1.800286619536897E-27,8.534058286558063E-28,-1.1791322959685585E-25
66,2.0286597116731587E-27,1.0067754745509236E-27,-1.2778354705028439E-25
67,2.2847173374829386E-27,1.1864067654921694E-27,-1.3841809767720713E-25
67.99999999999999,2.571150120384335E-27,1.3924217782236658E-27,-1.4981241863367864E-25
69,2.8931623490515358E-27,1.6345281339418653E-27,-1.6207973860101078E-25
70,3.2543239087053706E-27,1.9139564466872016E-27,-1.752512998261248E-25
70.99999999999999,3.6598991124737365E-27,2.237203760165772E-27,-1.8938741604939793E-25
72,4.115662300484881E-27,2.6089717674161153E-27,-2.0450399970346036E-25
73,4.627885077600148E-27,3.0349290459250766E-27,-2.2066784386667524E-25
73.99999999999999,5.205439345669894E-27,3.525508987822599E-27,-2.3794969693697255E-25
75,5.856234772275575E-27,4.087326961244736E-27,-2.5644910285626286E-25
76,6.59096319899656E-27,4.7290584628020965E-27,-2.761691515709126E-25
76.99999999999999,7.420712611843876E-27,5.459712518034116E-27,-2.9725998220708744E-25
78,8.359474126201714E-27,6.289276053019434E-27,-3.1966071332003906E-25
79,9.422462388239898E-27,7.229005152504358E-27,-3.435726248711738E-25
79.99999999999999,1.062766328911594E-26,8.290264594739758E-27,-3.6906971240560182E-25
81,1.1995775370150568E-26,9.485337847488895E-27,-3.9624618253572666E-25
82,1.3550084242328466E-26,1.0826540226102043E-26,-4.25150614073121E-25
82.99999999999999,1.5318831658626124E-26,1.232784275271858E-26,-4.559280337858297E-25
84,1.7333455552084392E-26,1.4002737645013387E-26,-4.887842812794392E-25
85,1.9630353657806446E-26,1.586533150117696E-26,-5.238811511657569E-25
85.99999999999999,2.2249520614955183E-26,1.7924915520225474E-26,-5.61361833570592E-25
87,2.52428850424924E-26,2.0202597767541355E-26,-6.015342041907447E-25
88,2.866208461275366E-26,2.27027411151919E-26,-6.445077151347755E-25
88.99999999999999,3.256967282122665E-26,2.5436820099766258E-26,-6.907741435428566E-25
90,3.7037785034044185E-26,2.841508168923804E-26,-7.405068602605222E-25
91,4.2149895309109934E-26,3.1644099865485697E-26,-7.942628864033079E-25
91.99999999999999,4.799531631177611E-26,3.5121350843403005E-26,-8.524208564538947E-25
93,5.468024417328313E-26,3.8848287682521465E-26,-9.155429662925167E-25
94,6.232318267871447E-26,4.281682934062878E-26,-9.84322378964908E-25
94.99999999999999,7.105348270878478E-26,4.7005516226384747E-26,-1.0592913072667337E-24
96,8.101594071051383E-26,5.1386485506923634E-26,-1.141275146470597E-24
97,9.23746100391572E-26,5.592496868755011E-26,-1.2311419030301873E-24
97.99999999999999,1.0529998299432657E-25,6.055863815582817E-26,-1.329513024935177E-24
98.99999999999999,1.199837596424605E-25,6.521950550692829E-26,-1.4376162307605657E-24
100,1.3662389787468093E-25,6.98053305820649E-26,-1.556120482930709E-24
100.99999999999999,1.5541836066671494E-25,7.418357028516162E-26,-1.6858432077770014E-24
101.99999999999999,1.7656969152802384E-25,7.819451465504956E-26,-1.827566133973041E-24
103,2.002554170519897E-25,8.16225208638909E-26,-1.9815891146887303E-24
103.99999999999999,2.2662743942465733E-25,8.421631470654486E-26,-2.148027286753242E-24
