% Model:              3D-Au-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 28 2025, 15:10
% Dimension:          1
% Nodes:              171
% Expressions:        3
% Description:        Table graph
% R (nm),F_x (N),F_y (N),F_z (N)
100,1.4145881691072778E-25,7.058163782617322E-26,-1.5212799657177378E-24
100.5,1.5117271733972033E-25,7.288285874166841E-26,-1.5864448138507255E-24
100.99999999999999,1.609318336350213E-25,7.502000710058068E-26,-1.6562600274680177E-24
101.49999999999999,1.716464978851815E-25,7.698487861164462E-26,-1.7245692109096564E-24
101.99999999999999,1.8270265162937795E-25,7.92788151723692E-26,-1.7981532538833253E-24
102.5,1.9464018626138665E-25,8.064085794690756E-26,-1.8747710376150523E-24
103,2.0757725585490594E-25,8.258882314228414E-26,-1.9542570336156367E-24
103.5,2.208885562037643E-25,8.397794366556054E-26,-2.037996859104812E-24
103.99999999999999,2.3478632876263347E-25,8.508451214347081E-26,-2.1250199927596244E-24
104.49999999999999,2.498087676123619E-25,8.615432116720957E-26,-2.2144637442853358E-24
104.99999999999999,2.6494190158594073E-25,8.648089344232379E-26,-2.308438239046234E-24
105.5,2.809334615001373E-25,8.672105353972999E-26,-2.402348624516373E-24
106,2.9847428178927638E-25,8.68094506093613E-26,-2.503947249349335E-24
106.5,3.1574079085175827E-25,8.555001852480565E-26,-2.6017995410123896E-24
106.99999999999999,3.3396555354038583E-25,8.404214462124942E-26,-2.702534350475814E-24
107.49999999999999,3.527302474799807E-25,8.260228588563147E-26,-2.8093342517262088E-24
107.99999999999999,3.7217684527571672E-25,8.025750528946115E-26,-2.911643397734275E-24
108.5,3.9214511408702315E-25,7.622132861925071E-26,-3.0173284421125897E-24
109,4.124349175539301E-25,7.209459682384119E-26,-3.119082792217859E-24
109.5,4.327055164457171E-25,6.667004241935442E-26,-3.219890158900299E-24
109.99999999999999,4.538163837183167E-25,6.071358907685141E-26,-3.3133078401464495E-24
110.49999999999999,4.74851960742484E-25,5.391621814796603E-26,-3.410643365830637E-24
110.99999999999999,4.949876184410725E-25,4.463788981564817E-26,-3.494194236330181E-24
111.5,5.151043849998497E-25,3.5228522121212726E-26,-3.568151643716133E-24
112,5.34670638433627E-25,2.361539499326741E-26,-3.637150050090273E-24
