% Model:              2D-Ag-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 15 2025, 16:20
% Dimension:          1
% Nodes:              51
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),F_x (N),F_y (N),F_z (N)
300,-2.8102768023194728E-30,-3.0495828863467903E-43,2.130992658548815E-28
302,-2.0658954711702856E-30,8.168443848080576E-43,1.9755820286677915E-28
304,-1.0477324236828084E-30,-4.665909204653077E-43,1.7812090262850202E-28
306,1.0929236386086549E-31,8.144280580390281E-44,1.580953886490304E-28
307.99999999999994,1.3684219213078545E-30,3.1516530363962938E-43,1.374816654055429E-28
309.99999999999994,2.6758517743561606E-30,-1.311933345043393E-43,1.1630834414742072E-28
312,3.780580703159925E-30,-2.2229718310941884E-43,9.597792694218305E-29
314,4.877270575805415E-30,-4.987248161201379E-44,7.521113133813148E-29
316,6.065839734769685E-30,5.941228515643139E-43,5.287007676406836E-29
318,7.297847950380135E-30,5.522403156731901E-44,2.8515441521874645E-29
319.99999999999994,8.507542343639263E-30,-2.3047829199547213E-44,1.4606950178114857E-30
321.99999999999994,1.032148632918641E-29,1.6056932718116175E-43,-1.434494392437493E-29
324,1.2197924683246427E-29,1.1523119583253846E-43,-1.307980162410892E-29
326,1.2893556671943537E-29,2.1077560232937385E-43,1.2092953173657136E-29
328,1.0973506525810033E-29,-2.227004988043242E-43,6.863443682886773E-29
330,4.0462811995844235E-30,1.493510825366882E-42,1.7218499998769975E-28
331.99999999999994,-1.147433457362874E-29,1.7431818436625726E-42,3.2540922414209875E-28
333.99999999999994,-3.562834211235534E-29,8.786949373915275E-43,3.8430364775223865E-28
336,-7.370096057290395E-29,2.857984769901629E-43,4.0294822282104025E-28
338,-1.2232501827676936E-28,-1.976571263487141E-42,3.402057327611449E-28
340,-1.572959269034214E-28,5.1037913704340005E-43,1.994620109393218E-28
342,-1.595223574490836E-28,6.019118839973785E-45,6.80034479528448E-29
343.99999999999994,-1.4347035926316018E-28,8.359024432867515E-42,1.0386070108189181E-29
345.99999999999994,-1.1996621887531925E-28,-2.937305936593517E-42,6.158962440562545E-30
348,-9.35329515064836E-29,-2.8312501383554077E-42,3.3474711488085327E-29
350,-7.145593834088229E-29,-3.698349717474756E-42,7.28746460135679E-29
352,-5.595343223212015E-29,-9.00677154300129E-43,1.1302828804951283E-28
354,-4.472296187558078E-29,1.3648553681975812E-42,1.543923763864573E-28
355.99999999999994,-3.8037805237949924E-29,-6.955863047038842E-44,1.8706631918527655E-28
357.99999999999994,-3.268625091170645E-29,-1.618141006033991E-42,2.176055205406295E-28
360,-2.8234888760796307E-29,-2.2166376151927958E-42,2.4559251294185765E-28
362,-2.4494220871684573E-29,-3.540411050599512E-42,2.7024182649997974E-28
364,-2.1270148166275593E-29,2.940831074308647E-42,2.9140485368990654E-28
366,-1.840562704795484E-29,-4.409953348999295E-42,3.093750930629606E-28
367.99999999999994,-1.5825019513090101E-29,-9.666318195452802E-43,3.2461532873489614E-28
369.99999999999994,-1.3843091753332248E-29,-8.886949446610527E-43,3.3607444900733066E-28
372,-1.2015530381225774E-29,-1.4439325510511875E-42,3.4642871538766917E-28
374,-1.0356242911533754E-29,-6.638516661119793E-43,3.5601618855387227E-28
376,-8.875457095258134E-30,-2.944812140513324E-42,3.6504348209788135E-28
378,-7.57422681350753E-30,5.644394619966111E-42,3.7360780888660558E-28
379.99999999999994,-6.444349893826478E-30,1.482246561403553E-42,3.8173448866175592E-28
381.99999999999994,-5.5621675758378685E-30,4.1560164603582695E-42,3.889712655310883E-28
384,-5.054879861542169E-30,-3.248804131740448E-42,3.9447836931369013E-28
386,-4.614623934988772E-30,6.183892394783924E-42,3.9960137179382423E-28
388,-4.2316077690233306E-30,-6.652322965109496E-42,4.043324041482701E-28
390,-3.896882915858211E-30,-7.684770673833765E-42,4.086698756625741E-28
391.99999999999994,-3.60253982935671E-30,7.1010464565268396E-43,4.126176517113231E-28
393.99999999999994,-3.341741511797648E-30,-1.4684965374865906E-42,4.161839213543173E-28
395.99999999999994,-3.1086690479917605E-30,-6.116301444464741E-43,4.193800687231871E-28
398,-2.8987747640751468E-30,-3.5817684990834112E-43,4.2221267022437105E-28
400,-2.7083345088584382E-30,2.7125656016145332E-42,4.24689326677815E-28
