% Model:              2D-Au-Plate_from_psi.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:26
% Dimension:          1
% Nodes:              100
% Expressions:        6
% Description:        Table graph
% psi,real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
0,2.2508774981505467E-31,1.8369674731400748E-31,8.529736754816948E-32,-9.234720901183236E-32,2.008637321384137E-32,-1.0917658642347348E-31
0.03173325912716963,2.249938747350228E-31,1.8362013476237118E-31,9.119242221780623E-32,-8.697358882396073E-32,2.0077995992536685E-32,-1.0913105324454079E-31
0.06346651825433926,2.247123927476534E-31,1.8339041401768482E-31,9.714983469959318E-32,-8.168542485203961E-32,2.005287711220774E-32,-1.0899452319105692E-31
0.0951997773815089,2.242437338813397E-31,1.83007936031154E-31,1.0316101664676428E-31,-7.649139734996319E-32,2.001105494771331E-32,-1.0876720484404125E-31
0.12693303650867852,2.2358861575692543E-31,1.8247328646155756E-31,1.0921759649448682E-31,-7.140048985044081E-32,1.9952593538076094E-32,-1.0844944627838815E-31
0.15866629563584814,2.2274804496939555E-31,1.817872868028272E-31,1.1531140526559124E-31,-6.642201001056298E-32,1.9877582709786993E-32,-1.0804173573303532E-31
0.1903995547630178,2.2172331906551586E-31,1.8095099599808396E-31,1.2143446275823375E-31,-6.15656132250565E-32,1.9786138253284527E-32,-1.0754470257019905E-31
0.2221328138901874,2.205160291618222E-31,1.7996571257614947E-31,1.2757896369509565E-31,-5.684132941580606E-32,1.9678402156572388E-32,-1.0695911854522927E-31
0.25386607301735703,2.191280632617842E-31,1.7883297735874954E-31,1.3373726337776838E-31,-5.225959343675949E-32,1.955454290124137E-32,-1.0628589941551915E-31
0.28559933214452665,2.175616103462981E-31,1.7755457679882712E-31,1.3990186233891905E-31,-4.7831279569020773E-32,1.9414755827497606E-32,-1.0552610692460645E-31
0.3173325912716963,2.1581916532924113E-31,1.7613254702479175E-31,1.4606538941803506E-31,-4.3567740621162826E-32,1.9259263576381938E-32,-1.0468095120578542E-31
0.3490658503988659,2.1390353498873835E-31,1.7456917868113597E-31,1.5222058259953638E-31,-3.9480852193649624E-32,1.908831661906875E-32,-1.0375179365901785E-31
0.3807991095260356,2.1181784500658005E-31,1.7286702267335003E-31,1.583602668412845E-31,-3.5583062711972194E-32,1.8902193885049414E-32,-1.0274015036534112E-31
0.4125323686532052,2.0956554827278887E-31,1.7102889694538381E-31,1.6447732798260483E-31,-3.188744987892098E-32,1.8701203503207843E-32,-1.0164769611489683E-31
0.4442656277803748,2.07150434640048E-31,1.6905789444039387E-31,1.7056468164700855E-31,-2.8407784238324953E-32,1.8485683672294006E-32,-1.0047626913824618E-31
0.47599888690754444,2.045766423449655E-31,1.669573924217075E-31,1.7661523583936225E-31,-2.515860057659978E-32,1.8256003680127433E-32,-9.922787664611352E-32
0.5077321460347141,2.0184867134912185E-31,1.6473106336064155E-31,1.826218456710908E-31,-2.2155277906353564E-32,1.8012565094136273E-32,-9.790470130034944E-32
0.5394654051618837,1.9897139889506565E-31,1.623828876319305E-31,1.8857725831977326E-31,-1.9414128768924916E-32,1.77558031495286E-32,-9.650910875920686E-32
0.5711986642890533,1.959500976195308E-31,1.599171682961221E-31,1.944740459285578E-31,-1.6952498544243588E-32,1.748618836568539E-32,-9.504365646297644E-32
0.6029319234162229,1.9279045662030985E-31,1.5733854829253085E-31,2.0030452366240197E-31,-1.4788875347224746E-32,1.7204228426133256E-32,-9.351110385226648E-32
0.6346651825433925,1.894986059341688E-31,1.5465203041590016E-31,2.0606064954588613E-31,-1.2943010889713676E-32,1.6910470362886604E-32,-9.191442424076068E-32
0.6663984416705622,1.8608114495082099E-31,1.518630005054425E-31,2.117339019944728E-31,-1.143605235573643E-32,1.6605503092069786E-32,-9.025681859716958E-32
0.6981317007977318,1.8254517536316155E-31,1.4897725433583623E-31,2.1731513010085817E-31,-1.029068481897654E-32,1.628996035432009E-32,-8.854173152737069E-32
0.7298649599249014,1.7889833933396046E-31,1.4600102876557444E-31,2.2279437073663874E-31,-9.531282947239016E-33,1.596452412070865E-32,-8.677286978681975E-32
0.7615982190520711,1.7514886364328278E-31,1.4294103776616401E-31,2.281606253694868E-31,-9.184069583853828E-33,1.5629928532358998E-32,-8.495422369380838E-32
0.7933314781792408,1.7130561066375735E-31,1.398045140236553E-31,2.334015881865432E-31,-9.277277128565744E-33,1.5286964449394953E-32,-8.309009185450844E-32
0.8250647373064104,1.6737813708528776E-31,1.36599256864529E-31,2.3850331568784986E-31,-9.841305270661798E-33,1.493648469139295E-32,-8.118510964682424E-32
0.85679799643358,1.6337676136569985E-31,1.3333368730299884E-31,2.4344982645116387E-31,-1.0908865308576734E-32,1.4579410056550957E-32,-7.924428193664965E-32
0.8885312555607496,1.5931264090045583E-31,1.3001691102009483E-31,2.482226184228713E-31,-1.2515096705851267E-32,1.4216736208160966E-32,-7.72730205082749E-32
0.9202645146879193,1.5519785985571352E-31,1.2665879004528085E-31,2.5280009013163167E-31,-1.469763529245464E-32,1.384954151264369E-32,-7.527718666696897E-32
0.9519977738150889,1.510455284546944E-31,1.2327002378516856E-31,2.571568521015688E-31,-1.7496604161558195E-32,1.3478995899668068E-32,-7.326313939680303E-32
0.9837310329422585,1.4686989418853716E-31,1.1986223978406408E-31,2.6126291617890574E-31,-2.0954487331117426E-32,1.3106370786381194E-32,-7.123778930242187E-32
1.0154642920694281,1.426864648595992E-31,1.1644809414096766E-31,2.6508275457831154E-31,-2.511583216895619E-32,1.2733050057537418E-32,-6.920865828995127E-32
1.0471975511965979,1.385121424444651E-31,1.130413807568336E-31,2.6857422882163605E-31,-3.0026709135673456E-32,1.2360542011168433E-32,-6.718394449593043E-32
1.0789308103237674,1.343653653420612E-31,1.0965714742483828E-31,2.7168740365792073E-31,-3.5733836774319996E-32,1.1990492052509971E-32,-6.517259128336694E-32
1.110664069450937,1.3026625446595036E-31,1.063118150580589E-31,2.7436328554382107E-31,-4.2283257216088827E-32,1.1624695730985135E-32,-6.318435810233912E-32
1.1423973285781066,1.262367556407929E-31,1.0302329390089022E-31,2.7653256301563083E-31,-4.971842563999871E-32,1.1265111447374677E-32,-6.12298895580063E-32
1.1741305877052763,1.223007666616249E-31,9.981108722358274E-32,2.7811448119481384E-31,-5.807756177135928E-32,1.0913871792324742E-32,-5.932077703944993E-32
1.2058638468324459,1.1848423202075697E-31,9.669636862998541E-32,2.7901605765871593E-31,-6.739011239332271E-32,1.0573291999585524E-32,-5.746960466601135E-32
1.2375971059596156,1.148151817232465E-31,9.370201373533654E-32,2.7913194156463255E-31,-7.76722060972443E-32,1.0245873409829277E-32,-5.568996811436635E-32
1.269330365086785,1.1132368316973584E-31,9.085256089724348E-32,2.783453245002135E-31,-8.892106588602705E-32,9.934299176760815E-33,-5.399645127976363E-32
1.3010636242139548,1.0804166775912225E-31,8.817406970410309E-32,2.7653040933670214E-31,-1.011085059302122E-31,9.64141879350934E-33,-5.240454217136308E-32
1.3327968833411243,1.050025885105163E-31,8.569384155637585E-32,2.7355699259160357E-31,-1.1417389601062747E-31,9.37021753949148E-33,-5.093046684515818E-32
1.364530142468294,1.0224086456039126E-31,8.343996631424044E-32,2.692976546608607E-31,-1.2801733249511647E-31,9.123766908475465E-33,-4.959091996281482E-32
1.3962634015954636,9.979107673970148E-32,8.144066579859516E-32,2.6363780413387207E-31,-1.4249416840708921E-31,8.905152823517418E-33,-4.840267461430259E-32
1.4279966607226333,9.768689961542586E-32,7.972342221772618E-32,2.564883221419887E-31,-1.574124226728303E-31,8.717380334517262E-33,-4.738206431521852E-32
1.4597299198498028,9.595979185080272E-32,7.831390935492865E-32,2.4779979695301548E-31,-1.7253473316417552E-31,8.563256748629953E-33,-4.6544347778970516E-32
1.4914631789769726,9.463751682332139E-32,7.723478522755018E-32,2.37576448789416E-31,-1.8758622640403812E-31,8.445259613223535E-33,-4.5902991357166496E-32
