% Model:              3D-Au-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jul 2 2025, 20:43
% Dimension:          1
% Nodes:              61
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),F_x (N),F_y (N),F_z (N)
800,4.0399562581913557E-25,4.915414144859276E-31,-2.2795490557635364E-24
804.9999999999999,4.348217566735126E-25,-1.705072179950067E-29,-2.6988087002491326E-24
810,4.673243454224494E-25,-2.7591230669194226E-29,-3.0682201551275593E-24
814.9999999999999,5.022391215984053E-25,-3.391325897186572E-29,-3.4077203759182234E-24
820,5.40092888339699E-25,-3.776599727714805E-29,-3.7290010405494345E-24
825,5.81273668879438E-25,-4.01477714613892E-29,-4.039382549731447E-24
830,6.261254292949698E-25,-4.16662529530369E-29,-4.3431678806417555E-24
835,6.749932789005669E-25,-4.2675853366093386E-29,-4.6430621676082385E-24
839.9999999999999,7.282237658514235E-25,-4.3378953964876655E-29,-4.940850436410754E-24
845,7.852862837392212E-25,-4.3870858373246416E-29,-5.234214250692379E-24
849.9999999999999,8.474099768167376E-25,-4.42311100655345E-29,-5.527051187550035E-24
855,9.15052902622127E-25,-4.446354953171797E-29,-5.818787052699558E-24
859.9999999999999,9.887082260340415E-25,-4.4536423774450765E-29,-6.107974284351572E-24
865,1.0677155525238064E-24,-4.4408062813945616E-29,-6.389818638218646E-24
869.9999999999999,1.1535962893106891E-24,-4.399911140686273E-29,-6.663645481099072E-24
875,1.2481234994947477E-24,-4.3195640754286483E-29,-6.925393925239749E-24
879.9999999999999,1.3504599080135415E-24,-4.1986441448696966E-29,-7.165365179820406E-24
885,1.4592155476031644E-24,-4.045550871718226E-29,-7.373089042263043E-24
890,1.5754711854209092E-24,-3.859639170649027E-29,-7.53685511359723E-24
894.9999999999999,1.6977390769708726E-24,-3.633564139354046E-29,-7.639868060627499E-24
900,1.824340245784654E-24,-3.378479159999849E-29,-7.661108619678673E-24
904.9999999999999,1.952715175009014E-24,-3.117653526536405E-29,-7.574420573196691E-24
910,2.0784835925568687E-24,-3.25139962143428E-29,-7.35147264367308E-24
914.9999999999999,2.1953723701144725E-24,-3.1085424238978893E-29,-6.962093624569478E-24
920,2.2951920919757926E-24,-2.990019897276467E-29,-6.3793905100880835E-24
924.9999999999999,2.3676768497152272E-24,-2.8322857530437725E-29,-5.60317066552491E-24
930,2.40432513958387E-24,-2.5268516614847156E-29,-4.623340160535818E-24
934.9999999999999,2.3959215357608656E-24,-1.9548698853454476E-29,-3.4440221032444856E-24
940,2.3368580654688253E-24,-1.010412684990844E-29,-2.1383946473507662E-24
945,2.229621077907539E-24,3.599053454820351E-30,-8.095589296800662E-25
949.9999999999999,2.079968245694626E-24,2.1558472860638106E-29,4.750191624597573E-25
954.9999999999999,1.899192636491851E-24,4.181063670202786E-29,1.6314624659565094E-24
960,1.701275598870652E-24,6.200584710146699E-29,2.5972473060256605E-24
965,1.4998620301602063E-24,7.969600060857587E-29,3.337732704565134E-24
969.9999999999999,1.3062530646383651E-24,9.281395292743898E-29,3.846072026407023E-24
974.9999999999999,1.1283910134913634E-24,1.0008965319677288E-28,4.1358783119357516E-24
980,9.708417020570191E-25,1.0113922934182575E-28,4.234629070101044E-24
985,8.353681836512513E-25,9.62206519039355E-29,4.1743927756166775E-24
989.9999999999999,7.217707958122499E-25,8.664168991613201E-29,3.9868125676501275E-24
994.9999999999999,6.300398279784621E-25,7.244997513480439E-29,3.706441587136226E-24
1000,5.564109939760722E-25,5.478267113116921E-29,3.3528775679203946E-24
1005,4.981076996664825E-25,3.3906215463634507E-29,2.934271510150282E-24
1010,4.541590664681878E-25,1.1195039558162287E-29,2.4730310634440434E-24
1014.9999999999999,4.228254535005823E-25,-1.2916441211064244E-29,1.991944157859247E-24
1019.9999999999999,4.016568378333801E-25,-3.8088869127681657E-29,1.489445974202057E-24
1025,3.8912395467294823E-25,-6.389539128348906E-29,9.716255266415157E-25
1030,3.8386795873819487E-25,-8.97833112109214E-29,4.433102274575375E-25
1035,3.8472935857354175E-25,-1.1577666852898994E-28,-9.180907943805388E-26
1039.9999999999998,3.9065707282724136E-25,-1.4161533890422524E-28,-6.305482911683318E-25
1045,4.0074621241678216E-25,-1.6734000084459086E-28,-1.1701944917501E-24
1050,4.141674830335804E-25,-1.933712656610298E-28,-1.7081687862723392E-24
1055,4.301813041901181E-25,-2.2062543759261955E-28,-2.241907527887901E-24
1060,4.480928554402514E-25,-2.5066965438818395E-28,-2.7687752499745766E-24
1064.9999999999998,4.6726935092406985E-25,-2.842646923340429E-28,-3.2858793010057583E-24
1070,4.87094384929565E-25,-3.172853285988095E-28,-3.790284814665625E-24
1075,5.0700076292542945E-25,-3.4142830490549844E-28,-4.2787408559652066E-24
1080,5.264452935355871E-25,-3.540262370600361E-28,-4.748005405414914E-24
1084.9999999999998,5.444845806873525E-25,-3.586103502843615E-28,-5.185744820611206E-24
1090,5.611837663108009E-25,-3.587609978755208E-28,-5.5993279518105106E-24
1095,5.764861804355341E-25,-3.5577830745732266E-28,-5.992799916742993E-24
1100,5.896003495453518E-25,-3.5021007640408207E-28,-6.35429512364109E-24
