% Model:              2D-Au-Plate_tm.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jul 22 2025, 13:59
% Dimension:          1
% Nodes:              101
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
600,1.8740484884645214E-37,2.551589095832464E-37,8.567517521905924E-24,-1.7580696694571006E-23,0,0
605.9999999999999,-1.0242900328854914E-36,3.086702018077103E-37,5.9056415565950655E-24,-8.524147307374677E-24,0,0
612,3.363556642853727E-37,5.5563014925392436E-37,2.472690775193535E-24,-3.545957073782673E-24,0,0
618,1.2648836213800275E-37,-5.24560137186398E-37,-3.956633522179138E-25,-1.037279161307854E-24,0,0
624,6.0329134684588814E-37,3.7480969769290424E-37,-2.3026192263442393E-24,1.2483766485004151E-25,0,0
629.9999999999999,7.257973559459038E-37,1.25254913878047E-36,-3.1731201694822627E-24,1.664097617719199E-24,0,0
636,1.8967172672961404E-37,-9.309768339175619E-37,-4.9556781882759966E-24,1.9851422034023343E-24,0,0
642,-7.521547667543372E-37,-8.769033271465586E-37,-5.529516593489367E-24,2.1535937627497877E-24,0,0
648,2.084302313112637E-37,2.1251709859187673E-37,-5.9211862233662105E-24,2.5018150193388234E-24,0,0
653.9999999999999,-6.943259551276029E-37,2.4276856592297516E-37,-6.3964756853488714E-24,2.8989013528470926E-24,0,0
660,-3.5223101734630776E-37,2.0892036706978522E-36,-7.151091180624952E-24,3.144996332400886E-24,0,0
666,-2.8802683691939346E-38,1.0272957183458366E-36,-8.241445494514489E-24,2.834130533250569E-24,0,0
672,2.8486978600421087E-37,1.7913597028504255E-36,-9.277229264899766E-24,1.2692107659587956E-24,0,0
677.9999999999999,-5.046785549889449E-37,2.430439068932034E-36,-8.782484403638095E-24,-1.717876730086559E-24,0,0
684,1.7559690179336534E-36,3.0567172422616708E-37,-5.58326957380977E-24,-4.144815933051745E-24,0,0
690,-7.538900635758672E-37,1.1051390074354317E-36,-1.3719736829798408E-24,-4.064792039099014E-24,0,0
696,-8.3402365615473E-37,-1.3397680762214892E-36,1.867164026496124E-24,-2.2587777206107158E-24,0,0
701.9999999999999,-5.923018093815018E-37,-3.4871357249103586E-37,4.010158994635395E-24,1.350024030573619E-25,0,0
708,-9.270773714857952E-38,-2.0582818706381877E-37,5.36773800907319E-24,2.629186256930185E-24,0,0
714,-1.8951711772931576E-36,1.1193475385234535E-37,6.2063675836795364E-24,5.005032344336709E-24,0,0
720,9.332761472553319E-37,2.0888432767577634E-36,6.700634366804609E-24,7.283472439666611E-24,0,0
725.9999999999999,-1.5280126429483494E-36,5.965528811510679E-37,6.934181190546778E-24,9.51457864339256E-24,0,0
732,-8.591359059001548E-37,1.3436639347138551E-36,6.932113397592042E-24,1.1703618485032985E-23,0,0
738,-1.2544952660569525E-36,-5.9134158477737625E-37,6.716103718067711E-24,1.385735257463759E-23,0,0
744,6.8016427525179285E-37,4.0318279180825723E-36,6.276533848381896E-24,1.6030290541749492E-23,0,0
749.9999999999999,-1.708267276023429E-36,-7.320501908064536E-37,5.591252957718097E-24,1.8266882169176852E-23,0,0
756,-4.758929900091599E-37,-2.819484327258467E-36,4.634672793532113E-24,2.0610119507787477E-23,0,0
762,8.970925956703629E-38,-1.7610019193070006E-36,3.1953494499538893E-24,2.3253647666454436E-23,0,0
768,2.0334291045296275E-36,-2.291528828664003E-37,6.660680261454235E-25,2.6458327106777904E-23,0,0
773.9999999999999,7.60589786922128E-37,-2.056753800332209E-36,-5.195285097101022E-24,2.9753550554709535E-23,0,0
780,-2.9666187572393376E-36,2.465310786575078E-36,-1.5013853455688988E-23,2.400336190190039E-23,0,0
786,-1.9545604946804783E-37,2.4767208587183068E-36,-1.0005325780228198E-23,1.6285919181365553E-23,0,0
791.9999999999999,2.7667875253386054E-36,8.991108017348631E-37,-6.724860711547514E-24,1.8000154870963084E-23,0,0
797.9999999999999,1.917295761275241E-37,-5.416360525602556E-37,-6.768714718198422E-24,2.0088693265444583E-23,0,0
804,-1.8505796350859043E-36,-6.444189626979724E-36,-8.00430104448548E-24,2.156072659946091E-23,0,0
810,-3.931177098494424E-36,-2.55915736857434E-36,-9.79630052105281E-24,2.2525219828892995E-23,0,0
815.9999999999999,-7.489274390208371E-37,-3.424088409031131E-36,-1.1953116064576573E-23,2.306870179774239E-23,0,0
