% Model:              2D-Au-Plate_tm.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jul 22 2025, 13:53
% Dimension:          1
% Nodes:              101
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
600,1.661326074955744E-31,4.368049043241174E-32,-5.626037595709193E-46,2.3081179879832586E-46,-2.683073317023297E-32,9.927794933526103E-33
605.9999999999999,1.5761984426672813E-31,5.049075191296589E-32,6.97902750879013E-45,-1.262732882592508E-46,-1.6506773152263555E-32,6.850687540779113E-33
612,1.5316121686491724E-31,5.567192173861182E-32,-2.3591850984673884E-45,9.22093136199312E-46,-6.615282660370882E-33,9.930853386545419E-33
618,1.5014555975071287E-31,6.205635102622629E-32,1.0722891056881808E-44,1.1391523986525711E-45,-6.573428264327123E-34,1.7198113891504143E-32
624,1.43774688678378E-31,7.153345613031926E-32,6.151134437975385E-46,-2.4304482413463714E-45,6.935552526326294E-34,2.550756851660587E-32
629.9999999999999,1.2168707476899194E-31,6.05771508294972E-32,-7.432139921306092E-45,-6.200181945220028E-45,-1.5187016327093782E-33,3.2683968260401966E-32
636,1.4056958069829507E-31,6.053007420756562E-32,-5.199035767932291E-45,-2.1611678094149917E-45,-5.7933729405087515E-33,3.7902908496546146E-32
642,1.389649728502774E-31,6.960736531918585E-32,-4.419709346448027E-45,-2.829848824850308E-45,-1.1107271759911245E-32,4.126387760859781E-32
648,1.3395685893830991E-31,7.470546928061456E-32,3.3184966372229306E-45,-6.8551104243102795E-46,-1.6861920065468816E-32,4.30242063971744E-32
653.9999999999999,1.282414055048676E-31,7.696657413654843E-32,1.4791093268076552E-44,-7.505615010590228E-45,-2.27773807401057E-32,4.342766108446342E-32
660,1.2322683675733509E-31,7.671944188032697E-32,1.3979982138466103E-44,-2.5495086608931748E-45,-2.8720564793065756E-32,4.26039331777024E-32
666,1.2078332088473812E-31,7.494314921623084E-32,-2.5780235352030513E-45,2.1350091388845147E-45,-3.4461634818637084E-32,4.0571548036008127E-32
672,1.22411740669769E-31,7.501325527275794E-32,1.1035112100547962E-44,9.575612159479882E-45,-3.9889088209333256E-32,3.73158896693262E-32
677.9999999999999,1.248575484237459E-31,8.278966140512277E-32,8.172276422786059E-45,-7.248548369678591E-45,-4.4739961240855527E-32,3.285915345161293E-32
684,1.1788645667858973E-31,9.711367042184781E-32,3.069796924017735E-45,3.1136511657894165E-45,-4.8695248493132815E-32,2.733241736158553E-32
690,9.918109692751004E-32,1.0629413133865667E-31,8.250560091211825E-45,1.2939886470131146E-45,-5.14717871284601E-32,2.0885528811962524E-32
696,7.772035100889848E-32,1.0543001879035722E-31,9.817195175555463E-46,1.4781572281376124E-45,-5.283923830449987E-32,1.389046939491145E-32
701.9999999999999,5.806055603163051E-32,9.706965468294512E-32,8.298405453671061E-45,5.946721738664618E-45,-5.247486159735424E-32,6.465464559154223E-33
708,4.15223272063097E-32,8.389703432476261E-32,1.0224770343600172E-44,-6.003222543578791E-45,-4.992999571631995E-32,-9.72491844923916E-34
714,2.8585085626778677E-32,6.825886305447764E-32,-4.7494336181897184E-45,1.3266941980449232E-44,-4.4994953749622737E-32,-7.687434063598173E-33
720,1.8717453984096876E-32,5.10431202031274E-32,-2.9630464670735095E-45,3.1880879709018774E-46,-3.723522411297875E-32,-1.2756019677955763E-32
725.9999999999999,1.1476420642848546E-32,3.274389676377493E-32,-5.140539402674339E-45,2.193529547038173E-45,-2.6279442621078994E-32,-1.433990592125267E-32
732,6.798311514542512E-33,1.399031638087883E-32,1.302795559711013E-44,9.239684820645483E-47,-1.3301577409542395E-32,-9.011037043221308E-33
738,4.447583059508985E-33,-4.550381321616786E-33,-3.5779345087237836E-45,3.4500323142803054E-45,-3.890161856099011E-33,6.621142091083949E-33
744,4.050027919192556E-33,-2.248838812452255E-32,-7.481620200673486E-45,-3.7456547438219366E-45,-8.193541259794386E-33,2.9028880715678516E-32
749.9999999999999,5.112861777534552E-33,-3.901495876979096E-32,1.2141662332620266E-45,-4.012158221299024E-45,-2.817970740569129E-32,4.356025799253154E-32
756,6.608450334463813E-33,-5.268430943722362E-32,1.1635944064294852E-44,3.515624339134125E-45,-5.052806813117888E-32,4.283534972210397E-32
762,6.231973101676333E-33,-6.171209112278023E-32,-4.354216498539002E-45,-2.5003920303233696E-45,-6.654018675655362E-32,3.336699164417358E-32
768,-3.602371664393913E-33,-6.27683552576216E-32,-1.3387084330302902E-44,9.955682254834457E-46,-7.600401260258293E-32,2.165586442283193E-32
773.9999999999999,-5.083586197494552E-32,-6.147403331903887E-32,1.1401237316391806E-44,8.488897316366803E-45,-8.113090033695536E-32,1.0573076261544946E-32
780,-1.4136520310330461E-31,-1.7013931920402586E-31,8.876637095452283E-46,8.926646318525253E-45,-8.382708527772695E-32,7.085567549424607E-34
786,-4.5961649587986286E-32,-2.9870273279271493E-31,-1.1943356528819374E-44,-1.8740235059724494E-44,-8.520033820409622E-32,-8.037650566951208E-33
791.9999999999999,3.042016521394236E-32,-3.100311213179259E-31,1.7696340613867644E-44,2.680475122394658E-44,-8.578560274931057E-32,-1.5888210588667921E-32
797.9999999999999,7.002009652182877E-32,-3.1525975582321852E-31,-1.9442047185445654E-45,-4.732603591194008E-45,-8.589319895648872E-32,-2.3046352774625543E-32
804,9.869845958599265E-32,-3.257095280890972E-31,6.03884449786E-44,1.8976095866621528E-44,-8.571112284779277E-32,-2.9622804438524265E-32
810,1.2466095491971399E-31,-3.398078445173529E-31,-2.3187930336776817E-44,-4.4791914704300124E-45,-8.533949331344577E-32,-3.578698216173618E-32
815.9999999999999,1.5079347253661416E-31,-3.5615980788935178E-31,-6.238842921518749E-44,-4.622237082735274E-44,-8.482186907715665E-32,-4.1661062919802784E-32
821.9999999999999,1.783246452341112E-31,-3.738923329171605E-31,1.0856617642810588E-44,1.863016668317254E-44,-8.418595193045363E-32,-4.7310989456841756E-32
828,2.0796772209802193E-31,-3.9241971004612557E-31,3.2170548516510664E-44,4.289406468868089E-44,-8.345190391650004E-32,-5.277959951523185E-32
834,2.4028529251453335E-31,-4.112939411181008E-31,-2.1843066922445235E-44,-5.896558641059115E-44,-8.261479824962722E-32,-5.81068128451445E-32
839.9999999999999,2.7576427690219474E-31,-4.3010728659924775E-31,3.0967249672108723E-45,-9.155534685666928E-46,-8.167604752353017E-32,-6.331600960775273E-32
845.9999999999999,3.143077304398834E-31,-4.4830844195198275E-31,2.1126780973507766E-44,-5.920380342126759E-44,-8.066789476047498E-32,-6.83745131360643E-32
852,3.568944679672574E-31,-4.6557579093092145E-31,-2.444489292439937E-44,6.721662735971714E-44,-7.956137441187854E-32,-7.334634321935304E-32
858,4.040203173768513E-31,-4.813138741016518E-31,5.916341135647788E-44,3.064065097680909E-44,-7.83568192239732E-32,-7.823627635835268E-32
863.9999999999999,4.5571080426461995E-31,-4.947422952190584E-31,-1.4042589838890148E-44,-2.9359260807147053E-45,-7.707876047969812E-32,-8.3019038010165E-32
869.9999999999999,5.125977995766871E-31,-5.050034253227837E-31,-6.119013129309284E-44,-8.260946622157749E-44,-7.57206159532895E-32,-8.771289453121119E-32
876,5.761544812432021E-31,-5.108078231003621E-31,-1.3479409049822232E-44,1.8590351647879827E-43,-7.423725088621036E-32,-9.236668728710807E-32
882,6.456507028854272E-31,-5.106325301599307E-31,3.828359900768432E-44,8.878175840777607E-45,-7.268230276123367E-32,-9.692847687621978E-32
887.9999999999999,7.207340274727831E-31,-5.02732587805167E-31,5.09840182365622E-44,-1.6294389747966612E-43,-7.107572394955445E-32,-1.013892578719257E-31
893.9999999999999,8.014067105645773E-31,-4.847038676006692E-31,4.958029781353706E-45,6.247690707139352E-44,-6.939790041179488E-32,-1.0575338329778484E-31
900,8.86339816278163E-31,-4.538806033370914E-31,6.817603507005551E-44,-9.06513339780425E-44,-6.765497446950518E-32,-1.100015644036594E-31
906,9.736909155852846E-31,-4.0739615920991985E-31,-4.588923246442049E-45,5.628691931395373E-44,-6.585719605850135E-32,-1.1417338066317087E-31
911.9999999999999,1.0600870071600707E-30,-3.42480592143317E-31,9.650856805888134E-44,-1.5191109349710616E-43,-6.401277371004234E-32,-1.1827329395249264E-31
917.9999999999999,1.140533740442421E-30,-2.569815983844324E-31,1.9366898710620227E-43,-1.30427131264958E-43,-6.212815264217107E-32,-1.2230446152022105E-31
924,1.2081164442706109E-30,-1.5141210369618238E-31,-2.9518655588533862E-43,2.4644545130359915E-44,-6.02382250751861E-32,-1.2625811215294771E-31
930,1.2559198997889383E-30,-2.7535021009345733E-32,-4.839761575220486E-43,7.238642696646832E-44,-5.833455699837868E-32,-1.3014779882305062E-31
935.9999999999999,1.2766539599563639E-30,1.119051622103935E-31,2.5836264916188807E-43,1.6395023692242684E-43,-5.636290981520378E-32,-1.3400026445397365E-31
941.9999999999999,1.2647329626754257E-30,2.5569596809560117E-31,-2.801608039551505E-43,-1.0931631477420044E-43,-5.43858283123752E-32,-1.377983072512318E-31
948,1.2196264792969967E-30,3.9225406533390176E-31,7.959198663862072E-44,6.23607317993317E-44,-5.242157250805626E-32,-1.415448569094763E-31
954,1.1444886696407046E-30,5.120459275582797E-31,3.973592454867309E-43,3.6662376932924875E-43,-5.044255577599872E-32,-1.452553037089751E-31
960,1.046917902012196E-30,6.067301008081944E-31,-2.923616118112128E-44,-1.2888530844898518E-43,-4.845027333839844E-32,-1.4893611834055247E-31
966,9.367645398966107E-31,6.720582108921389E-31,6.78182767819181E-44,1.3650363655465525E-43,-4.644528720882106E-32,-1.525935794626547E-31
971.9999999999999,8.238170182068863E-31,7.080330791851994E-31,-6.16959938187925E-44,4.044515150343064E-44,-4.442721293599726E-32,-1.562332951252656E-31
977.9999999999999,7.160666457196696E-31,7.179039851863114E-31,-4.589923430903508E-44,-3.3747223914102027E-43,-4.2394890184310645E-32,-1.5986047369848649E-31
983.9999999999999,6.189263972362552E-31,7.067227796700826E-31,-2.315350091012273E-44,1.675001223879451E-43,-4.0346657005119934E-32,-1.6348141079509318E-31
989.9999999999999,5.3518834871559E-31,6.799277309651464E-31,-1.00922459024568E-44,8.092838695366303E-44,-3.8275252573646944E-32,-1.6711788069702943E-31
996,4.670132574579098E-31,6.434306171880282E-31,2.886378481239331E-44,-6.139940065733666E-44,-3.6229011193614286E-32,-1.7075330886049588E-31
1002,4.124418590208856E-31,6.00208394915567E-31,3.931648180730683E-44,-4.57407435405269E-44,-3.414194227650686E-32,-1.743993109617301E-31
1008,3.7061428182295657E-31,5.529722747559122E-31,1.321628359919214E-44,1.4799652538948658E-44,-3.1993462392865875E-32,-1.7805882534201553E-31
1014,3.410371421288731E-31,5.0554566831910275E-31,1.7423213318622966E-44,-6.810005951961775E-44,-2.98425209294096E-32,-1.8173195631136491E-31
1019.9999999999999,3.2190355426029685E-31,4.592826899758338E-31,2.612597219231383E-44,1.7101230859299294E-44,-2.7668591576128857E-32,-1.854234647992005E-31
1025.9999999999998,3.117733709195746E-31,4.150329900078827E-31,8.156888969532837E-45,-1.5820417719134253E-44,-2.545030081811565E-32,-1.8913558320152198E-31
1032,3.094542559180726E-31,3.736748413627525E-31,-1.3795621214175936E-44,-2.13054677744108E-44,-2.3181964068983959E-32,-1.928699193656792E-31
1038,3.138774318842717E-31,3.358548850672927E-31,-1.3676176108297803E-44,1.3709451475957895E-44,-2.085768671579679E-32,-1.9662693711469312E-31
1044,3.240678215001178E-31,3.0206041899079545E-31,1.33870843303029E-44,6.626606743499935E-44,-1.847138437661613E-32,-2.004069246470011E-31
1050,3.3913267922879232E-31,2.7267003009476965E-31,-1.4759933675238778E-44,2.4571839413738446E-44,-1.6016847204315222E-32,-2.042094791107312E-31
1056,3.582392412735879E-31,2.479890101656363E-31,1.8517261244927027E-44,-5.788759913862014E-44,-1.3487852531893892E-32,-2.080331173072557E-31
1062,3.805798333322946E-31,2.282548731696817E-31,-5.300766068252653E-44,-2.6452763230779135E-44,-1.087813974738405E-32,-2.118760788192071E-31
1067.9999999999998,4.053605421753984E-31,2.1364756987387233E-31,7.104194823846805E-45,2.947812888352819E-44,-8.181572872905165E-33,-2.157355073691297E-31
1073.9999999999998,4.317815149445316E-31,2.0426951934494185E-31,-1.8368099119953603E-44,2.871414182950573E-44,-5.3920550335924005E-33,-2.1960839935712047E-31
1080,4.590389827812846E-31,2.0013905186729007E-31,1.9838274106716107E-44,-2.0496087733291336E-44,-2.5036521423238373E-33,-2.2349106632866267E-31
1086,4.8563934024167535E-31,2.0104384737034947E-31,3.0009765393427E-44,6.308317272957044E-44,4.351086588440542E-34,-2.2739248640884982E-31
1092,5.1178321927345965E-31,2.067859170133809E-31,1.0150121961005479E-43,1.5710897520604447E-43,3.510494509230746E-33,-2.3128928743184896E-31
1098,5.3690238867135445E-31,2.1730009830908075E-31,2.5378334307372927E-44,-2.604711149439108E-44,6.74182906860556E-33,-2.351697302059039E-31
1104,5.594958873667695E-31,2.317883883966148E-31,1.7695571241204988E-44,2.4809190880169394E-44,1.0055664348466075E-32,-2.390494894123625E-31
1110,5.792704936230605E-31,2.497350832502722E-31,-6.369443931005468E-45,-1.4980647457839676E-44,1.3473914527169227E-32,-2.429183856158324E-31
1115.9999999999998,5.963097594752299E-31,2.712148492984734E-31,5.831460096639703E-44,1.097602428005559E-43,1.7075329151701673E-32,-2.467427423943391E-31
1121.9999999999998,6.0965514303246185E-31,2.949134201893164E-31,2.2983661894840296E-44,2.6580479092780875E-44,2.0788143961570582E-32,-2.505400399842025E-31
1128,6.191415419070547E-31,3.1988466009321734E-31,-4.623121861297335E-44,1.5549021512380555E-44,2.4595184845727347E-32,-2.543118230006352E-31
1134,6.24988459905492E-31,3.462178874656765E-31,-2.1266422111780752E-44,-1.0313305902755899E-43,2.857461743517E-32,-2.580181468968299E-31
1140,6.270976503722629E-31,3.7305036440749235E-31,-1.3302453337410185E-44,-1.2900456121169766E-44,3.2708779941434984E-32,-2.616558407635871E-31
1146,6.25705003559147E-31,3.989969856041727E-31,8.449635267675381E-45,2.98308862493583E-44,3.6920370125129157E-32,-2.6525375564111754E-31
1152,6.211537710177603E-31,4.241573140292654E-31,-3.578506128569245E-44,-6.315010815122197E-44,4.1266843547599164E-32,-2.6877648668130025E-31
1157.9999999999998,6.137790143341064E-31,4.481204817389467E-31,-1.392083661502403E-44,-4.1948120999939075E-44,4.5747021558695645E-32,-2.722146913675493E-31
1163.9999999999998,6.039547616864387E-31,4.705700550218323E-31,-3.3135341835487664E-44,-1.4470591851128509E-43,5.03589253378822E-32,-2.7555901067654863E-31
1169.9999999999998,5.920710082689797E-31,4.9128150621396E-31,-5.149699745939147E-44,-1.6926871779623722E-43,5.509977028306001E-32,-2.7880014907199857E-31
1176,5.785140790038102E-31,5.101144842026043E-31,3.211976992077503E-44,-9.198619554775947E-45,5.99659453305177E-32,-2.8192892100714314E-31
1182,5.636518569440833E-31,5.270021444542181E-31,-5.001691679959723E-45,3.76263624106061E-44,6.495304396897678E-32,-2.849363674645146E-31
1188,5.4782296435303385E-31,5.4193850023181955E-31,-1.0282665636465422E-45,-1.122714751714817E-43,7.005585776086005E-32,-2.878138005350067E-31
1194,5.313306426299196E-31,5.549661856782439E-31,7.387323963706086E-45,6.01320515387682E-44,7.526846817346485E-32,-2.905529670842216E-31
1200,5.144391343918675E-31,5.661637758547962E-31,-2.0311438294252678E-44,1.3383237466989596E-43,8.058421078612327E-32,-2.9314602383248506E-31
