% Model:              SPP2-from-lambda.mph
% Version:            COMSOL 6.1.0.282
% Date:               Dec 13 2024, 01:35
% Dimension:          1
% Nodes:              61
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),px (C*m),py (C*m),pz (C*m)
600,9.981508932882083E-32,1.1024522923552323E-31,-1.1530688867828672E-32
610,9.51917592690088E-32,1.066876832003958E-31,-7.267484731291552E-33
620,9.165696778758611E-32,1.051109474546934E-31,-4.344571183037366E-33
630,8.872938983878036E-32,9.702996008084144E-32,-4.368803755495921E-33
640,8.610253959164451E-32,9.481264527914325E-32,-1.039301291953071E-32
650,8.306661977178925E-32,9.078993690975737E-32,-2.4106272311657217E-32
660,9.077545714326522E-32,9.954435400594555E-32,-3.6653028147219334E-32
670,9.174394050398946E-32,1.0204984478923996E-31,-3.811273185160995E-32
680,7.947700424842441E-32,8.92486807701877E-32,-3.2406795611278994E-32
690,6.118528998718973E-32,6.912673749214218E-32,-2.488705048239019E-32
700,4.1758529880064333E-32,4.749189089107169E-32,-1.7437796676527252E-32
710,2.3586018980258495E-32,2.7169343557743253E-32,-1.0227151745998282E-32
720,1.0597925674081349E-32,1.2505191859442486E-32,-4.305744413692054E-33
730,4.326226907993823E-33,5.078221253760296E-33,-1.3107650005074049E-33
740,5.64690125040656E-33,5.762083791205745E-33,-3.5969785377105625E-33
749.9999999999999,1.2945875207632685E-32,1.2906093530824004E-32,-1.1152583584279807E-32
760,1.8879182747696548E-32,2.066411790753741E-32,-2.0495880328182257E-32
770,-2.6166346793474213E-32,3.3835112582142446E-33,-2.848209429546133E-32
780,-2.4813555901851434E-32,3.9488898627311504E-32,-3.397885812019442E-32
790,5.885916327867999E-32,9.632422393497392E-32,-3.7086004980273853E-32
800,1.0274829779828623E-31,1.3223326119019282E-31,-3.8289021401523597E-32
810,1.3924911141761203E-31,1.6651238122212057E-31,-3.79908553202067E-32
820,1.7620965111688344E-31,2.0332987837309423E-31,-3.646221194765465E-32
830,2.1597576044265467E-31,2.440109634052446E-31,-3.396864069002199E-32
840,2.598014944868358E-31,2.8945801123861815E-31,-3.077306481256209E-32
850,3.078486432488316E-31,3.3969384616174406E-31,-2.7210746660980155E-32
859.9999999999999,3.6101864013393756E-31,3.956299459468424E-31,-2.347911040939829E-32
870,4.185203060943492E-31,4.564673017997444E-31,-1.9845903413359976E-32
879.9999999999999,4.807008084951062E-31,5.226344973268846E-31,-1.6363227511529626E-32
890,5.446402381330887E-31,5.911319392273542E-31,-1.3239869221491353E-32
900,6.07858152291277E-31,6.594285430978175E-31,-1.0478825431410316E-32
910,6.665736928547466E-31,7.235460073928823E-31,-8.097249493304029E-33
920,7.158981287200438E-31,7.782983151399946E-31,-6.081023137566911E-33
930,7.500764281608017E-31,8.174818896036597E-31,-4.428843657681817E-33
940,7.633903928839476E-31,8.348912549866938E-31,-3.0220067605851242E-33
949.9999999999999,7.514227907714937E-31,8.2547790075031E-31,-1.865469717518651E-33
960,7.118167693629789E-31,7.863282981777162E-31,-8.625347481200705E-34
969.9999999999999,6.46217308946689E-31,7.186705364928035E-31,5.732195113866915E-35
980,5.61012291094752E-31,6.287558106580711E-31,9.628046913449558E-34
989.9999999999999,4.669112657850675E-31,5.275724092709888E-31,1.9223891848136988E-33
1000,3.783309742215071E-31,4.303498978072743E-31,2.9701569840633356E-33
1010,3.04575461320247E-31,3.4707691828929907E-31,4.2196635612177265E-33
1019.9999999999999,2.5559098327001824E-31,2.8895786032537185E-31,5.6686764767106234E-33
1030,2.3210051498748196E-31,2.5733149860204304E-31,7.396845327501038E-33
1040,2.310025706034218E-31,2.4952274475832552E-31,9.455690550332427E-33
1050,2.459597261176187E-31,2.592872877543446E-31,1.1894097530775939E-32
1060,2.6970962889864215E-31,2.7921408270620797E-31,1.4762430348878286E-32
1070,2.958430198746293E-31,3.026232988737593E-31,1.810892095898092E-32
1080.0000000000002,3.197133973358488E-31,3.2458240648304607E-31,2.1962648578280636E-32
1090,3.3813139408509615E-31,3.4163875387665515E-31,2.6309046627668386E-32
1100,3.5107253071261807E-31,3.535770569425244E-31,3.1227822897272744E-32
1109.9999999999998,3.5772449648118956E-31,3.5943653512822648E-31,3.6639576162080504E-32
1120,3.5916261174637057E-31,3.6023079593299126E-31,4.258540652539366E-32
1130,3.5609697038380003E-31,3.565918476738448E-31,4.896522377933147E-32
1140,3.494836457898999E-31,3.494756514816246E-31,5.578554460277258E-32
1149.9999999999998,3.4045362529546695E-31,3.3997247382970234E-31,6.292384302725256E-32
1160,3.2971277552601974E-31,3.2879645124130433E-31,7.033495868154133E-32
1170,3.179051690940871E-31,3.165894614845139E-31,7.793595134206716E-32
1180,3.0553723195990814E-31,3.038580106862119E-31,8.564293080519188E-32
1190,2.9299556375409807E-31,2.9098855453771E-31,9.337090154026259E-32
1199.9999999999998,2.80564530662433E-31,2.7826513777198924E-31,1.0103885473583689E-31
