% Model:              3D-Ag-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 14 2025, 19:53
% Dimension:          1
% Nodes:              51
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(px) (C*m),imag(px) (C*m),real(my)/c_const (C*m),imag(my)/c_const (C*m),real(pz) (C*m),imag(pz) (C*m)
300,1.117732709131126E-34,5.46610537683961E-35,-2.2227229634912095E-36,-1.1097595997704181E-36,7.826442772704596E-35,3.827576128141427E-35
302,1.119163723190207E-34,5.432907621042697E-35,-2.1965441281813315E-36,-1.0882942608048706E-36,7.836456149543283E-35,3.8043234270494536E-35
304,1.1205681322235406E-34,5.400090536582302E-35,-2.1707998528539546E-36,-1.0673763734673867E-36,7.846283806795475E-35,3.7813371425562366E-35
306,1.1219465719450018E-34,5.367648056035891E-35,-2.1454813335424944E-36,-1.0469886751849954E-36,7.85593017591752E-35,3.758613063154529E-35
307.99999999999994,1.1232996601026647E-34,5.335574219482763E-35,-2.1205799576862233E-36,-1.0271145493326122E-36,7.865399560507564E-35,3.7361470471046516E-35
309.99999999999994,1.1246279973355102E-34,5.303863171753063E-35,-2.096087300644272E-36,-1.0077379972992637E-36,7.874696143663332E-35,3.713935020215255E-35
312,1.1259321680193144E-34,5.272509161894422E-35,-2.071995122197694E-36,-9.888436118078451E-37,7.883823995353459E-35,3.691972975604331E-35
314,1.1272127410239875E-34,5.241506545155473E-35,-2.0482953631397383E-36,-9.704165514452207E-37,7.892787079047508E-35,3.6702569756344344E-35
316,1.1284702703160216E-34,5.210849786954282E-35,-2.024980142012891E-36,-9.524425164269369E-37,7.901589256935277E-35,3.6487831554532984E-35
318,1.1297052953778602E-34,5.180533468213489E-35,-2.002041751985398E-36,-9.349077256347426E-37,7.910234293471769E-35,3.6275477273767915E-35
319.99999999999994,1.1309183414629885E-34,5.150552292037322E-35,-1.979472657802412E-36,-9.17798894927305E-37,7.918725857369015E-35,3.6065469855289417E-35
321.99999999999994,1.1321099197696327E-34,5.120901093078974E-35,-1.9572654927344207E-36,-9.01103216642433E-37,7.927067522728078E-35,3.5857773104582135E-35
324,1.133280498504002E-34,5.091572553273199E-35,-1.9354129893171284E-36,-8.848083948934371E-37,7.935263266233826E-35,3.5652342964037907E-35
326,1.134430644000699E-34,5.062566034999615E-35,-1.913908209685857E-36,-8.689023788395682E-37,7.943315506014305E-35,3.544916469236546E-35
328,1.1355607815525923E-34,5.033874779227409E-35,-1.8927442312550258E-36,-8.533737434938536E-37,7.951227907806665E-35,3.5248193909744165E-35
330,1.136670934673018E-34,5.005491666597046E-35,-1.8719144764578688E-36,-8.38211648617041E-37,7.959001839336967E-35,3.5049389051143446E-35
331.99999999999994,1.137762236646895E-34,4.977414936120784E-35,-1.8514120667667933E-36,-8.234050244790706E-37,7.966643175133385E-35,3.485272667273935E-35
333.99999999999994,1.1388348203976838E-34,4.949638806891473E-35,-1.831230709446273E-36,-8.089436959366363E-37,7.974153727793439E-35,3.465817067325594E-35
336,1.1398891036946052E-34,4.922158698481984E-35,-1.8113641123230447E-36,-7.948176945067047E-37,7.981536404007438E-35,3.446568903135411E-35
338,1.140925493049966E-34,4.894970115086483E-35,-1.791806122967068E-36,-7.810173935670725E-37,7.988794033457903E-35,3.42752502898003E-35
340,1.1419443839593894E-34,4.868068643457036E-35,-1.772550725910074E-36,-7.67533494623989E-37,7.995929371870694E-35,3.408682355193277E-35
342,1.1429463853255509E-34,4.841447660559633E-35,-1.753591981421485E-36,-7.543570874737624E-37,8.002946396751841E-35,3.39003647165161E-35
343.99999999999994,1.1439314541947656E-34,4.815108243079057E-35,-1.7349242569247723E-36,-7.414793240689092E-37,8.009845313062607E-35,3.3715876312738794E-35
345.99999999999994,1.144900138996284E-34,4.7890430873386417E-35,-1.7165418697530228E-36,-7.288919162464573E-37,8.01662968338185E-35,3.353331017478711E-35
348,1.145852798615163E-34,4.7632481381890476E-35,-1.698439323129158E-36,-7.1658675194608365E-37,8.023302021646015E-35,3.33526376622375E-35
