% Model:              3D-Ag-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 14 2025, 19:53
% Dimension:          1
% Nodes:              51
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(pxx) (C*m),imag(pxx) (C*m),real(myy)/c_const (C*m),imag(myy)/c_const (C*m),real(pzz) (C*m),imag(pzz) (C*m)
300,1.1287385774632453E-34,5.519927931106229E-35,-3.35764510211465E-36,-1.676402759973975E-36,7.903506685940688E-35,3.8652647603853065E-35
302,1.1300385680087213E-34,5.485698843191149E-35,-3.3177912668064604E-36,-1.643824575618026E-36,7.912602561367631E-35,3.841289818889308E-35
304,1.1313141754266545E-34,5.451876410276218E-35,-3.278607107687959E-36,-1.6120821937314114E-36,7.921528282278562E-35,3.817599488992431E-35
306,1.1325659883542599E-34,5.418453758321923E-35,-3.2400787807996604E-36,-1.5811490693041497E-36,7.930287950044482E-35,3.7941889947211627E-35
307.99999999999994,1.133794578603181E-34,5.385424150326653E-35,-3.202192755279405E-36,-1.5509996591181173E-36,7.938885546162634E-35,3.7710536504818805E-35
309.99999999999994,1.1350005019901476E-34,5.352780982326637E-35,-3.1649358069562185E-36,-1.5216093779937072E-36,7.947324939444751E-35,3.7481888579682463E-35
312,1.1361842991573392E-34,5.320517781692526E-35,-3.12829501198446E-36,-1.4929545570312635E-36,7.955609893222236E-35,3.7255901051083306E-35
314,1.1373464963039663E-34,5.288628208020271E-35,-3.0922577406661156E-36,-1.4650124037742334E-36,7.963744071806562E-35,3.7032529672436883E-35
316,1.1384876057621668E-34,5.257106056074741E-35,-3.056811651547172E-36,-1.4377609643248992E-36,7.971731045529687E-35,3.6811731099620415E-35
318,1.1396081263890555E-34,5.225945260157901E-35,-3.021944685773274E-36,-1.4111790874637024E-36,7.979574294100302E-35,3.6593462928117617E-35
319.99999999999994,1.140708543793744E-34,5.195139899873424E-35,-2.987645061604798E-36,-1.3852463907673325E-36,7.987277208398584E-35,3.6377683733048423E-35
321.99999999999994,1.141789330483338E-34,5.164684208644689E-35,-2.9539012689714864E-36,-1.3599432285966221E-36,7.994843091410625E-35,3.616435310923779E-35
324,1.1428509166534751E-34,5.134570269189551E-35,-2.920701964150975E-36,-1.3352507443500886E-36,8.002275659425273E-35,3.5953422863445545E-35
326,1.1438938324733162E-34,5.104796920989306E-35,-2.888036316628776E-36,-1.3111504669919869E-36,8.009577064067234E-35,3.5744874504504374E-35
328,1.1449184668604931E-34,5.075356848323559E-35,-2.8558935339949957E-36,-1.2876248848536314E-36,8.016750722171252E-35,3.5538659779372414E-35
330,1.1459248046598167E-34,5.046242390908729E-35,-2.8242633588449817E-36,-1.2646573826575069E-36,8.023797740420286E-35,3.533473340245737E-35
331.99999999999994,1.1469139505194714E-34,5.01745130815618E-35,-2.7931350934709682E-36,-1.2422310122251317E-36,8.03072377581255E-35,3.513306847948151E-35
333.99999999999994,1.1478860014128812E-34,4.988977322851392E-35,-2.7624989371760213E-36,-1.2203301877830716E-36,8.037530396409335E-35,3.493362546923299E-35
336,1.14884134239529E-34,4.960815384020503E-35,-2.7323451026727895E-36,-1.19893964728395E-36,8.044220279611262E-35,3.4736369055167437E-35
338,1.1497803480371405E-34,4.932960541209246E-35,-2.7026640255260317E-36,-1.1780446557510867E-36,8.050796031241314E-35,3.4541264595954293E-35
340,1.1507033826435665E-34,4.905407941798235E-35,-2.6734463594218157E-36,-1.157630983942065E-36,8.057260188459768E-35,3.4348278117690116E-35
342,1.1516110263646196E-34,4.878150520677027E-35,-2.6446828833204925E-36,-1.1376849984899615E-36,8.063616525218547E-35,3.415736244021605E-35
343.99999999999994,1.152503203300775E-34,4.851188984572349E-35,-2.6163648499924256E-36,-1.118193169495711E-36,8.069865019598759E-35,3.3968517463305614E-35
345.99999999999994,1.1533804342516002E-34,4.824515608815127E-35,-2.588483446750681E-36,-1.0991428206573865E-36,8.076009038547187E-35,3.378169209542236E-35
348,1.1542430497620581E-34,4.7981259546846294E-35,-2.561030150927488E-36,-1.080521549966319E-36,8.082050897531079E-35,3.3596855007808486E-35
350,1.1550913708501225E-34,4.772015648959137E-35,-2.533996633381731E-36,-1.0623173714056489E-36,8.087992850045511E-35,3.341397552064974E-35
352,1.1559257117058293E-34,4.746180390810981E-35,-2.5073747530360023E-36,-1.0445186972113498E-36,8.093837093170386E-35,3.3233023611998956E-35
354,1.1567463814539232E-34,4.720615976482394E-35,-2.4811565534170463E-36,-1.0271143213975184E-36,8.099585773562514E-35,3.305396998983385E-35
355.99999999999994,1.1575536813959883E-34,4.695318336377635E-35,-2.455334261070196E-36,-1.0100934067109639E-36,8.105240975768765E-35,3.2876786218461703E-35
357.99999999999994,1.1583475658166835E-34,4.6702811744675333E-35,-2.429900430993992E-36,-9.934456305151414E-37,8.11080377913011E-35,3.270143842570517E-35
360,1.1591289551632197E-34,4.64550465127022E-35,-2.404847325266106E-36,-9.771606264555677E-37,8.116277787244691E-35,3.2527912341367384E-35
362,1.1598978049693139E-34,4.620983009397556E-35,-2.3801678251723993E-36,-9.612286698288985E-37,8.121663928006232E-35,3.235617256703087E-35
364,1.1606543829904087E-34,4.596712463657794E-35,-2.355854833935113E-36,-9.456402633564407E-37,8.126964109760843E-35,3.2186191707441144E-35
366,1.1613989461218082E-34,4.5726893366857417E-35,-2.3319014155502746E-36,-9.303862177560642E-37,8.132180202624617E-35,3.2017943608575E-35
367.99999999999994,1.1621317402841988E-34,4.548910004872623E-35,-2.3083007872680754E-36,-9.154576403785991E-37,8.137313993878928E-35,3.185140301037463E-35
369.99999999999994,1.1628530039625717E-34,4.5253708741518487E-35,-2.2850463141780374E-36,-9.00845921865579E-37,8.142367189030021E-35,3.1686545128601074E-35
372,1.1635629711034547E-34,4.5020683893878767E-35,-2.262131506144681E-36,-8.865427235808357E-37,8.14734143316353E-35,3.152334547653141E-35
374,1.1642618720329942E-34,4.478999052546926E-35,-2.2395500155714762E-36,-8.725399667744037E-37,8.152238328232653E-35,3.136177987505789E-35
376,1.1649499331880764E-34,4.4561594353986623E-35,-2.2172956350603567E-36,-8.588298230393767E-37,8.157059440714478E-35,3.120182451855308E-35
378,1.165627376464885E-34,4.4335461851473826E-35,-2.195362294842258E-36,-8.45404705580054E-37,8.161806302785764E-35,3.104345602603722E-35
379.99999999999994,1.1662944184574302E-34,4.4111560243406135E-35,-2.1737440600500894E-36,-8.322572611870824E-37,8.166480410416575E-35,3.088665145671583E-35
381.99999999999994,1.1669512696493792E-34,4.388985744703471E-35,-2.152435127713093E-36,-8.19380363000678E-37,8.171083220678808E-35,3.073138828506142E-35
384,1.1675981337797124E-34,4.3670321935789543E-35,-2.131429823108205E-36,-8.067671039774227E-37,8.17561615051804E-35,3.057764433907421E-35
386,1.1682352079210043E-34,4.3452922544613776E-35,-2.1107225951177528E-36,-7.944107905120614E-37,8.180080579740438E-35,3.042539772604845E-35
388,1.1688628006328168E-34,4.323760420640508E-35,-2.09030779315242E-36,-7.82305055622687E-37,8.18447833913281E-35,3.027462116917085E-35
390,1.1694809286198263E-34,4.3024386447837387E-35,-2.070180500464654E-36,-7.704433143135131E-37,8.188810009767181E-35,3.01253051581407E-35
391.99999999999994,1.1700898354029904E-34,4.2813216035735826E-35,-2.0503353449491865E-36,-7.588196130676299E-37,8.193077207110486E-35,2.9977424299192135E-35
393.99999999999994,1.1706896984623556E-34,4.260406265741918E-35,-2.0307672333579667E-36,-7.474280395012197E-37,8.197281141818546E-35,2.983095827016518E-35
395.99999999999994,1.1712810031255603E-34,4.2396878364888737E-35,-2.0114709370119465E-36,-7.362629202315524E-37,8.201423369161907E-35,2.968588332478017E-35
398,1.1718634075170025E-34,4.2191676551133486E-35,-1.992442010715442E-36,-7.2531848142393106E-37,8.205504642374187E-35,2.954218675961742E-35
400,1.172437301935849E-34,4.1988410054177107E-35,-1.9736755034588316E-36,-7.145894028889311E-37,8.209526322565545E-35,2.939984649871826E-35
