% Model:              2D-Au-Plate-from-wl.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 21 2025, 23:00
% Dimension:          1
% Nodes:              101
% Expressions:        3
% Description:        Table graph
% R0 (nm),F_x (N),F_y (N),F_z (N)
60,1.8412119111680423E-27,-1.3055734617073574E-27,-1.2931600550990893E-25
60.99999999999999,2.122318869212072E-27,-1.5606941438656204E-27,-1.4162646278220678E-25
61.99999999999999,2.4457561812304755E-27,-1.8638916262061797E-27,-1.5498571918996357E-25
63,2.8176306562978375E-27,-2.2209798046615623E-27,-1.694346663512319E-25
63.99999999999999,3.24491703753052E-27,-2.6374206936813647E-27,-1.8505980884980063E-25
64.99999999999999,3.736931766527495E-27,-3.1238511880827905E-27,-2.0186700946394375E-25
66,4.304660519216544E-27,-3.6913109716777625E-27,-2.200015671867662E-25
67,4.9601795412331325E-27,-4.350266042521512E-27,-2.395614104994367E-25
67.99999999999999,5.717057604923884E-27,-5.109936615416935E-27,-2.60542465384014E-25
69,6.59425720750762E-27,-5.987840502313649E-27,-2.8313393878450374E-25
70,7.610179765805788E-27,-6.994046264346455E-27,-3.073701837417417E-25
70.99999999999999,8.789341599673129E-27,-8.145478962158905E-27,-3.3339820233608282E-25
72,1.0159617881639215E-26,-9.457618433558938E-27,-3.6134582404491897E-25
73,1.1751373324566426E-26,-1.0941616477396682E-26,-3.913170538887213E-25
73.99999999999999,1.3606313199609998E-26,-1.2620399193499367E-26,-4.23564755783461E-25
75,1.5767371129106215E-26,-1.4507396486711302E-26,-4.582625680781739E-25
76,1.828617102895524E-26,-1.6616292694287806E-26,-4.956558856101527E-25
76.99999999999999,2.122328000757362E-26,-1.896066087191663E-26,-5.360396089310132E-25
78,2.464892024283128E-26,-2.1553283390974954E-26,-5.797054405298297E-25
79,2.8645330794591854E-26,-2.4404342863275977E-26,-6.271770042051062E-25
79.99999999999999,3.330464262293311E-26,-2.751583450890232E-26,-6.788617417823763E-25
81,3.8736719386663124E-26,-3.089119077441645E-26,-7.353754553468839E-25
82,4.506195482554148E-26,-3.4522110395938666E-26,-7.973204529921879E-25
82.99999999999999,5.24193301568511E-26,-3.8388984734995456E-26,-8.654087789276062E-25
84,6.096808539789557E-26,-4.246790947790362E-26,-9.405782927157138E-25
85,7.08816482674367E-26,-4.6715222205635916E-26,-1.023752686076216E-24
85.99999999999999,8.235143264057163E-26,-5.1066793657918016E-26,-1.1158380949492009E-24
87,9.558065648869365E-26,-5.542989704477942E-26,-1.2178439715028855E-24
88,1.107897885481481E-25,-5.969372126809032E-26,-1.3307457405431092E-24
88.99999999999999,1.2818876320998018E-25,-6.369012758681719E-26,-1.4553443713709456E-24
90,1.4798125918147494E-25,-6.721303201448803E-26,-1.592188749677441E-24
91,1.7033365397287658E-25,-6.998601234781077E-26,-1.7413698039701433E-24
91.99999999999999,1.9534757824604537E-25,-7.167041584111577E-26,-1.902275485948345E-24
93,2.2300554713647064E-25,-7.183232397422259E-26,-2.0729223318520136E-24
94,2.5314014880517673E-25,-6.995692168975904E-26,-2.250227371028052E-24
94.99999999999999,2.853455983341624E-25,-6.543135729490905E-26,-2.4287395361543128E-24
96,3.1891898440104994E-25,-5.756193318188508E-26,-2.6005939951133457E-24
97,3.5280488375754357E-25,-4.5599396790777326E-26,-2.7551956668722586E-24
97.99999999999999,3.8555104217101592E-25,-2.879133451970946E-26,-2.8788141447535653E-24
98.99999999999999,4.153356870209576E-25,-6.39940170812603E-27,-2.9546753182910898E-24
100,4.40040754549631E-25,2.2192625863869232E-26,-2.9634377836107603E-24
100.99999999999999,4.57406020779035E-25,5.740376271952536E-26,-2.88316261117002E-24
101.99999999999999,4.652535277595244E-25,9.917466474846674E-26,-2.6883622249823036E-24
103,4.61819086425049E-25,1.45850913987141E-25,-2.3454710364415475E-24
103.99999999999999,4.4698531091085645E-25,1.8941265983974521E-25,-1.8061196573529715E-24
104.99999999999999,4.278010164160414E-25,1.9901331997550111E-25,-1.0383131773743747E-24
106,4.293980708488993E-25,1.1261144414256454E-25,-2.7541375107310845E-25
106.99999999999999,4.574083163479245E-25,-1.575517650961392E-26,-4.0010365863327614E-26
107.99999999999999,4.654968816773006E-25,-4.680417474241475E-26,3.0921446257380184E-27
109,4.514161328432897E-25,-1.8051730298820342E-26,2.610805351773186E-25
109.99999999999999,4.326331458810618E-25,1.9030503173570228E-26,6.927161325993807E-25
110.99999999999999,4.19228260131944E-25,4.94266339807617E-26,1.2069403992726247E-24
112,4.172390981071687E-25,7.033999811748787E-26,1.745394619597129E-24
112.99999999999999,4.318652953848718E-25,8.148873721251996E-26,2.2667375950979687E-24
113.99999999999999,4.684953811072007E-25,8.269194364410719E-26,2.7322008046899716E-24
115,5.329430071233339E-25,7.346511756831983E-26,3.0965505990884254E-24
115.99999999999999,6.3094601922114335E-25,5.310161658006269E-26,3.3031274477735602E-24
116.99999999999999,7.667226094106106E-25,2.1024085033000665E-26,3.2841476525465743E-24
118,9.40558348930114E-25,-2.2532539049210664E-26,2.968209667167032E-24
118.99999999999999,1.1456217633004216E-24,-7.568778139639172E-26,2.2999787117163934E-24
120,1.3655643463016886E-24,-1.3420251950629817E-25,1.2708966161344313E-24
121,1.5756919461727628E-24,-1.9170496353764946E-25,-5.44789916978555E-26
121.99999999999999,1.749105401147057E-24,-2.411757206805045E-25,-1.5372838021473837E-24
122.99999999999999,1.8658929015276848E-24,-2.772183151223496E-25,-3.0026069557907245E-24
123.99999999999999,1.919167810627458E-24,-2.977092794628428E-25,-4.2971051443201845E-24
125,1.914801895813291E-24,-3.037906794562028E-25,-5.329660580416765E-24
126,1.8661662100093313E-24,-2.9860801626098823E-25,-6.076836530988061E-24
127,1.7882719633299664E-24,-2.858332054949615E-25,-6.563374157221734E-24
127.99999999999999,1.694052374356268E-24,-2.6869535897159793E-25,-6.836388241982895E-24
129,1.5929841871720678E-24,-2.496234740862648E-25,-6.947637347401714E-24
129.99999999999997,1.4913453076230699E-24,-2.3020702111574074E-25,-6.940971805021844E-24
130.99999999999997,1.3928479600496156E-24,-2.1145479366590406E-25,-6.853147648636113E-24
132,1.2994984111713867E-24,-1.9391751780139478E-25,-6.710468080118065E-24
133,1.2121621691013627E-24,-1.7786075060879812E-25,-6.532256185465231E-24
134,1.1310441363863188E-24,-1.6337975625163323E-25,-6.331929236844911E-24
135,1.0559736877936582E-24,-1.5047422689339093E-25,-6.1183186381937744E-24
135.99999999999997,9.86586561562634E-25,-1.3910783489227435E-25,-5.897760768367515E-24
136.99999999999997,9.224317939835019E-25,-1.292075296020093E-25,-5.6735684719927885E-24
138,8.630441542661448E-25,-1.2071967765909248E-25,-5.448181211312735E-24
139,8.079701694838145E-25,-1.1359365318033926E-25,-5.22237235377372E-24
140,7.567736746577965E-25,-1.0781365630338275E-25,-4.996227040054086E-24
141,7.090517697921164E-25,-1.0339520671809185E-25,-4.769274924043499E-24
141.99999999999997,6.64424344855811E-25,-1.0039492735040146E-25,-4.540024972951805E-24
142.99999999999997,6.225101189407239E-25,-9.893001952155867E-26,-4.30630316965368E-24
144,5.8285931963787E-25,-9.918741077682044E-26,-4.064859510981345E-24
145,5.449197524065199E-25,-1.0144496884467574E-25,-3.810448565483967E-24
146,5.078373231083112E-25,-1.060627064460822E-25,-3.535115676917082E-24
147,4.7015408813500175E-25,-1.1332371108249032E-25,-3.2253655668346657E-24
147.99999999999997,4.29328271049347E-25,-1.227380439506039E-25,-2.857330682527942E-24
148.99999999999997,3.8187443000248664E-25,-1.3038718179637624E-25,-2.390443273566743E-24
150,3.3062079328668957E-25,-1.2077906761862902E-25,-1.7919216163985793E-24
151,3.251927952033007E-25,-6.003768630652967E-26,-1.4000812679193746E-24
152,4.494158444491594E-25,2.743139351762922E-26,-3.007781897221221E-24
153,4.857448596390145E-25,4.3899218877562424E-26,-4.972183623821195E-24
