% Model:              SPP2-free-space.mph
% Version:            COMSOL 6.1.0.282
% Date:               Dec 20 2024, 15:13
% Dimension:          1
% Nodes:              61
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),F_x (N),F_y (N),F_z (N)
600,1.4632034649946845E-25,4.980952658366288E-28,-3.1313895453255823E-25
610,1.5348377156723618E-25,5.058037055084568E-28,-3.2827970727223986E-25
620,1.944565776608049E-25,4.762505380493195E-28,-4.162854561270475E-25
630,3.653607137148138E-25,7.904220245540615E-28,-7.806119701446491E-25
640,4.654624539759369E-25,2.026729524192712E-27,-9.949979141379163E-25
650,3.9412192556329107E-25,2.988704872260262E-27,-8.402182725688849E-25
660,2.0935696455384316E-25,1.6142911518548438E-27,-4.458329074573242E-25
670,1.6218525305778427E-25,1.0772336246061608E-27,-3.456167366648288E-25
680,1.397591965726815E-25,7.860731514344194E-28,-2.9810412327164777E-25
690,1.2304535658494042E-25,5.813901525719636E-28,-2.6267152746423383E-25
700,1.079529550774919E-25,4.161410406081529E-28,-2.3061352781956972E-25
710,9.342708074660381E-26,2.662044562193357E-28,-1.9971523014509476E-25
720,8.098142864443156E-26,1.258793971274869E-28,-1.7325379885795873E-25
730,7.249103116032781E-26,-1.7615152557398824E-29,-1.5530199038407558E-25
740,7.331372657165194E-26,-1.7160335598820783E-28,-1.5740027981595138E-25
749.9999999999999,9.419156365861391E-26,-3.5827297983436195E-28,-2.0263926606470265E-25
760,1.6633040153753336E-25,-6.77120627735484E-28,-3.5793491297700655E-25
770,4.710013213973108E-25,-1.9535623941124012E-27,-1.011368532413073E-24
780,7.861125803755308E-25,-3.27176570281635E-27,-1.6834104055823395E-24
790,4.678113796924614E-25,-8.946621876971731E-28,-1.0020187009951215E-24
800,4.686994611200256E-25,9.791160128778408E-29,-1.0043642105948251E-24
810,5.282201086991543E-25,7.053163328365857E-28,-1.131902055924828E-24
820,5.872512479679233E-25,1.1232362897910035E-27,-1.2582162323503847E-24
830,6.303390354067935E-25,1.3967095002146958E-27,-1.3502827010700302E-24
840,6.556747450298797E-25,1.5706464621044312E-27,-1.4042462813604703E-24
850,6.666786309241232E-25,1.6866877201665543E-27,-1.427443839096255E-24
859.9999999999999,6.677989053120147E-25,1.771930651105192E-27,-1.4294190452938725E-24
870,6.629404125417898E-25,1.8407207868739665E-27,-1.4185639926722095E-24
879.9999999999999,6.543547824083131E-25,1.8964114273514436E-27,-1.399721154118244E-24
890,6.444941803355452E-25,1.9431223082169313E-27,-1.3781672702833632E-24
900,6.344163695662222E-25,1.9799435560482825E-27,-1.356179793714576E-24
910,6.250294401336272E-25,2.0067478058526176E-27,-1.3357132817812627E-24
920,6.170349102321668E-25,2.024042796917682E-27,-1.3182754288576812E-24
930,6.110183413286726E-25,2.0341112840635544E-27,-1.3051249396347348E-24
940,6.073358358740977E-25,2.0350726464567278E-27,-1.297021381968966E-24
949.9999999999999,6.064850462107923E-25,2.031322983733496E-27,-1.2950347147160084E-24
960,6.089874119212251E-25,2.022938890776414E-27,-1.3002798822778207E-24
969.9999999999999,6.155254688380432E-25,2.0116698943246243E-27,-1.3142191399743944E-24
980,6.269535213005908E-25,1.999065350938828E-27,-1.3386841880262572E-24
989.9999999999999,6.443771477245546E-25,1.986458816132876E-27,-1.3760463987689585E-24
1000,6.683756902873876E-25,1.9745685352145123E-27,-1.4275551566617734E-24
1010,7.0213322114306905E-25,1.9620648781108185E-27,-1.5000330383806948E-24
1019.9999999999999,7.456903084845255E-25,1.9454419417949855E-27,-1.5935816742396773E-24
1030,8.016321937392348E-25,1.9157490206054627E-27,-1.7137448097405806E-24
1040,8.703450966543254E-25,1.855099903895536E-27,-1.8613500872823262E-24
1050,9.478532957883849E-25,1.732281726306098E-27,-2.027865067586433E-24
1060,1.0200410632383308E-24,1.5122853618215932E-27,-2.1830034209420396E-24
1070,1.0566779413475288E-24,1.1999012275798005E-27,-2.2619638371782366E-24
1080.0000000000002,1.0189471461685444E-24,9.098211514462289E-28,-2.1816236869476388E-24
1090,8.97948816916992E-25,8.087813465018143E-28,-1.922963533971008E-24
1100,7.211410734693011E-25,9.136743271199994E-28,-1.5446450662998276E-24
1109.9999999999998,5.51337303419567E-25,1.0768539429702462E-27,-1.1810396258001357E-24
1120,4.1050190746591695E-25,1.2021202939633619E-27,-8.791829998054215E-25
1130,3.1106408337879886E-25,1.2628015889039738E-27,-6.658613770674979E-25
1140,2.4003093540286186E-25,1.283180029329849E-27,-5.133367526313239E-25
1149.9999999999998,1.9247921296494623E-25,1.2803829005950926E-27,-4.1115475604653974E-25
1160,1.5930861339800283E-25,1.2682721245779877E-27,-3.39830655067576E-25
1170,1.357673770259836E-25,1.2531063752578071E-27,-2.891883189950989E-25
1180,1.1869149738725737E-25,1.237829468263334E-27,-2.524446036276987E-25
1190,1.0600448655281467E-25,1.2236714308136244E-27,-2.2514366854737946E-25
1199.9999999999998,9.633849743079982E-26,1.2109281603434543E-27,-2.0434776839219677E-25
