% Model:              SPP2-from-lambda.mph
% Version:            COMSOL 6.1.0.282
% Date:               Dec 13 2024, 01:36
% Dimension:          1
% Nodes:              61
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),mx (m^2*A),my (m^2*A),mz (m^2*A)
600,-4.1699056559462994E-24,4.303510121967912E-24,6.377558611494938E-24
610,-5.836750082155574E-25,5.600313925519027E-25,1.3447567026022196E-24
620,2.2806694003306307E-24,-2.29911821224894E-24,2.9633328771018704E-25
630,3.999949871328077E-24,-4.326166592531003E-24,-1.6698974147990308E-24
640,5.3702457289420146E-24,-5.686883245002805E-24,-8.159019477093527E-25
650,7.771469503885126E-24,-7.959085559465811E-24,-6.002631541600518E-25
660,1.0528713118882773E-23,-1.0276665573928454E-23,-5.051211315535169E-25
670,9.815304180154538E-24,-9.512612051736408E-24,-4.694089070675556E-25
680,7.363724711531888E-24,-7.352447513733876E-24,-4.698274846293096E-25
690,4.733032832295728E-24,-5.053949277357777E-24,-4.912274895866116E-25
700,2.220215631185515E-24,-2.8133410499485944E-24,-5.236187699055865E-25
710,-1.1865093922740874E-25,-6.658989503000807E-25,-5.536784665819025E-25
720,-1.9937773583314382E-24,1.1221446171078155E-24,-5.7969223836065355E-25
730,-3.2268024661892166E-24,2.3821179313352076E-24,-5.997053832838239E-25
740,-3.623528818321081E-24,2.926793604891223E-24,-6.251980793172142E-25
749.9999999999999,-3.0858032845778565E-24,2.6523187604363614E-24,-7.440353403158825E-25
760,-1.359267525070897E-24,1.1606509797601367E-24,-1.912013565458749E-24
770,3.9416699897934845E-24,-6.235746172696147E-24,-2.0511959129287522E-24
780,5.348318198311681E-24,-1.1146439455191152E-23,-5.005928263458977E-25
790,4.624561952739587E-24,-7.386542476666422E-24,-1.5943894954961247E-25
800,6.554334022840663E-24,-7.956129096873185E-24,6.598493890819006E-26
810,9.134626386454396E-24,-9.69790526673027E-24,2.715383580319982E-25
820,1.2073249436026174E-23,-1.1947226189177416E-23,4.804493126186676E-25
830,1.5274488622042762E-23,-1.4498976556253473E-23,6.959016279762095E-25
840,1.867422250060477E-23,-1.7242834656792363E-23,9.192031298961668E-25
850,2.213183600294933E-23,-2.0022632845923894E-23,1.144504404255467E-24
859.9999999999999,2.5588688607553923E-23,-2.2765745982047365E-23,1.3778340250425667E-24
870,2.880082199628463E-23,-2.5234190747063076E-23,1.6144283260051361E-24
879.9999999999999,3.1602683519169686E-23,-2.7259572724150134E-23,1.8716294407598735E-24
890,3.3502080911277874E-23,-2.837959955403789E-23,2.139935059770695E-24
900,3.403119236874248E-23,-2.8159204958501444E-23,2.429688775360628E-24
910,3.254139598694062E-23,-2.598970222682829E-23,2.7575301153423344E-24
920,2.828349217291249E-23,-2.1180110208536765E-23,3.1393697473527868E-24
930,2.0583496759692217E-23,-1.3135082013989359E-23,3.578675795666257E-24
940,8.578816007148088E-24,-1.0760249645426217E-24,4.145746389655127E-24
949.9999999999999,-7.772962257490114E-24,1.495082213576647E-23,4.8414396027855725E-24
960,-2.834786925301137E-23,3.4749344981686896E-23,5.7555912970532E-24
969.9999999999999,-5.206978745903136E-23,5.720917731569554E-23,6.990302191244842E-24
980,-7.692668614372072E-23,8.034748920584636E-23,8.713685796541209E-24
989.9999999999999,-1.0016167674923265E-22,1.0151834052641948E-22,1.1198726097217853E-23
1000,-1.1846980413600712E-22,1.176449253148221E-22,1.4795865750123552E-23
1010,-1.2990173042751928E-22,1.269157352915494E-22,2.058843022357009E-23
1019.9999999999999,-1.3281268098603212E-22,1.2797820278834854E-22,2.988650873349282E-23
1030,-1.2756870911136097E-22,1.2129285109938584E-22,4.618845227930803E-23
1040,-1.1551529174345655E-22,1.0826080090635568E-22,7.685947844814176E-23
1050,-9.873457223740975E-23,9.094309930862683E-23,1.3673258855271931E-22
1060,-7.946742524606757E-23,7.150628936495738E-23,2.3432598861915027E-22
1070,-5.96807470559555E-23,5.181730634777096E-23,2.812810558093898E-22
1080.0000000000002,-4.083118303739519E-23,3.324404336515854E-23,2.057878724747979E-22
1090,-2.4197582812862707E-23,1.6986229532022394E-23,1.2843492731869687E-22
1100,-9.394583651380658E-24,2.6169945628908145E-24,8.170797304136198E-23
1109.9999999999998,2.7675910830716487E-24,-9.112188973636745E-24,5.626442157329385E-23
1120,1.2941728234056732E-23,-1.8856216979676404E-23,4.081113138313099E-23
1130,2.0911271418431147E-23,-2.6434683284250376E-23,3.130769085948911E-23
1140,2.726015315340286E-23,-3.2414976368238204E-23,2.477140054514804E-23
1149.9999999999998,3.203833676261187E-23,-3.6870107632178623E-23,2.029620693803689E-23
1160,3.562351912678571E-23,-4.0165202460269317E-23,1.7007922265335907E-23
1170,3.8236304181584786E-23,-4.251820070225713E-23,1.4511940530160357E-23
1180,4.0067447275157093E-23,-4.411669496128674E-23,1.256500700152077E-23
1190,4.127730896492989E-23,-4.5117689977538595E-23,1.1010946308359693E-23
1199.9999999999998,4.199877857338563E-23,-4.565092282767933E-23,9.745721951997305E-24
