% Model:              2D-Au-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               Dec 22 2024, 21:24
% Dimension:          1
% Nodes:              61
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),F_x (N),F_y (N),F_z (N)
600,4.29167617889082E-25,5.879711877991441E-26,-1.5819800950513147E-25
610,4.74363270271933E-25,1.6988199628619605E-26,-3.117702168809176E-25
619.9999999999999,5.586954426653306E-25,1.2538119796684204E-26,-2.7678604291573085E-25
629.9999999999999,5.469390535509017E-25,4.8011083265971E-26,-5.70195983159975E-25
639.9999999999999,5.416605119810116E-25,-6.947332275845747E-26,-1.1283966704604636E-24
650,1.8816224776894372E-25,-2.203194036300825E-25,-1.9632917362036893E-24
660,1.5914962838282866E-25,-2.8664941109753645E-25,-1.7586908159458643E-24
670,2.0451731354198558E-25,-2.5907532205278723E-25,-1.2290552731909702E-24
680,2.08020056377676E-25,-2.094307660684523E-25,-8.577651820687363E-25
690,1.9754495742214708E-25,-1.541595570208064E-25,-6.008144257488508E-25
700,1.8861461661978016E-25,-9.939824692446461E-26,-4.337180158150215E-25
710,1.9308419913099016E-25,-4.6070454341635116E-26,-3.5604710602330967E-25
720,2.2037651900555804E-25,7.895752613485856E-28,-3.705356166305509E-25
729.9999999999999,2.7621809545156933E-25,4.0609521555523043E-26,-4.650598425982553E-25
739.9999999999999,3.6040669225741347E-25,6.86129027744201E-26,-6.154657657836493E-25
749.9999999999999,4.738918768568425E-25,7.686894989956349E-26,-8.096884534431594E-25
759.9999999999999,6.344328996984315E-25,5.1007768594206115E-26,-1.0493390802966266E-24
770,9.07813973558062E-25,-9.34601709970978E-27,-9.876733948009381E-25
780,5.337127462584783E-25,8.03850853644217E-26,1.3452462335641096E-25
790,5.643159815063294E-25,7.497415610727102E-26,-6.364659884454271E-25
800,7.027154960337462E-25,4.8037054343719355E-26,-1.0988923737431453E-24
810,8.400021523425341E-25,2.465300508303063E-26,-1.4234327333418682E-24
820,9.791573885399956E-25,3.939716254174439E-27,-1.6934594750749357E-24
830,1.1226246495599328E-24,-1.52341842872364E-26,-1.929455346707421E-24
839.9999999999999,1.2716448178354862E-24,-3.349954593997166E-26,-2.1336982308541147E-24
849.9999999999999,1.4244778221717643E-24,-5.0948916261816324E-26,-2.298658837626732E-24
859.9999999999999,1.5820971732989164E-24,-6.762151556656399E-26,-2.4123258274720383E-24
869.9999999999999,1.740295143665876E-24,-8.31043323116129E-26,-2.4562799550185865E-24
879.9999999999999,1.898231555450828E-24,-9.704385238768038E-26,-2.40302076148392E-24
890,2.0463216357325113E-24,-1.0872356973369708E-25,-2.228242565519605E-24
900,2.1764972285136107E-24,-1.1762346277007011E-25,-1.9018739782802603E-24
910,2.278423839509264E-24,-1.2305577654259453E-25,-1.3966898217858219E-24
920,2.340363818450087E-24,-1.244940425937641E-25,-6.947537020546708E-25
930,2.35079141190158E-24,-1.2191933880734777E-25,1.9016000821180996E-25
940,2.298954522342124E-24,-1.150393445062792E-25,1.254708660241464E-24
949.9999999999999,2.182597617334072E-24,-1.0526501359602987E-25,2.4035006578799066E-24
960,2.0055234158649885E-24,-9.392126591202225E-26,3.542729806600483E-24
969.9999999999999,1.784009751199865E-24,-8.333904822786644E-26,4.53382258163861E-24
980,1.5451540081931128E-24,-7.611174036227522E-26,5.232756288467742E-24
989.9999999999999,1.3216360449063368E-24,-7.428364516855345E-26,5.533494105007674E-24
1000,1.145037310344453E-24,-7.825978160718612E-26,5.407336045169787E-24
1010,1.0290728774401728E-24,-8.631486840980257E-26,4.8870239298410204E-24
1019.9999999999999,9.798042283987504E-25,-9.267690482416789E-26,4.110592934899699E-24
1030,9.855667504618148E-25,-8.618573220391189E-26,3.2198511273184624E-24
1039.9999999999998,1.0246810708201212E-24,-4.258232626462759E-26,2.4050069826100247E-24
1050,1.0560664969936048E-24,8.860308391419583E-26,1.9212508777864335E-24
1060,1.0025951733156782E-24,3.480799118055755E-25,1.9541467500148398E-24
1070,8.689505517155884E-25,4.88783773723419E-25,1.6997178064255392E-24
1080,8.47001163087883E-25,2.976336919701019E-25,4.977555346325663E-25
1090,8.959475310985514E-25,8.573450978805962E-26,-5.908937378074796E-25
1100,9.322937268786385E-25,-5.200295234738908E-26,-1.299266237918682E-24
1110,9.399155939469964E-25,-1.315278664250863E-25,-1.6935978587358016E-24
1120,9.230967032762388E-25,-1.796497165612011E-25,-1.8948168391395976E-24
1129.9999999999998,8.896374192830758E-25,-2.07399785768441E-25,-1.961583981050677E-24
1140,8.438170813840206E-25,-2.2295003086270567E-25,-1.9390553694331495E-24
1149.9999999999998,7.925879744437108E-25,-2.3022645562554073E-25,-1.862077103779265E-24
1160,7.384256594415936E-25,-2.320624817197403E-25,-1.7504870796803808E-24
1169.9999999999998,6.838674031236514E-25,-2.3018459173464023E-25,-1.6193363047666823E-24
1180,6.306532381463734E-25,-2.2578536898965266E-25,-1.4791544160185425E-24
1190,5.799014417068919E-25,-2.197052111506531E-25,-1.3371108014271614E-24
1200,5.322638476069203E-25,-2.1254367669312244E-25,-1.1979266355022939E-24
