% Model:              3D-Au-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               Dec 23 2024, 12:59
% Dimension:          1
% Nodes:              45
% Expressions:        3
% Description:        Table graph
% R (nm),F_x (N),F_y (N),F_z (N)
60,2.456585870384538E-27,-4.464043708960757E-28,8.177776784985265E-26
62.5,3.4591212905643136E-27,-7.966130924384671E-28,8.894848869664108E-26
64.99999999999999,4.9254948371724116E-27,-9.632265378350402E-28,9.537654575376447E-26
67.5,7.049371364114189E-27,-1.4882529029735457E-27,1.0034086957574696E-25
70,1.0105067643737111E-26,-1.776935166114888E-27,1.0324293663143675E-25
72.5,1.4341276336987427E-26,-2.5030280614313464E-27,1.028709762939048E-25
75,1.9778808668044586E-26,-2.9399345557310757E-27,9.783493965817201E-26
77.49999999999999,2.781526034465465E-26,-3.88805824430414E-27,8.610233648186852E-26
79.99999999999999,3.8757962977859355E-26,-4.854589748991962E-27,6.534747738633903E-26
82.5,5.359695539871378E-26,-5.804035409176634E-27,3.192281856858217E-26
85,7.402624557876303E-26,-6.116052625261079E-27,-1.820796712346811E-26
87.5,1.012643640399823E-25,-5.527742858636746E-27,-8.99642356588685E-26
90,1.3727129123500507E-25,-2.9351381979842098E-27,-1.8862951144490865E-25
92.49999999999999,1.8370103105443957E-25,3.5539307443321526E-27,-3.165592490185066E-25
94.99999999999999,2.410208592704329E-25,1.7483006147998734E-26,-4.666528213578993E-25
97.5,3.0472609083977414E-25,4.463358230125657E-26,-6.068867209757763E-25
100,3.620362981831179E-25,9.312805628719324E-26,-6.4104748443087895E-25
102.5,3.8612383394578555E-25,1.573519717179006E-25,-3.135282680509152E-25
104.99999999999999,4.433954189831865E-25,1.9748975771776914E-26,6.731034023864376E-25
107.49999999999999,5.717866204579709E-25,-1.0281810543294274E-25,1.0045278056529392E-24
109.99999999999999,5.666920111082731E-25,-2.6054713242722906E-26,1.9959491137113095E-24
112.5,6.639541136506352E-25,-3.9148039848591513E-26,2.8759338673941192E-24
115,9.060367068341333E-25,-1.1223930351850078E-25,2.9672003571265255E-24
117.5,1.2164468638117999E-24,-1.9272296429550476E-25,2.2481556974591947E-24
120,1.4833718413378074E-24,-2.47428481150242E-25,1.1152943687648353E-24
122.5,1.6417332728728753E-24,-2.6806337411466037E-25,-9.120721962217245E-27
125,1.6876757339345943E-24,-2.6267254034262654E-25,-8.95008771387435E-25
127.49999999999999,1.6498911520827663E-24,-2.4365127113875238E-25,-1.4904885725562337E-24
129.99999999999997,1.5588415213840537E-24,-2.1978411773431213E-25,-1.8355879364012925E-24
132.5,1.4402418934669264E-24,-1.961454567529728E-25,-1.9922929930864233E-24
135,1.308964833649616E-24,-1.7507982406655596E-25,-2.015552868439331E-24
137.5,1.1732604454092216E-24,-1.578865037186481E-25,-1.9435453765619236E-24
140,1.0376652845219544E-24,-1.4507896902757775E-25,-1.799455078385058E-24
142.5,9.030749797319763E-25,-1.36204678594784E-25,-1.591435427323181E-24
145,7.682471463024475E-25,-1.3141639157738292E-25,-1.3089261210884432E-24
147.5,6.285294546809812E-25,-1.2756979004338643E-25,-8.82322332750809E-25
150,5.288184620776358E-25,-7.893120837839641E-26,1.6682725350700004E-26
152.5,9.949883237548136E-25,8.646381865994412E-26,-8.892630458957891E-25
154.99999999999997,6.966763293382299E-25,4.856676807693848E-26,-1.204244541311129E-24
157.49999999999997,5.403055835737654E-25,6.14145871013107E-26,-9.856315347555494E-25
159.99999999999997,4.401159556237223E-25,7.638495189586289E-26,-8.2195075244913165E-25
162.5,3.6664563375643614E-25,7.854548986463647E-26,-7.002585359451514E-25
165,3.181324498301453E-25,6.16783131559256E-26,-6.216282111024766E-25
167.5,2.953181336283318E-25,2.4518107239325583E-26,-5.989231654033776E-25
170,2.9615110519859325E-25,-3.333908272319912E-26,-6.484733411384004E-25
