% Model:              SPP2-free-space.mph
% Version:            COMSOL 6.1.0.282
% Date:               Dec 20 2024, 15:03
% Dimension:          1
% Nodes:              61
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),mx (m^2*A),my (m^2*A),mz (m^2*A)
600,-2.213727001577574E-24,2.4427499339806368E-24,-1.03263140327448E-24
610,-2.478305392519494E-25,2.734275558199599E-25,-1.1634058362103546E-25
620,2.46444038758456E-24,-2.7206005195408887E-24,1.1492301202864104E-24
630,4.522143399717589E-24,-4.9922341829108014E-24,2.111017080018511E-24
640,6.015491782888127E-24,-6.642120614550851E-24,2.811546812527657E-24
650,7.151910989041563E-24,-7.887824892271475E-24,3.3344576826580514E-24
660,8.017060119768027E-24,-8.841435719124911E-24,3.737496046063498E-24
670,8.70146031102561E-24,-9.597235841132783E-24,4.057561666827101E-24
680,9.266704077750333E-24,-1.0221542087523274E-23,4.321912086593794E-24
690,9.73466055564856E-24,-1.0738508836157562E-23,4.540748813974355E-24
700,1.01184829747675E-23,-1.1162653054421089E-23,4.720204673037681E-24
710,1.0462136067473845E-23,-1.1542464409549426E-23,4.880763533425606E-24
720,1.0749425132229382E-23,-1.1860045599380487E-23,5.014819558449438E-24
730,1.100544557204985E-23,-1.2143068433037833E-23,5.134095557519794E-24
740,1.1229545451504223E-23,-1.2390860895588037E-23,5.238304256222204E-24
749.9999999999999,1.1435479299146659E-23,-1.2618683344805217E-23,5.333757113567918E-24
760,1.1617840595413198E-23,-1.2820796674083403E-23,5.416490231167156E-24
770,1.1792053342210347E-23,-1.301498018891973E-23,5.4802921746471485E-24
780,1.1952131355758829E-23,-1.3194218579129481E-23,5.530895558217586E-24
790,1.2101857638908823E-23,-1.3359685793206065E-23,5.6366578054438436E-24
800,1.2258847598895028E-23,-1.3534127359443938E-23,5.722378609776568E-24
810,1.2415622943326517E-23,-1.3707949795537236E-23,5.8011411826812536E-24
820,1.2589099233049416E-23,-1.3899306941353316E-23,5.884193858777142E-24
830,1.2785009371490472E-23,-1.4114421116725645E-23,5.9750251821334256E-24
840,1.3008423937277746E-23,-1.4359046856337232E-23,6.076700421168941E-24
850,1.3248509162183077E-23,-1.4621451571142634E-23,6.1849259196775145E-24
859.9999999999999,1.3526076847487752E-23,-1.492485319337398E-23,6.3099254383795955E-24
870,1.383032416169781E-23,-1.5257541909036114E-23,6.447221445673836E-24
879.9999999999999,1.4209314725320617E-23,-1.5672665239748782E-23,6.619534394246192E-24
890,1.4635132209839095E-23,-1.613958068922508E-23,6.8141953903427E-24
900,1.5143101246976617E-23,-1.669733931110718E-23,7.047856393964779E-24
910,1.575580283270005E-23,-1.7370929883925162E-23,7.331212924470703E-24
920,1.6499441092802802E-23,-1.8189320624140867E-23,7.676608052360854E-24
930,1.7367976439331298E-23,-1.914590853585113E-23,8.081296448574754E-24
940,1.848663100383857E-23,-2.0378871734792009E-23,8.603792322735022E-24
949.9999999999999,1.9824063760829323E-23,-2.1853702533431973E-23,9.229468135929174E-24
960,2.1504160538678597E-23,-2.3707126475527534E-23,1.0016151160267099E-23
969.9999999999999,2.3635942059745676E-23,-2.605949076493657E-23,1.101466806916373E-23
980,2.637493012581992E-23,-2.908247037199557E-23,1.2297457546585452E-23
989.9999999999999,2.993683546900368E-23,-3.301417948889741E-23,1.3964884442309005E-23
1000,3.4470814720139747E-23,-3.801933261946586E-23,1.608589323193965E-23
1010,4.0698426643395196E-23,-4.489431734142767E-23,1.8996222925499868E-23
1019.9999999999999,4.8841192419143046E-23,-5.38838002362112E-23,2.279717964941025E-23
1030,5.984448195124814E-23,-6.603126748630421E-23,2.7926628643444813E-23
1040,7.464937719537406E-23,-8.237552192405425E-23,3.481858263788854E-23
1050,9.403442279585182E-23,-1.0377567895897513E-22,4.383073790728571E-23
1060,1.1762002658890616E-22,-1.2981241313484812E-22,5.478613507845007E-23
1070,1.419424580297696E-22,-1.5666122452496016E-22,6.608926382552011E-23
1080.0000000000002,1.5929540228378553E-22,-1.758148561890177E-22,7.418829000151106E-23
1090,1.6201088355245592E-22,-1.7880949696544915E-22,7.552293920125681E-23
1100,1.4942517050767408E-22,-1.6491373662120517E-22,6.974039736918757E-23
1109.9999999999998,1.2914286410168856E-22,-1.4252315527132158E-22,6.033081573000332E-23
1120,1.0724480498251412E-22,-1.183504975918232E-22,5.0125610905622794E-23
1130,8.876039455970967E-23,-9.79466980999068E-23,4.148895983042338E-23
1140,7.344457483350486E-23,-8.104128687880613E-23,3.432246083432775E-23
1149.9999999999998,6.18747789791506E-23,-6.827103526337734E-23,2.89046729761049E-23
1160,5.288258906750157E-23,-5.834618098747604E-23,2.4692779369778444E-23
1170,4.5857142229715494E-23,-5.0592360857237236E-23,2.1402192355160655E-23
1180,4.0310565207146867E-23,-4.4471000542258534E-23,1.880485794292392E-23
1190,3.587619318773675E-23,-3.9577336399989504E-23,1.6729073384942888E-23
1199.9999999999998,3.228407852607339E-23,-3.561338453532993E-23,1.5048274998224098E-23
