% Model:              SPP2-free-space.mph
% Version:            COMSOL 6.1.0.282
% Date:               Nov 19 2024, 18:07
% Dimension:          1
% Nodes:              31
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),mx (m^2*A),my (m^2*A),mz (m^2*A)
600,5.970459526236866E-28,-6.5877451083145715E-28,2.783994133501971E-28
620,5.467108652542358E-28,-6.032346494611309E-28,2.54927178389197E-28
640,5.029891964498557E-28,-5.549919434712742E-28,2.345393407180436E-28
660,4.646089838364875E-28,-5.126430027959956E-28,2.166426135168433E-28
680,4.306176885919325E-28,-4.751368454405353E-28,2.0079270067030272E-28
700,4.006681980560593E-28,-4.420904805458022E-28,1.868276394917041E-28
720,3.7381293727657577E-28,-4.1245836393843085E-28,1.7430550793007363E-28
740,3.4983959208111697E-28,-3.860062174546715E-28,1.6312725046108856E-28
760,3.282332906438153E-28,-3.6216592590255415E-28,1.5305275075295101E-28
780,3.087367374279599E-28,-3.4065357791226598E-28,1.4396200931017733E-28
800,2.9091729799327653E-28,-3.2099179638618184E-28,1.3565327588106716E-28
820,2.7478068210953454E-28,-3.031868663820032E-28,1.2812920320745024E-28
840,2.5983273012585015E-28,-2.8669352940398413E-28,1.2115936152540964E-28
859.9999999999999,2.4625505818533923E-28,-2.717121686300686E-28,1.1482844051259855E-28
879.9999999999999,2.337682397135093E-28,-2.5793445489594164E-28,1.090061354927211E-28
900,2.2226846819990003E-28,-2.4524584590052235E-28,1.0364404824117602E-28
920,2.1153516165986686E-28,-2.334029543421853E-28,9.863933212914801E-29
940,2.0162411318510723E-28,-2.2246733437244556E-28,9.401799668310878E-29
960,1.9246160920069723E-28,-2.123576456431646E-28,8.97456765965207E-29
980,1.8386951806224615E-28,-2.0287734511646155E-28,8.573931256766533E-29
1000,1.7590941081610955E-28,-1.9409436220048946E-28,8.202762278702409E-29
1019.9999999999999,1.6842418692642372E-28,-1.8583535630073078E-28,7.853734184563695E-29
1040,1.6147666536850063E-28,-1.7816963851175659E-28,7.529777926513987E-29
1060,1.5492677525560044E-28,-1.7094265827965478E-28,7.224361255880506E-29
1080.0000000000002,1.4874539221913419E-28,-1.6412227922987887E-28,6.936127063745089E-29
1100,1.4299365224860952E-28,-1.5777595687342694E-28,6.667925613539402E-29
1120,1.375523371037E-28,-1.5177214922925367E-28,6.414198681672796E-29
1140,1.3239977820780153E-28,-1.4608694654548056E-28,6.173935233415907E-29
1160,1.2759534825365493E-28,-1.4078585966354375E-28,5.949904619078776E-29
1180,1.2303626110924083E-28,-1.3575547816337305E-28,5.737313803239185E-29
1199.9999999999998,1.1870634637858496E-28,-1.3097795721384066E-28,5.535408507654068E-29
