% Model:              SPP2-from-lambda.mph
% Version:            COMSOL 6.1.0.282
% Date:               Nov 19 2024, 18:21
% Dimension:          1
% Nodes:              31
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),mx (m^2*A),my (m^2*A),mz (m^2*A)
600,-1.4759071562990017E-31,-1.4127211448079912E-27,8.762896629451965E-33
620,-1.8057941809434168E-31,-1.3423697143836502E-27,8.466656678491874E-33
640,-1.6865966181333159E-31,-1.2705095416620283E-27,8.365502974362936E-33
660,-1.2355514508177573E-31,-1.2009961666070967E-27,8.099466587645529E-33
680,-6.6190369218203E-32,-1.1305256749867846E-27,7.38747860466445E-33
700,-2.0141177858010244E-32,-1.0645257224584254E-27,6.383301946880409E-33
720,1.2637890402302167E-32,-1.0017516276471839E-27,5.188388306592701E-33
740,3.483334411139275E-32,-9.442589706945617E-28,3.990167707141275E-33
760,4.989571298255626E-32,-8.918627852612044E-28,2.922387464057956E-33
780,5.993714910142457E-32,-8.444325050229949E-28,2.0550654836802546E-33
800,6.598266016865057E-32,-8.014672211921726E-28,1.394161933752603E-33
820,6.864907993467494E-32,-7.629281134128798E-28,9.180409671881107E-34
840,6.827259373670297E-32,-7.273541663140569E-28,5.939186147584016E-34
859.9999999999999,6.575237115677139E-32,-6.9507285662176885E-28,3.736923458926556E-34
879.9999999999999,6.171154857291141E-32,-6.651299459018735E-28,2.274193977560112E-34
900,5.678630858125462E-32,-6.369939214216761E-28,1.2177246890454082E-34
920,5.131543372782944E-32,-6.099856692527609E-28,4.292380663137866E-35
940,4.593534692657593E-32,-5.845353423480769E-28,-2.6376249762760143E-35
960,4.0860888884672304E-32,-5.604975783061937E-28,-9.308196260394861E-35
980,3.616825215289635E-32,-5.374468022217317E-28,-1.5978350563477421E-34
1000,3.196470250011634E-32,-5.157168144621694E-28,-2.297015603021483E-34
1019.9999999999999,2.8185025047397623E-32,-4.949160320894035E-28,-3.00289445479133E-34
1040,2.482097979370082E-32,-4.753248235405699E-28,-3.706623721062831E-34
1060,2.1824678053880364E-32,-4.566274729358887E-28,-4.393581816410308E-34
1080.0000000000002,1.9205131824776764E-32,-4.388196205659358E-28,-5.02541301339984E-34
1100,1.6941737659152568E-32,-4.221442640342999E-28,-5.59176702907911E-34
1120,1.4979441502106715E-32,-4.063090642360314E-28,-6.107266419777472E-34
1140,1.3299228473076037E-32,-3.9129791230900536E-28,-6.524135932645968E-34
1160,1.1887531500588648E-32,-3.773158602555089E-28,-6.837736256483501E-34
1180,1.0693662210467407E-32,-3.6407896837789794E-28,-7.0572250018655794E-34
1199.9999999999998,9.689710755201965E-33,-3.5155088983045906E-28,-7.183383151186099E-34
