% Model:              SPP2-from-lambda.mph
% Version:            COMSOL 6.1.0.282
% Date:               Nov 27 2024, 14:58
% Dimension:          1
% Nodes:              61
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),mx (m^2*A),my (m^2*A),mz (m^2*A)
600,1.60937845295736E-28,6.088761493714283E-24,-1.2920452407341736E-27
610,2.335473139660457E-28,7.885033824239322E-25,-2.9349831419408857E-28
620,1.7398934362377836E-28,-3.243498472557695E-24,-2.0277380107482144E-28
630,6.478405176825767E-29,-6.0998063472730805E-24,6.027623844240245E-29
640,1.5209105868502065E-28,-8.02032782210375E-24,-1.17432405542934E-28
650,1.1149390016111794E-28,-1.1254471582583005E-23,1.1461500368719332E-28
660,5.917991807769986E-29,-1.4531970117943945E-23,-1.2310280676575348E-28
670,2.252393319206002E-28,-1.3475979706329378E-23,-1.3549066063248363E-28
680,9.299186530812099E-29,-1.0378396116885949E-23,-8.946300501592756E-30
690,-9.106415296549673E-29,-7.10067996935625E-24,1.0746148611010895E-28
700,-1.4264162258332546E-28,-3.9471709749621706E-24,1.793198564967562E-28
710,-1.2755476705189184E-28,-9.475651160504978E-25,1.6894880346158002E-28
720,-9.039286868230438E-29,1.5504486012001153E-24,1.151336424376817E-28
730,-7.333340837873475E-29,3.325437572580977E-24,3.126240926170753E-29
740,-9.055253594348817E-29,4.116056131220694E-24,-6.749480476714262E-29
749.9999999999999,-1.7093760049120257E-28,3.766862332375969E-24,-1.8794791375451917E-28
760,-4.614956263681158E-28,1.706567340111571E-24,-4.39686343317866E-28
770,-7.577017999503554E-28,-8.695658511686054E-24,5.001802372754785E-28
780,-4.3494515501765574E-29,-1.5706504783042277E-23,1.5681851717431494E-28
790,-2.3652678794199196E-28,-1.0400264309443623E-23,3.778557479832623E-29
800,-2.594190135668912E-28,-1.1204056742978248E-23,7.95497333707478E-29
810,-2.422475030872519E-28,-1.367651171483477E-23,1.3552194718535326E-28
820,-2.041246291329366E-28,-1.6875952920002325E-23,1.9738745705983209E-28
830,-1.7080565177210896E-28,-2.0509584901715417E-23,2.551366542221307E-28
840,-1.790486805407446E-28,-2.4419096499538095E-23,2.819778010111878E-28
850,-1.2942138903680888E-28,-2.838108537063553E-23,3.271378378999341E-28
859.9999999999999,-1.2647861793928764E-28,-3.228946440501329E-23,3.5794077009391165E-28
870,-1.5604749102155423E-28,-3.5802898504322E-23,3.5187845927118028E-28
879.9999999999999,-1.6224107358420309E-28,-3.867811907904494E-23,3.236329171110724E-28
890,-1.7251526646523765E-28,-4.025421392233498E-23,3.72156662049224E-28
900,-1.0150866251082865E-28,-3.991030646327408E-23,3.0860264807754378E-28
910,-7.406841026142359E-29,-3.678272390367087E-23,1.4458632408676358E-28
920,-5.248370152358375E-29,-2.989759552123386E-23,7.27626918604123E-29
930,2.394427570543409E-28,-1.8428739326773198E-23,-2.63569963535935E-29
940,7.505490927439526E-28,-1.2973701538262627E-24,-1.2146536398187444E-28
949.9999999999999,1.2027135276915386E-27,2.1398037530524204E-23,-1.5260250515736981E-28
960,1.4042318392038875E-27,4.9352997712998117E-23,-2.467873468331377E-28
969.9999999999999,1.324911225205699E-27,8.099359699936587E-23,-2.463248902941659E-28
980,7.4934293718959845E-28,1.135498981784164E-22,-2.450852244798634E-28
989.9999999999999,5.714395322282472E-28,1.4334187650644468E-22,-1.6752792121823766E-28
1000,1.3113091060658017E-28,1.6608961942911623E-22,-2.021318586180996E-28
1010,-3.0146295425802474E-28,1.7926003650687583E-22,-1.2001686672825861E-28
1019.9999999999999,-3.454783095562785E-30,1.8091005937988693E-22,-7.758722972448462E-29
1030,-3.482904490506154E-28,1.7163228572520064E-22,-1.248922385320535E-28
1040,-2.567351671890517E-28,1.533330787064457E-22,-2.3398573448927564E-28
1050,-5.63367691336989E-29,1.2889658429316545E-22,-2.416590618880335E-28
1060,-2.102027005965092E-28,1.0138383451846918E-22,-4.443736064521217E-28
1070,2.314434656336314E-29,7.34612421006268E-23,-3.3366253258115146E-28
1080.0000000000002,-3.8285722988303734E-29,4.70936804090417E-23,-1.4144003178046598E-28
1090,-3.542967682044414E-29,2.400185886495993E-23,-1.7585157835426287E-29
1100,-9.448884556213119E-29,3.601387191816542E-24,4.6197196427962544E-29
1109.9999999999998,-2.0004488269574531E-28,-1.3039715358908832E-23,4.018842050390027E-29
1120,-2.1989301971778937E-28,-2.68485750394207E-23,2.7495024759010584E-29
1130,-1.9427334126874452E-28,-3.7574268586757695E-23,1.814971439714398E-29
1140,-1.4647778742923001E-28,-4.6025057492174274E-23,1.3966372338425508E-29
1149.9999999999998,-1.1590793072880501E-28,-5.230965503867811E-23,8.810998461359575E-30
1160,-4.7756456693150925E-29,-5.694862618023629E-23,3.953908842586745E-30
1170,-9.65336072065412E-30,-6.025304039248348E-23,-1.3487981170270643E-29
1180,2.5949596965367137E-29,-6.249030847953395E-23,-1.1619334662572181E-29
1190,6.207492543155848E-29,-6.388374492785295E-23,-7.083362115737624E-30
1199.9999999999998,8.735879220673238E-29,-6.461767370233437E-23,-3.516246469306971E-30
