% Model:              SPP2-free-space.mph
% Version:            COMSOL 6.1.0.282
% Date:               Nov 19 2024, 18:08
% Dimension:          1
% Nodes:              31
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),px (C*m),py (C*m),pz (C*m)
600,1.5560921178243587E-34,1.7169404996826237E-34,7.256101776157198E-35
620,1.553916354350327E-34,1.7145443925610356E-34,7.245952249906734E-35
640,1.5519811226571362E-34,1.7124128905154333E-34,7.236928493862662E-35
660,1.550189988474127E-34,1.7104397264512606E-34,7.228580463513342E-35
680,1.5484775556182161E-34,1.7085528540085773E-34,7.220602722436264E-35
700,1.5470637979548419E-34,1.7069950859172515E-34,7.214020294996108E-35
720,1.545689685841894E-34,1.7054807030247284E-34,7.207624542023455E-35
740,1.5445269536761073E-34,1.704199257233875E-34,7.20221549810359E-35
760,1.5434692918659828E-34,1.7030334986183828E-34,7.1972967487389E-35
780,1.5425612570960614E-34,1.702032624821442E-34,7.193075480036565E-35
800,1.5416312456740966E-34,1.701007323805602E-34,7.188751051314389E-35
820,1.540894865810921E-34,1.7001955147941155E-34,7.185328526773235E-35
840,1.540012964469918E-34,1.6992230041846613E-34,7.18122619605551E-35
859.9999999999999,1.5393555179992434E-34,1.698498002196026E-34,7.178169079737824E-35
879.9999999999999,1.5387600295716033E-34,1.6978414014666356E-34,7.175400052932227E-35
900,1.5382438810674913E-34,1.6972721468056322E-34,7.172999171959813E-35
920,1.537630835972286E-34,1.6965959481597414E-34,7.170145569059729E-35
940,1.5371128297270205E-34,1.696024571880105E-34,7.167733585963195E-35
960,1.536702448917701E-34,1.6955718320193663E-34,7.165822822522273E-35
980,1.5362178463068768E-34,1.6950372288431057E-34,7.163564197097551E-35
1000,1.5358579879547595E-34,1.6946401155489E-34,7.16188704146717E-35
1019.9999999999999,1.5354312475598022E-34,1.6941693135469488E-34,7.159896546704208E-35
1040,1.5351433223226925E-34,1.693851512192739E-34,7.158553173031201E-35
1060,1.534800628709628E-34,1.6934733716640538E-34,7.156953288915135E-35
1080.0000000000002,1.5344117723046925E-34,1.6930441552612365E-34,7.155137957846849E-35
1100,1.5341694644790619E-34,1.6927767339957949E-34,7.154005271326243E-35
1120,1.533887046346808E-34,1.6924649140846517E-34,7.152685316610503E-35
1140,1.5335626955939972E-34,1.6921069473563774E-34,7.151169439028511E-35
1160,1.5333986176908306E-34,1.691925737632677E-34,7.150400578808509E-35
1180,1.5332021626947946E-34,1.6917087982899328E-34,7.149480733463572E-35
1199.9999999999998,1.5329729861712959E-34,1.69145575972603E-34,7.148408141380071E-35
