% Model:              SPP2-from-lambda.mph
% Version:            COMSOL 6.1.0.282
% Date:               Nov 19 2024, 18:21
% Dimension:          1
% Nodes:              31
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),px (C*m),py (C*m),pz (C*m)
600,1.069972689650041E-34,4.0855039914338275E-40,1.6118434058974642E-34
620,9.565550988428118E-35,4.515387964094427E-39,1.6608159993130332E-34
640,8.645620219480521E-35,1.0296495657596081E-38,1.6899174540927268E-34
660,7.787762577031086E-35,1.4666640275109948E-38,1.7147636099315525E-34
680,7.107589434127569E-35,1.614129594525529E-38,1.7375985529666376E-34
700,6.507787589052172E-35,1.5629016676530405E-38,1.7641554492127768E-34
720,6.021228061436587E-35,1.4198099945524597E-38,1.7894571412786557E-34
740,5.620051851338088E-35,1.2498765618843428E-38,1.8114129277987145E-34
760,5.288406438791564E-35,1.0752981367257111E-38,1.8288454807638504E-34
780,5.017419042963884E-35,8.989171500756051E-39,1.8420260487071238E-34
800,4.7808538712648666E-35,7.24142306000228E-39,1.8521795242479604E-34
820,4.566603192206913E-35,5.551511606490946E-39,1.860250625583348E-34
840,4.362153992658642E-35,3.9808716809919986E-39,1.8663108525009873E-34
859.9999999999999,4.163231289270819E-35,2.5844792036349964E-39,1.8711245561881524E-34
879.9999999999999,3.9666672133919155E-35,1.3890190556876796E-39,1.8749236401326541E-34
900,3.7809269222882563E-35,3.938293759929543E-40,1.8778857458475284E-34
920,3.609499093233211E-35,-3.955617201641227E-40,1.8803017929831342E-34
940,3.440898572553567E-35,-9.97812214705508E-40,1.8836243534894656E-34
960,3.277532520468089E-35,-1.4489734963868027E-39,1.888282593878336E-34
980,3.121230655152095E-35,-1.7785825237191765E-39,1.8942735715651278E-34
1000,2.9707926329076604E-35,-2.0116497902303503E-39,1.902021978054596E-34
1019.9999999999999,2.83001474076365E-35,-2.1692444044156748E-39,1.9110017529058057E-34
1040,2.7008092233778655E-35,-2.267787831243936E-39,1.921129584578241E-34
1060,2.5830288184172305E-35,-2.3181746333438702E-39,1.931803376455277E-34
1080.0000000000002,2.476487058744885E-35,-2.333493192528392E-39,1.9426417868693233E-34
1100,2.3817729035630945E-35,-2.3279857698789192E-39,1.953499825365889E-34
1120,2.2974594089992667E-35,-2.303727494771993E-39,1.9638414538931905E-34
1140,2.2219934868153045E-35,-2.2625616053542626E-39,1.9734623663482274E-34
1160,2.1546584614378022E-35,-2.2200435636004047E-39,1.9824602804726413E-34
1180,2.0941348441463333E-35,-2.175835475920923E-39,1.99048367878981E-34
1199.9999999999998,2.0394232261577686E-35,-2.1330229521804913E-39,1.9974921245749447E-34
