% Model:              SPP2-from-lambda.mph
% Version:            COMSOL 6.1.0.282
% Date:               Nov 26 2024, 02:48
% Dimension:          1
% Nodes:              31
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),px (C*m),py (C*m),pz (C*m)
600,1.411542959386146E-31,-2.808997134566112E-36,-1.635995466624936E-32
620,1.2961179097689399E-31,-2.4889746904214397E-36,-6.212407892822195E-33
640,1.2177050633824648E-31,-5.5977766267579285E-36,-1.4774714583835343E-32
660,1.2837074403657086E-31,-5.905548144187582E-36,-5.188063432023438E-32
680,1.124062935089553E-31,-1.5323509192538252E-35,-4.581228081853377E-32
700,5.905652752004026E-32,2.5162347027544963E-36,-2.4637309609436308E-32
720,1.498953299998302E-32,-5.980393414310145E-37,-6.089686133647886E-33
740,7.980632781063192E-33,5.2492897963086104E-37,-5.098237693836544E-33
760,2.6672479679478724E-32,-4.809282429563794E-36,-2.906177057954072E-32
780,-3.507024488625167E-32,-1.1904795319958871E-35,-4.8030313391029956E-32
800,1.4525811623609596E-31,-9.490552676554517E-36,-5.40785247177999E-32
820,2.4910841696723813E-31,3.2871731210639863E-36,-5.147086976875339E-32
840,3.6731552944644565E-31,1.6094039404340605E-35,-4.347284354366884E-32
859.9999999999999,5.10498705409162E-31,1.495086707837918E-35,-3.325328592012013E-32
879.9999999999999,6.798711694773211E-31,-9.34185021202688E-36,-2.328642229918588E-32
900,8.598952856679497E-31,-4.911317094930503E-35,-1.5013707750749E-32
920,1.0128784900682317E-30,-6.976704211521496E-35,-8.763005488189902E-33
940,1.080057820822064E-30,-3.5374671187053897E-35,-4.332363272598329E-33
960,1.0068767065458724E-30,3.594999737383764E-35,-1.1548572134414591E-33
980,7.93319387136471E-31,6.924687294180265E-35,1.479650173262468E-33
1000,5.349198212852774E-31,4.233219031710007E-35,4.2526268749936606E-33
1019.9999999999999,3.6146136913289174E-31,1.4354927693704446E-35,7.937655947646877E-33
1040,3.267484546082366E-31,1.2209074546377985E-35,1.3202603502978404E-32
1060,3.8148997550986814E-31,1.2916529895412396E-35,2.0712076627760168E-32
1080.0000000000002,4.522228368911817E-31,9.663020755041796E-36,3.094043414371751E-32
1100,4.9659517126374085E-31,7.950726578319325E-36,4.4127038161330127E-32
1120,5.080419823368421E-31,8.529168391620191E-36,6.027727221337251E-32
1140,4.94339425222347E-31,8.848084602884397E-36,7.901547146654942E-32
1160,4.663567302460789E-31,7.721343994964713E-36,9.963980056477238E-32
1180,4.321412925808379E-31,4.805691558798433E-36,1.2132051760190904E-31
1199.9999999999998,3.968009125089651E-31,5.763343031722688E-37,1.431103827576424E-31
