% Model:              2D-Au-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 28 2025, 19:07
% Dimension:          1
% Nodes:              71
% Expressions:        3
% Description:        Table graph
% R0 (nm),F_x (N),F_y (N),F_z (N)
50,4.091403581229765E-28,-1.4898479728253626E-27,-4.9719533579236E-26
50.99999999999999,4.808665612946376E-28,-1.708703985533647E-27,-5.487415335369394E-26
51.99999999999999,5.631813711349966E-28,-1.9569209892964778E-27,-6.053951476946545E-26
53,6.576185553688663E-28,-2.2379414473227287E-27,-6.67389038851034E-26
53.99999999999999,7.659501240606184E-28,-2.5554574143679447E-27,-7.354578364791264E-26
54.99999999999999,8.900670953981385E-28,-2.9138210109179116E-27,-8.093864679102666E-26
56,1.0325039364076345E-27,-3.3171299196251914E-27,-8.907033840633197E-26
56.99999999999999,1.1950965689324408E-27,-3.7714621080892434E-27,-9.786925245627767E-26
57.99999999999999,1.3815977403624372E-27,-4.2810887929313625E-27,-1.074883674870288E-25
59,1.5957059687084757E-27,-4.851718085940019E-27,-1.1794253711747658E-25
60,1.8412119111692624E-27,-5.48999043103528E-27,-1.2931600551046334E-25
60.99999999999999,2.1223188691546547E-27,-6.203179969718054E-27,-1.4162646278257176E-25
61.99999999999999,2.4457561808168086E-27,-6.996954182226822E-27,-1.549857191894995E-25
63,2.8176306562883246E-27,-7.879587835505062E-27,-1.694346663516591E-25
63.99999999999999,3.2449170375261464E-27,-8.859567095507641E-27,-1.8505980884953743E-25
64.99999999999999,3.736931766419006E-27,-9.944996615072576E-27,-2.0186700946424132E-25
66,4.304660519211134E-27,-1.1144179335806717E-26,-2.2000156718675426E-25
67,4.960179541174834E-27,-1.2466531786575724E-26,-2.3956141050258586E-25
67.99999999999999,5.717057605048511E-27,-1.3922734910208682E-26,-2.6054246538572033E-25
69,6.594257207502833E-27,-1.55204950472173E-26,-2.8313393878448813E-25
70,7.610179765775057E-27,-1.7271923067507688E-26,-3.0737018374175947E-25
70.99999999999999,8.789341599620555E-27,-1.9186712164381942E-26,-3.3339820233596174E-25
72,1.0159617881704598E-26,-2.1275693413891886E-26,-3.6134582404823538E-25
73,1.1751373324845495E-26,-2.3552877856298138E-26,-3.913170538882022E-25
73.99999999999999,1.3606313199666847E-26,-2.602605784733266E-26,-4.235647557829054E-25
75,1.576737112930294E-26,-2.871036673541605E-26,-4.582625680775022E-25
76,1.8286171028560495E-26,-3.161991443729075E-26,-4.956558856061981E-25
76.99999999999999,2.1223280007172945E-26,-3.4770028361242795E-26,-5.360396089282263E-25
78,2.4648920242730555E-26,-3.8177958705894746E-26,-5.797054405295083E-25
79,2.864533079459452E-26,-4.186211519908051E-26,-6.271770042038237E-25
79.99999999999999,3.330464262270729E-26,-4.584649149598271E-26,-6.788617417794378E-25
81,3.8736719387208966E-26,-5.015476549774395E-26,-7.353754553528225E-25
82,4.506195482576008E-26,-5.481969352746421E-26,-7.973204529898498E-25
82.99999999999999,5.241933015684916E-26,-5.987625899058192E-26,-8.654087789275224E-25
84,6.096808539813399E-26,-6.53625811762357E-26,-9.40578292716658E-25
85,7.088164826744359E-26,-7.132653852047463E-26,-1.0237526860760674E-24
85.99999999999999,8.235143264015095E-26,-7.782040013829304E-26,-1.1158380949433388E-24
87,9.558065648825834E-26,-8.490516156964218E-26,-1.217843971494993E-24
88,1.1078978854809653E-25,-9.263637678352902E-26,-1.3307457405492484E-24
88.99999999999999,1.2818876321013336E-25,-1.0108307821937362E-25,-1.4553443713686197E-24
90,1.479812591804855E-25,-1.103004753555397E-25,-1.5921887496752888E-24
91,1.7033365397346033E-25,-1.2033394549160954E-25,-1.74136980398655E-24
91.99999999999999,1.9534757824589134E-25,-1.3120124119972083E-25,-1.9022754859483784E-24
93,2.230055471352933E-25,-1.4288521434895009E-25,-2.0729223318450987E-24
94,2.531401488048966E-25,-1.5528954984190605E-25,-2.2502273710280316E-24
94.99999999999999,2.8534559833419154E-25,-1.6822722217365372E-25,-2.4287395361706095E-24
96,3.1891898440104994E-25,-1.8136929889254524E-25,-2.6005939951129144E-24
97,3.528048837570356E-25,-1.9419620778672087E-25,-2.75519566688256E-24
97.99999999999999,3.8555104217279E-25,-2.0593778518722507E-25,-2.878814144749762E-24
98.99999999999999,4.15335687020941E-25,-2.1549280431529477E-25,-2.9546753182908583E-24
100,4.400407545495219E-25,-2.212841427381813E-25,-2.9634377836104172E-24
100.99999999999999,4.574060207800501E-25,-2.2097419803535966E-25,-2.883162611170446E-24
101.99999999999999,4.652535277631623E-25,-2.1079751400000903E-25,-2.688362224976202E-24
103,4.618190864242133E-25,-1.8412585573175443E-25,-2.345471036464244E-24
103.99999999999999,4.469853109102813E-25,-1.2916906960827566E-25,-1.806119657329511E-24
104.99999999999999,4.278010164159576E-25,-3.3936056274480664E-26,-1.0383131773708352E-24
106,4.293980708495307E-25,5.813973999131357E-26,-2.754137510715396E-25
106.99999999999999,4.574083163480744E-25,2.423240567054185E-26,-4.001036586502422E-26
107.99999999999999,4.654968816754366E-25,-7.409056512358948E-26,3.0921446231027335E-27
109,4.51416132839712E-25,-1.3688507557792964E-25,2.6108053518019503E-25
109.99999999999999,4.326331458837529E-25,-1.6421464739292277E-25,6.927161325926964E-25
110.99999999999999,4.192282601315061E-25,-1.7172591417357384E-25,1.2069403992724921E-24
112,4.172390981088743E-25,-1.6864079840339651E-25,1.745394619596822E-24
112.99999999999999,4.318652953863327E-25,-1.5960132669445813E-25,2.266737595093523E-24
113.99999999999999,4.684953811079519E-25,-1.4707019641953242E-25,2.7322008046850437E-24
115,5.329430071230052E-25,-1.3250972042535278E-25,3.0965505990830563E-24
115.99999999999999,6.309460192210576E-25,-1.1696416013908405E-25,3.303127447774503E-24
116.99999999999999,7.66722609411297E-25,-1.0150567839235751E-25,3.2841476525464604E-24
118,9.40558348929964E-25,-8.732976705919669E-26,2.9682096671673817E-24
118.99999999999999,1.145621763301005E-24,-7.579991766936616E-26,2.2999787117175406E-24
120,1.3655643463003778E-24,-6.827755828078427E-26,1.2708966161260867E-24
