% Model:              2D-Au-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 28 2025, 19:12
% Dimension:          1
% Nodes:              71
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
50,2.311627531468415E-24,-4.94647886279023E-25,2.449284084861922E-24,-6.197717772678003E-25,-1.2281657523364726E-25,-6.207331709118255E-25
50.99999999999999,2.5717011410818802E-24,-5.572769315504499E-25,2.7228581878560643E-24,-6.960123747108191E-25,-1.3837720172652831E-25,-6.994626825745429E-25
51.99999999999999,2.856455851787912E-24,-6.273465850641345E-25,3.0220929932302368E-24,-7.809146750917444E-25,-1.5564143864185595E-25,-7.8676584596205265E-25
53,3.1679215391426615E-24,-7.057573078482443E-25,3.3490592536829576E-24,-8.754696882000182E-25,-1.7477513652485777E-25,-8.834588039722904E-25
53.99999999999999,3.508285365029169E-24,-7.935290514615938E-25,3.70598465544994E-24,-9.807942275760146E-25,-1.9595979708638176E-25,-9.904303241830393E-25
54.99999999999999,3.879905000840338E-24,-8.918173028111983E-25,4.095264887476414E-24,-1.0981476259315627E-24,-2.1939445673750065E-25,-1.1086485984480837E-24
56,4.285322257955865E-24,-1.0019357649791394E-24,4.519479260271843E-24,-1.2289536496625982E-24,-2.452971809514521E-25,-1.2391691355296212E-24
56.99999999999999,4.727278369711157E-24,-1.1253773006561285E-24,4.981402343598639E-24,-1.3748223560648964E-24,-2.7390761318304213E-25,-1.383143115296037E-24
57.99999999999999,5.208730305462275E-24,-1.2638407833675288E-24,5.484021992459119E-24,-1.5375785742431879E-24,-3.0548950294904428E-25,-1.5418273466491032E-24
59,5.73286990840656E-24,-1.4192642816466158E-24,6.030553620432175E-24,-1.719288065448478E-24,-3.4033341021850236E-25,-1.716594236342487E-24
60,6.303134794074543E-24,-1.5938649678127365E-24,6.62446376201788E-24,-1.9223152211405045E-24,-3.7875813460926113E-25,-1.9089461714573616E-24
60.99999999999999,6.923238778708933E-24,-1.790165696991021E-24,7.269475915052795E-24,-2.149335272085073E-24,-4.211198003897035E-25,-2.120526588242094E-24
61.99999999999999,7.597186612478547E-24,-2.011064425240263E-24,7.9696042989232E-24,-2.4034034919465693E-24,-4.678096289946372E-25,-2.3531371087886223E-24
63,8.329293737999463E-24,-2.2598823306616337E-24,8.729164237072598E-24,-2.6880110705162605E-24,-5.192628665903688E-25,-2.6087550966798966E-24
63.99999999999999,9.124216984823609E-24,-2.5404278019578924E-24,9.552798162813321E-24,-3.007147985412972E-24,-5.759640533737143E-25,-2.889553444782621E-24
64.99999999999999,9.986963685019945E-24,-2.8570824981941985E-24,1.0445492245375887E-23,-3.365391982481097E-24,-6.384533041129895E-25,-3.1979243199468034E-24
66,1.0922927399219036E-23,-3.214889138862459E-24,1.1412596160226332E-23,-3.767976225808819E-24,-7.073340602813968E-25,-3.536504254071249E-24
67,1.1937898538547468E-23,-3.619658941601388E-24,1.2459846399555447E-23,-4.220932534982854E-24,-7.832836744370268E-25,-3.908206259243782E-24
67.99999999999999,1.303807756795413E-23,-4.078099889282746E-24,1.3593364023574502E-23,-4.731200948130294E-24,-8.670637461502298E-25,-4.3162537333735E-24
69,1.4230110147928768E-23,-4.59796879392761E-24,1.4819692049678186E-23,-5.3067587264401684E-24,-9.595324882074342E-25,-4.764220058062117E-24
70,1.552107081475392E-23,-5.188239998255907E-24,1.614577068985899E-23,-5.9568321164678224E-24,-1.0616633559621007E-24,-5.256077527001275E-24
70.99999999999999,1.6918461787758916E-23,-5.8593221652419394E-24,1.757893821462352E-23,-6.692078036669169E-24,-1.1745591143830227E-24,-5.796250381175141E-24
72,1.8430209744342065E-23,-6.623286526858781E-24,1.912691632504832E-23,-7.524831574641274E-24,-1.2994811119218177E-24,-6.3896811237118746E-24
73,2.00646003180384E-23,-7.494161951489147E-24,2.0797738878280737E-23,-8.469387570600242E-24,-1.437870775519699E-24,-7.041904059596023E-24
73.99999999999999,2.1830238444220476E-23,-8.488272657993871E-24,2.2599705005382898E-23,-9.542329968948928E-24,-1.5913856419254982E-24,-7.759134103427061E-24
75,2.3735918352753395E-23,-9.62462550405115E-24,2.454123943854891E-23,-1.0762927549638438E-23,-1.761940929232626E-24,-8.548374020210079E-24
76,2.5790464329366528E-23,-1.0925386843798328E-23,2.6630735409452476E-23,-1.2153586880733267E-23,-1.951758009926923E-24,-9.417539141922037E-24
76.99999999999999,2.800252572706846E-23,-1.2416404594751686E-23,2.8876305118793767E-23,-1.3740358568614664E-23,-2.1634292819588296E-24,-1.0375606995788284E-23
78,3.0380137867277855E-23,-1.4127826202253723E-23,3.128538833280974E-23,-1.5553613532025327E-23,-2.399992518978295E-24,-1.1432806096065648E-23
79,3.293037620669593E-23,-1.6094844153888932E-23,3.38643335764423E-23,-1.7628657237646603E-23,-2.6650342113041184E-24,-1.260082759752172E-23
79.99999999999999,3.565862714329637E-23,-1.835851861888195E-23,3.6617684773257776E-23,-2.000660155513579E-23,-2.9628066715917212E-24,-1.3893096088089682E-23
81,3.856771252244763E-23,-2.096670100078409E-23,3.954728953478424E-23,-2.2735244187134696E-23,-3.2983908548079762E-24,-1.5325102882958508E-23
82,4.1656689678628837E-23,-2.3975064313830715E-23,4.2651081948740653E-23,-2.5870049231762585E-23,-3.677898749630439E-24,-1.6914810094659107E-23
82.99999999999999,4.491917062158403E-23,-2.7448119161500527E-23,4.592141486545295E-23,-2.9475161704142365E-23,-4.108739412229203E-24,-1.868316456445713E-23
84,4.834133401741974E-23,-3.146044976250538E-23,4.934302642928122E-23,-3.362445430606722E-23,-4.599963335588968E-24,-2.06547242059844E-23
85,5.1898782331082555E-23,-3.609763180059133E-23,5.2889949008689265E-23,-3.8402553565784544E-23,-5.1627256062582785E-24,-2.2858468279581756E-23
