% Model:              2D-Au-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 28 2025, 19:09
% Dimension:          1
% Nodes:              71
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
50,1.565114381028456E-32,6.036419141901602E-32,-1.3540015122273748E-32,-6.282217418707533E-32,-5.590776442557715E-32,2.2236058262513798E-32
50.99999999999999,1.6990853646028862E-32,6.508679519670234E-32,-1.472745726061452E-32,-6.77953974924141E-32,-5.948098770184572E-32,2.4414251146880762E-32
51.99999999999999,1.8433449466105424E-32,7.009724453943904E-32,-1.6009572386887883E-32,-7.307589581433285E-32,-6.318472440586047E-32,2.6788803550609466E-32
53,1.998725937347279E-32,7.540937448771363E-32,-1.7394384244330534E-32,-7.867866965584861E-32,-6.701479893994097E-32,2.937540827171401E-32
53.99999999999999,2.166144145496309E-32,8.103762205668036E-32,-1.889073852779469E-32,-8.461938014171086E-32,-7.096562421501666E-32,3.2190495854454643E-32
54.99999999999999,2.3466071460159056E-32,8.69970245336988E-32,-2.0508390410376052E-32,-9.091436706567786E-32,-7.502975404159857E-32,3.5251310732179855E-32
56,2.541225812196576E-32,9.330327153779889E-32,-2.225813093707024E-32,-9.758068571444119E-32,-7.919808392006883E-32,3.8575663658190697E-32
56.99999999999999,2.751224975874152E-32,9.99726891053942E-32,-2.4151890716133897E-32,-1.0463612122670703E-31,-8.345928229980086E-32,4.2181874611735906E-32
57.99999999999999,2.977958410308548E-32,1.0702229655187454E-31,-2.620288207958424E-32,-1.1209923343174532E-31,-8.779957559022656E-32,4.608868592382109E-32
59,3.222918278085981E-32,1.1446975191131427E-31,-2.8425751791638794E-32,-1.1998933860293481E-31,-9.220235819685234E-32,5.031421584471151E-32
60,3.487768761208483E-32,1.2233352206352903E-31,-3.0836792759866906E-32,-1.2832658658361338E-31,-9.665026589923772E-32,5.487801162058455E-32
60.99999999999999,3.7743461379560394E-32,1.3063259922990055E-31,-3.3454060418102564E-32,-1.3713186737176816E-31,-1.0111954561588897E-31,5.979793433749033E-32
61.99999999999999,4.084686847653953E-32,1.3938676124196938E-31,-3.629765636439373E-32,-1.4642691699706095E-31,-1.0558570280207467E-31,6.509120724929019E-32
63,4.4210592888079143E-32,1.486164073678535E-31,-3.939000162926138E-32,-1.562342352864075E-31,-1.100205046182296E-31,7.077419285906367E-32
63.99999999999999,4.7859810932389617E-32,1.5834256528769117E-31,-4.2756027820508986E-32,-1.6657711506793872E-31,-1.1439199631448316E-31,7.686065707111234E-32
64.99999999999999,5.182261617250933E-32,1.6858678400093707E-31,-4.642359665293592E-32,-1.7747949150108008E-31,-1.1866508275482448E-31,8.336233271243209E-32
66,5.613023092647447E-32,1.7937110309398683E-31,-5.042383444705954E-32,-1.8896600747024138E-31,-1.228009989024561E-31,9.028877112922489E-32
67,6.081754973271009E-32,1.9071788107555308E-31,-5.479148311354125E-32,-2.0106176532209976E-31,-1.2675802587261918E-31,9.764461936944965E-32
67.99999999999999,6.59235634153704E-32,2.0264963106277394E-31,-5.956544745865673E-32,-2.137922552482074E-31,-1.3049253313456688E-31,1.054319574788443E-31
69,7.149170456113923E-32,2.1518882518652906E-31,-6.47892752012359E-32,-2.271831369735665E-31,-1.3395655490339143E-31,1.1364607775734565E-31
70,7.757064533862393E-32,2.2835752001929604E-31,-7.051173910430092E-32,-2.412599167056214E-31,-1.3710137125696666E-31,1.2227725344724087E-31
70.99999999999999,8.421475845225428E-32,2.421770472239928E-31,-7.678749771809654E-32,-2.560476104996237E-31,-1.3987876243875614E-31,1.3131033308074809E-31
72,9.148501929433614E-32,2.566674522382272E-31,-8.367792150251044E-32,-2.7157026084012887E-31,-1.4223625342971305E-31,1.4072284775606163E-31
73,9.944956083683674E-32,2.7184678136057293E-31,-9.125173506328214E-32,-2.8785021662739365E-31,-1.4412540828001856E-31,1.5048636018478648E-31
73.99999999999999,1.0818463463333806E-31,2.8773041927423156E-31,-9.958603353363373E-32,-3.049075088066113E-31,-1.4549907965142029E-31,1.6056417763809986E-31
75,1.1777559500331745E-31,3.04329831435403E-31,-1.0876725764015226E-31,-3.2275862763265064E-31,-1.4631293020981785E-31,1.7091323113952482E-31
76,1.2831778707019853E-31,3.216512303057511E-31,-1.1889220893283018E-31,-3.414151497446339E-31,-1.4652782754800398E-31,1.814827854036794E-31
76.99999999999999,1.399176554854682E-31,3.3969403123252004E-31,-1.300692551476844E-31,-3.608823819319719E-31,-1.4610845628143268E-31,1.9221560081218724E-31
78,1.5269388196178376E-31,3.584484602517189E-31,-1.4241924296317842E-31,-3.8115674563208705E-31,-1.4502907672508541E-31,2.0305358669614287E-31
79,1.667780773540436E-31,3.7789268436986943E-31,-1.5607680000000486E-31,-4.022231458094917E-31,-1.4326812084036117E-31,2.1392763495882144E-31
79.99999999999999,1.8231591861066215E-31,3.979898670657865E-31,-1.7119125041708263E-31,-4.240519382538613E-31,-1.408155466518778E-31,2.2476956797463537E-31
81,1.994676469360851E-31,4.1868365553377674E-31,-1.8792733337386461E-31,-4.465944166434516E-31,-1.376704881143449E-31,2.3550994216125968E-31
82,2.1840802556809066E-31,4.398929240683436E-31,-2.064653773984651E-31,-4.697775357515761E-31,-1.338424762617366E-31,2.460781294458926E-31
82.99999999999999,2.393259597124918E-31,4.615049002203275E-31,-2.270009555492289E-31,-4.934969550234273E-31,-1.293437278574253E-31,2.564050581957884E-31
84,2.624219238964918E-31,4.833683732938834E-31,-2.4974296127398523E-31,-5.176101800598463E-31,-1.2420207173938031E-31,2.664230152610854E-31
85,2.879049948824727E-31,5.05283352182297E-31,-2.7491024958095594E-31,-5.4192602887345655E-31,-1.1845197780825596E-31,2.7607456592274266E-31
85.99999999999999,3.1598611920690947E-31,5.269912994340058E-31,-3.0272588930588794E-31,-5.661945450252766E-31,-1.1213386880245467E-31,2.8530126520795633E-31
87,3.4686810668923955E-31,5.481619023596703E-31,-3.3340679755510085E-31,-5.900935430019412E-31,-1.0529666632053844E-31,2.9405577397818564E-31
88,3.807303178595998E-31,5.683805678340301E-31,-3.6714912566079824E-31,-6.13215513203239E-31,-9.799228235205325E-32,3.0229802828591768E-31
88.99999999999999,4.177069358699479E-31,5.871360198451741E-31,-4.041064507002885E-31,-6.350545350170144E-31,-9.027659627140071E-32,3.099958998758811E-31
90,4.578557969882743E-31,6.038090257573679E-31,-4.443588430259768E-31,-6.549941061520504E-31,-8.220493370936336E-32,3.171248565437887E-31
91,5.0111717340221455E-31,6.176677232634418E-31,-4.878712933663903E-31,-6.723013638920707E-31,-7.383702311189161E-32,3.2366903333205703E-31
91.99999999999999,5.472607614149404E-31,6.278737515076681E-31,-5.344401253788091E-31,-6.861319875151381E-31,-6.522804221141884E-32,3.29620305676127E-31
93,5.958199812690346E-31,6.335057626793381E-31,-5.836261461739665E-31,-6.9555205957965285E-31,-5.643540257171777E-32,3.3498191967141824E-31
94,6.4602051964131215E-31,6.336096035041857E-31,-6.346810109421539E-31,-6.995873970613984E-31,-4.7509348277285605E-32,3.3975291616782118E-31
94.99999999999999,6.967087109554832E-31,6.272881840477328E-31,-6.864731576429505E-31,-6.973120733868048E-31,-3.850136743184955E-32,3.4394774206928986E-31
96,7.4629642121909535E-31,6.138380744992008E-31,-7.374273266639641E-31,-6.879860493848218E-31,-2.945127756777403E-32,3.4758364750895163E-31
97,7.927570757341747E-31,5.9292965936556745E-31,-7.855179208589733E-31,-6.712364477346093E-31,-2.040003622528423E-32,3.5068132312316365E-31
97.99999999999999,8.33689746464514E-31,5.648276271151408E-31,-8.283270750640785E-31,-6.47283355965711E-31,-1.1381791542585061E-32,3.5326421033310315E-31
98.99999999999999,8.664928180976845E-31,5.306100200933789E-31,-8.632155081070921E-31,-6.171658156999636E-31,-2.4278303754316375E-33,3.5535693986542418E-31
100,8.886589477750707E-31,4.923343527218562E-31,-8.876173101046059E-31,-5.829184031786366E-31,6.435512820884096E-33,3.569868826502979E-31
100.99999999999999,8.981657141236512E-31,4.530773185298917E-31,-8.994352723734682E-31,-5.476222050607695E-31,1.5192296471899495E-32,3.581869538095101E-31
101.99999999999999,8.938971857291686E-31,4.167907937620983E-31,-8.974727254479848E-31,-5.152696159848797E-31,2.3821432114428116E-32,3.589759538044455E-31
103,8.759895403921244E-31,3.8797711970710755E-31,-8.817945145118052E-31,-4.904467321388564E-31,3.2317192504844327E-32,3.5939143909833425E-31
