% Model:              2D-Au-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               Feb 13 2025, 17:41
% Dimension:          1
% Nodes:              61
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),F_x (N),F_y (N),F_z (N)
300,1.6990774550274925E-25,-8.680890146211845E-28,-2.354682805650534E-25
309.99999999999994,1.73619374208052E-25,7.875513082458978E-28,-2.4741963758065087E-25
319.99999999999994,1.73797327017642E-25,5.837901505834054E-28,-2.5848660001899293E-25
330,1.7162238224013542E-25,-1.0312402491147941E-27,-2.6656219739205736E-25
340,1.686713728212489E-25,-3.69727773803383E-27,-2.762743709908371E-25
350,1.6570492724649092E-25,-6.77130821591231E-27,-2.884214197314215E-25
360,1.6196154580179198E-25,-9.822029981342708E-27,-3.0112763897152583E-25
369.99999999999994,1.583049556822687E-25,-1.251063839958028E-26,-3.1144211760757964E-25
379.99999999999994,1.58025875758454E-25,-1.5055116075252033E-26,-3.2146565625972044E-25
390,1.6363960679518116E-25,-2.0124321944579611E-26,-3.299697300000346E-25
400,1.729777244128805E-25,-1.1528455223034486E-26,-3.0568385967071064E-25
410,1.6639586509070444E-25,-1.9011068528150264E-26,-3.4913794523938466E-25
419.99999999999994,1.323344228118565E-25,-4.4421076244363364E-26,-3.9227067161148895E-25
429.99999999999994,1.4544120858013273E-25,-3.5980381148171807E-26,-3.5055930633343467E-25
439.99999999999994,2.4608553129866233E-25,-2.709080424142284E-26,-3.8221409894820627E-25
450,2.5311438262585577E-25,-5.254178075919877E-27,-3.730652104305172E-25
460,2.7133365464308474E-25,1.6761438863696332E-27,-3.9481595063688623E-25
470,2.53491257580927E-25,-1.2268584067176961E-27,-3.959615754675805E-25
480,2.777225683602954E-25,1.8135640365318548E-26,-3.0589869151876156E-25
490,2.2838694593393994E-25,4.671498925449184E-26,-1.605871357093144E-25
500,2.2391688825749655E-25,1.6583589296547421E-26,-2.519103064032722E-25
509.99999999999994,2.8059605612455687E-25,1.0535729389763693E-26,-3.338341262280707E-25
519.9999999999999,2.4858852684940496E-25,-6.328092369745555E-26,-5.868943871140083E-25
530,9.343338759809473E-26,-1.5449159604113E-25,-7.609679881384556E-25
540,1.0449314144546238E-25,-1.4882917364975724E-25,-6.245974956100985E-25
550,1.1080811490813175E-25,-1.214450495532026E-25,-4.770910437013794E-25
560,1.0102957878256343E-25,-8.826817985867058E-26,-3.1867646186926734E-25
570,9.016185658419219E-26,-5.204414586028861E-26,-1.9099848945119018E-25
580,1.0339785255403246E-25,-1.3836402646907282E-26,-1.4004006292567275E-25
590,1.6499524699061867E-25,2.2836468197366672E-26,-1.9605768138296295E-25
600,2.854367315207336E-25,4.352737828341548E-26,-3.678551090336412E-25
610,4.91749460642254E-25,2.1538660010906697E-26,-6.524423663812749E-25
619.9999999999999,3.598467757929147E-25,4.7287791296846707E-26,-2.0058683283249768E-25
629.9999999999999,4.267198555513756E-25,4.216425786463582E-26,-5.61598613601719E-25
639.9999999999999,5.468362396443765E-25,1.823117488262149E-26,-8.416722658808408E-25
650,6.5876626573202195E-25,-2.4109819588764064E-27,-1.0475295087699754E-24
660,7.671835779612341E-25,-1.9154369044920528E-26,-1.2013767898747789E-24
670,8.730405992826437E-25,-3.3258510986270164E-26,-1.3064697265058064E-24
680,9.77563919472316E-25,-4.6189984923567253E-26,-1.3618459821487608E-24
690,1.0781498680520774E-24,-5.856232933709553E-26,-1.356704061416899E-24
700,1.1710095369454994E-24,-7.057844177135179E-26,-1.275508019524731E-24
710,1.2498531820001141E-24,-8.194329426656085E-26,-1.086317974831512E-24
720,1.303941581707896E-24,-9.163594479055656E-26,-7.636192218635676E-25
729.9999999999999,1.3212917378331836E-24,-9.815903886779444E-26,-2.6877158161687804E-25
739.9999999999999,1.2872502674474956E-24,-9.944849968980642E-26,4.091475461379429E-25
749.9999999999999,1.1914782863705965E-24,-9.388920168522004E-26,1.2419090687132824E-24
759.9999999999999,1.0392397120513471E-24,-8.204673464231746E-26,2.1001963995768208E-24
770,8.566549014838868E-25,-6.737006614513134E-26,2.7730839150320163E-24
780,6.928992663070446E-25,-5.616949411464623E-26,3.021283193089447E-24
790,5.901622452630321E-25,-5.214214138737943E-26,2.7536814607510486E-24
800,5.618264328143139E-25,-4.972125174386085E-26,2.08651764255569E-24
810,5.817034823239939E-25,-2.611627952694588E-26,1.3369972291649814E-24
820,5.922800097992966E-25,7.072058985161695E-26,8.418164544609736E-25
830,5.103716991005677E-25,2.3372309596280073E-25,6.906842688779214E-25
839.9999999999999,4.388475329973352E-25,1.8049746363545508E-25,1.6004348607612456E-25
849.9999999999999,4.484310495569217E-25,4.653186013851389E-26,-4.150888543328916E-25
859.9999999999999,4.558863214514888E-25,-3.1183090115394083E-26,-7.243341123810207E-25
869.9999999999999,4.469374627813808E-25,-6.990012070843156E-26,-8.504238745844606E-25
879.9999999999999,4.259632016611548E-25,-8.935459926502933E-26,-8.744975278133492E-25
890,3.9898493599263904E-25,-9.813158875901745E-26,-8.412113308353521E-25
900,3.6897161190303434E-25,-1.0103944037349718E-25,-7.766482824586297E-25
