% Model:              2D-Au-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               Feb 13 2025, 17:41
% Dimension:          1
% Nodes:              61
% Expressions:        4
% Description:        Table graph
% lambda0 (nm),C_ED (m^2),C_MD (m^2),C_EQ (m^2),C_MQ (m^2)
300,5.2147583953789726E-15,4.699689201814379E-14,2.4096586857927835E-14,1.082932478108301E-14
309.99999999999994,6.318122499047915E-15,4.8276544157612E-14,2.3805018988816466E-14,9.137058101015203E-15
319.99999999999994,7.585952765064375E-15,4.869799257982636E-14,2.3597873049356146E-14,7.650172759090375E-15
330,8.939890767211249E-15,4.806371962255882E-14,2.2717460911533042E-14,6.510876813863804E-15
340,1.0685380846364538E-14,4.673378065868465E-14,2.178518633374114E-14,5.5257360616677676E-15
350,1.2994065348725064E-14,4.552327168601407E-14,2.0984064404894203E-14,4.694013612409345E-15
360,1.5638930100801836E-14,4.523028043723846E-14,2.0138235865311295E-14,4.082107666033329E-15
369.99999999999994,1.760881133081096E-14,4.520057924330043E-14,1.8160791806981332E-14,3.793124620612598E-15
379.99999999999994,1.8872304804336256E-14,4.232880265891202E-14,1.5874366183740516E-14,3.652033649449598E-15
390,2.123469434628395E-14,4.472696203149641E-14,1.511704389853265E-14,3.1134547582415707E-15
400,3.035054266281805E-14,4.4977124349024605E-14,8.86533669271405E-15,1.8706615708672765E-15
410,2.947312550193325E-14,1.8459870010525754E-14,1.0088126832881033E-14,2.995643066784412E-15
419.99999999999994,1.991487022933327E-14,2.5360413814780827E-14,2.0708220010292602E-14,4.261843163759266E-15
429.99999999999994,9.480106566348337E-15,2.635505249878398E-14,1.373910249593894E-14,8.478601823262956E-15
439.99999999999994,4.071279952220154E-14,3.8729520633954657E-14,1.1579537377917272E-14,7.984516730508644E-15
450,7.524686659984349E-14,4.662627376743642E-14,9.35218621987961E-15,2.60572953957864E-16
460,7.945439150227104E-14,5.44694013829734E-14,6.381882708838723E-15,7.013033463773924E-17
470,7.281283431571039E-14,7.269249403959944E-14,4.693746600435094E-15,1.9437466087416506E-16
480,7.603769955842387E-14,9.993066792862069E-14,3.2121173047172304E-15,3.194157398900766E-16
490,1.0054902629247058E-13,4.695018249149504E-14,1.3451885137636648E-15,6.306316888164016E-16
500,9.471619306511515E-14,2.797926653792235E-15,2.0511715699272693E-16,8.28063284677837E-16
509.99999999999994,8.692949126976606E-14,8.149771458946102E-16,1.3307093533984936E-15,1.0657874575858495E-15
519.9999999999999,7.843088955782933E-14,3.7343282921409E-15,2.049255162907774E-14,1.1394712847749726E-15
530,7.057338630517184E-14,6.967619901830269E-15,2.9206265943599525E-14,1.1312969377830563E-15
540,6.853730942357345E-14,8.014575538847463E-15,1.7447707367802516E-14,1.5834669440682277E-15
550,6.180750744504429E-14,7.383758964301173E-15,1.1589579559318318E-14,2.4556240468942147E-15
560,4.6047696219460847E-14,5.896700256226294E-15,7.904041961145306E-15,3.784159441749669E-15
570,2.4202943355893124E-14,4.5604993082495E-15,5.734187943405993E-15,5.669164896983381E-15
580,5.907399378309583E-15,4.20663696095213E-15,4.698520188946431E-15,8.354515510371058E-15
590,9.163768604985978E-16,5.5415440674502025E-15,4.346186395644723E-15,1.2706708018835969E-14
600,1.1844168049011906E-14,8.963983200602121E-15,4.3035409863435496E-15,2.2531961498028198E-14
610,2.4591832808659507E-14,1.5942566243120773E-14,4.667004818990614E-15,6.369186221640518E-14
619.9999999999999,1.1715102776352336E-13,1.3783674546141989E-14,3.03486858441928E-15,4.900058721536887E-14
629.9999999999999,1.8101158018957249E-13,1.4772406119793216E-14,2.4991014596403966E-15,5.868908805116309E-15
639.9999999999999,2.320744059028798E-13,1.722499731646195E-14,2.395203637320922E-15,1.3929887116911928E-15
650,2.864852618118269E-13,1.9089232530175356E-14,2.262503370337676E-15,5.887264341021799E-16
660,3.446781541398323E-13,2.060581447244979E-14,2.0991800410242317E-15,3.963017027206031E-16
670,4.0589635656792365E-13,2.2050347739458547E-14,1.91203238851014E-15,3.4239745210106946E-16
680,4.718363719322805E-13,2.377177150431846E-14,1.7171354241465448E-15,3.245192225606387E-16
690,5.419703535458476E-13,2.6051892368677615E-14,1.521504114737759E-15,3.1699802313657366E-16
700,6.154017622695766E-13,2.9268501644749747E-14,1.3302823310452523E-15,3.126584701608722E-16
710,6.898758075540569E-13,3.4216459630733533E-14,1.1417119067635437E-15,3.074351641427453E-16
720,7.595127389379041E-13,4.1559939790382416E-14,9.58343008749671E-16,3.005853109921689E-16
729.9999999999999,8.171863547142758E-13,5.285151929947665E-14,7.791785453924723E-16,2.8974385197156515E-16
739.9999999999999,8.495699316501855E-13,6.950683874930216E-14,6.075526682902878E-16,2.727687971304153E-16
749.9999999999999,8.413753008609625E-13,9.331071322695912E-14,4.503860936849678E-16,2.4702200810834587E-16
759.9999999999999,7.802070969742906E-13,1.244259586709032E-13,3.218612136029379E-16,2.1192105822892274E-16
770,6.642717311086597E-13,1.6109966567783056E-13,2.351745592568195E-16,1.687338873478484E-16
780,5.14898157355425E-13,1.980544870998413E-13,1.9744373644644784E-16,1.2351340514751417E-16
790,3.6671347610842035E-13,2.318480366405141E-13,1.9934980430730495E-16,8.312740015666644E-17
800,2.519812765402563E-13,2.637972780482631E-13,2.1971551870835304E-16,5.2896419422111825E-17
810,1.8404399220747348E-13,3.090167127612183E-13,2.3723911719189987E-16,3.449991639494617E-17
820,1.542173208617605E-13,3.984874267624329E-13,2.419587479062928E-16,2.644955322605409E-17
830,1.4788427925902617E-13,4.771190500366271E-13,2.3321880015039233E-16,2.5653498788262065E-17
839.9999999999999,1.5202475300491183E-13,3.4919002312326034E-13,2.1516456652430956E-16,2.1972664828528886E-17
849.9999999999999,1.5817296277949578E-13,2.1397378375434975E-13,1.9280966207071563E-16,1.6878400773189565E-17
859.9999999999999,1.6276255498416508E-13,1.4285834767672988E-13,1.6948914779335558E-16,1.3507942353208641E-17
869.9999999999999,1.6430441320256486E-13,1.044445672511874E-13,1.4753118424449848E-16,1.1271678145916102E-17
879.9999999999999,1.6311997506338827E-13,7.988579692238646E-14,1.2750015695128622E-16,9.572717929793845E-18
890,1.5942828103713875E-13,6.337763409825497E-14,1.1019458832694354E-16,8.202614166221532E-18
900,1.5396180939394964E-13,5.1246385278545E-14,9.538806406824919E-17,7.03909836456166E-18
