% Model:              2D-Au-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               Feb 25 2025, 15:16
% Dimension:          1
% Nodes:              91
% Expressions:        5
% Description:        Table graph
% R0 (nm),C_ED (m^2),C_MD (m^2),C_EQ (m^2),C_MQ (m^2),C_full (m^2)
19.999999999999996,3.1604220097446156E-18,2.0205912127066383E-21,2.1520798152918368E-23,1.900326580848319E-27,3.1624641236558017E-18
21,4.34223162227178E-18,3.292641394875771E-21,3.4804493309328763E-23,3.800152664442882E-27,4.345559071960118E-18
22,5.885277359964691E-18,5.247301743337914E-21,5.503598494539115E-23,7.364153141622951E-27,5.890579705057127E-18
22.999999999999996,7.878262432834533E-18,8.194745444197045E-21,8.526580902513972E-23,1.386827260091473E-26,7.88654245795603E-18
24,1.0427084224557679E-17,1.2563565678744025E-20,1.2965207925199356E-22,2.544325741965348E-26,1.0439777467758931E-17
25,1.3657425726561626E-17,1.8938484510204688E-20,1.9379842887707122E-22,4.5573709536251754E-26,1.3676558055074417E-17
25.999999999999996,1.771763373727621E-17,2.810803073325524E-20,2.8514125744741493E-22,7.985076135432908E-26,1.7746026989117675E-17
26.999999999999996,2.2781820770240598E-17,4.112442421115078E-20,4.1346482361436644E-22,1.3708919874567903E-25,2.282335879636456E-17
28,2.905371344180118E-17,5.937828550702212E-20,5.914937197070243E-22,2.309638342272549E-25,2.911368345199175E-17
28.999999999999996,3.677026414038392E-17,8.469135194934893E-20,8.3562417624476375E-22,3.8237499937665555E-25,3.6855791498884515E-17
30,4.62066674354139E-17,1.1943099913068458E-19,1.1668427060974832E-21,6.2282824902903765E-25,4.632726590007893E-17
30.999999999999996,5.768043699951181E-17,1.666510266604597E-19,1.6116233350878707E-21,9.992130378041926E-25,5.784870064872039E-17
31.999999999999996,7.155746492311671E-17,2.3026401968458704E-19,2.2033745896158832E-21,1.5804841156041058E-24,7.178993389787502E-17
33,8.825837898689656E-17,3.1525187418812666E-19,2.9836925492779934E-21,2.4669305630581192E-24,8.857661702056453E-17
33.99999999999999,1.0826455552274053E-16,4.2792201149374E-19,4.0041824369052975E-21,3.802910071891257E-24,1.0869648551958124E-16
35,1.3212602519558284E-16,5.762182215477431E-19,5.328422027457005E-21,5.794210556383163E-24,1.327075776333686E-16
36,1.6046967949103023E-16,7.700975254664472E-19,7.034204212322741E-21,8.731550161266833E-24,1.6124681995225916E-16
36.99999999999999,1.9400837775368324E-16,1.0219856812320363E-18,9.216311083080057E-21,1.3022134353063607E-23,1.950395927681327E-16
38,2.335510361485879E-16,1.347327258603691E-18,1.19894560650348E-20,1.9231819482653208E-23,2.349103720950761E-16
