% Model:              2D-Ag-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 15 2025, 16:21
% Dimension:          1
% Nodes:              51
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(px) (C*m),imag(px) (C*m),real(my)/c_const (C*m),imag(my)/c_const (C*m),real(pz) (C*m),imag(pz) (C*m)
300,1.0971420793061405E-34,9.633648593663171E-35,-2.2893605804748926E-36,-2.628871557876977E-37,8.134918652544423E-35,7.424817574681676E-36
302,1.110648018193043E-34,9.370759551067047E-35,-2.2365339778948305E-36,-2.97415458127879E-37,8.049624929517489E-35,8.823700371936945E-36
304,1.1295514191882569E-34,9.051942445578783E-35,-2.173771747518726E-36,-3.4189004671612908E-37,7.922485310670778E-35,1.0621845036519518E-35
306,1.1477173547708277E-34,8.713646931882965E-35,-2.1136169648885823E-36,-3.893108721310986E-37,7.799215614737653E-35,1.2573913446013026E-35
307.99999999999994,1.1648517116011067E-34,8.355242985036814E-35,-2.0565752301616E-36,-4.397100116670133E-37,7.681981915655986E-35,1.4685758741777105E-35
309.99999999999994,1.180594952677857E-34,7.976448299732451E-35,-2.0032585713724322E-36,-4.930464669222474E-37,7.573435289293496E-35,1.6960519874920723E-35
312,1.203339843092606E-34,7.637717038577727E-35,-1.9381220219639202E-36,-5.3733217993220435E-37,7.414057343733195E-35,1.8923810386600664E-35
314,1.2304909559752928E-34,7.302616955542149E-35,-1.8661820624817147E-36,-5.79807459070466E-37,7.2217430766589E-35,2.0847786670257413E-35
316,1.2573230998729817E-34,6.931129676094878E-35,-1.7961802482068536E-36,-6.281535524589428E-37,7.029967410558012E-35,2.303994736452545E-35
318,1.2833222465993096E-34,6.514255648728731E-35,-1.7290070780568985E-36,-6.838031306642707E-37,6.842449573516714E-35,2.5563800146180514E-35
319.99999999999994,1.3077742222950316E-34,6.038262595234771E-35,-1.6658744989657337E-36,-7.4894450910281665E-37,6.664353266501413E-35,2.8514999920532455E-35
321.99999999999994,1.3965096305507478E-34,6.013620528620181E-35,-1.49190056611023E-36,-7.297420940295683E-37,6.037804414735666E-35,2.797687044023387E-35
324,1.516002550457729E-34,6.350500323157092E-35,-1.2682097632749624E-36,-6.4656672495217826E-37,5.194650609780139E-35,2.4808949674245193E-35
326,1.6392667251823695E-34,6.990915388140833E-35,-1.0417543597926992E-36,-5.120633224541782E-37,4.317694775766504E-35,1.9497555106555027E-35
328,1.7565759201731024E-34,7.910909034008113E-35,-8.273822452606342E-37,-3.3105918766603818E-37,3.464920314559683E-35,1.2191114983080398E-35
330,1.8608310136702974E-34,9.077729351774869E-35,-6.324853060818776E-37,-1.0844806702781241E-37,2.66388791765208E-35,3.086567931798764E-36
331.99999999999994,1.9168321809365723E-34,1.0236736202096782E-34,-5.130884811795375E-37,1.1500568847775652E-37,2.150315772233012E-35,-6.104933578235603E-36
333.99999999999994,1.8901728387200677E-34,1.0761989684711563E-34,-5.5555463840733864E-37,2.344776477506528E-37,2.317943610513913E-35,-1.1385878658349378E-35
336,1.8684681381526463E-34,1.1213989267104028E-34,-6.01509797212086E-37,3.4667113510685584E-37,2.493758741559932E-35,-1.6691942618831042E-35
338,1.8573497136790192E-34,1.1668903319186246E-34,-6.521432670786375E-37,4.5377069319957205E-37,2.697734680345049E-35,-2.2274273338286067E-35
340,1.8518939572598254E-34,1.2247417411491946E-34,-7.106793843815649E-37,5.559546732038658E-37,2.981364922786753E-35,-2.8068485960048623E-35
342,1.8360037871102627E-34,1.2988488322634211E-34,-7.803717933052084E-37,6.47481093236987E-37,3.3655066262012375E-35,-3.346736925475738E-35
343.99999999999994,1.8052176515305808E-34,1.3671102678693657E-34,-8.435757093152288E-37,7.1518345407064466E-37,3.7485283889986305E-35,-3.7779897284221666E-35
345.99999999999994,1.7629660265999195E-34,1.4225547623738973E-34,-9.001834463724042E-37,7.684610499752793E-37,4.163796335953149E-35,-4.13280802275004E-35
348,1.718241627635077E-34,1.465050056557066E-34,-9.5216009878991E-37,8.164011985291494E-37,4.597115644238304E-35,-4.38371258380968E-35
350,1.677546340534974E-34,1.500917944161721E-34,-1.0039040107367193E-36,8.628519268419267E-37,4.982277384164696E-35,-4.553466099683893E-35
352,1.6384811305947424E-34,1.536900262108885E-34,-1.0601607955359859E-36,9.047444463859237E-37,5.310791257989858E-35,-4.6963099054154815E-35
354,1.5953351733579408E-34,1.5722322774324739E-34,-1.1187386587782208E-36,9.364078097214847E-37,5.603547189709455E-35,-4.838062156634771E-35
355.99999999999994,1.5588050884269992E-34,1.5947701834293733E-34,-1.1596153571092486E-36,9.512282421817546E-37,5.819379936983255E-35,-4.951296851891978E-35
357.99999999999994,1.5226933010323437E-34,1.6125165005716355E-34,-1.1953829233687988E-36,9.6130984962476E-37,6.023879597789691E-35,-5.064342408057433E-35
360,1.4870548066621276E-34,1.6268960521804874E-34,-1.2280061528081609E-36,9.69025436841758E-37,6.22802200638716E-35,-5.179866806748012E-35
362,1.4524191638900115E-34,1.6386128697416568E-34,-1.2580716150846758E-36,9.750993989144732E-37,6.435333956464057E-35,-5.296013960523966E-35
364,1.4189269383083313E-34,1.6482533102213456E-34,-1.28607054651732E-36,9.798380178320894E-37,6.648482006490978E-35,-5.409827960939722E-35
366,1.386554450846343E-34,1.6562332263718704E-34,-1.3123375466134185E-36,9.833649900912318E-37,6.868652405004678E-35,-5.517428279601478E-35
367.99999999999994,1.355398630551139E-34,1.66274777792906E-34,-1.3368810081469604E-36,9.856361717041064E-37,7.093857855193889E-35,-5.614112787456889E-35
369.99999999999994,1.3283929519642979E-34,1.6665472144255262E-34,-1.3562513467914199E-36,9.849838755017731E-37,7.299749037972365E-35,-5.686134625009259E-35
372,1.3021263476736323E-34,1.669570270085392E-34,-1.37452873990937E-36,9.83559077990521E-37,7.505644154952341E-35,-5.746565334267789E-35
374,1.2765501130749616E-34,1.6718911264272001E-34,-1.3917670728316885E-36,9.813948771003824E-37,7.708944428345743E-35,-5.795667898451258E-35
376,1.2516238583171236E-34,1.673569476016256E-34,-1.4080091226560798E-36,9.785283257363907E-37,7.907619427806385E-35,-5.8345884283301E-35
378,1.2273140090036776E-34,1.6746551419765985E-34,-1.4232909152573647E-36,9.74999212407284E-37,8.100396058831191E-35,-5.864898634579795E-35
379.99999999999994,1.2035923863977681E-34,1.6751910004847197E-34,-1.4376443628953362E-36,9.708488721270567E-37,8.286694512153018E-35,-5.888211448022023E-35
381.99999999999994,1.1812153872824147E-34,1.674697462256661E-34,-1.4501950768459337E-36,9.655151256508558E-37,8.460688124633439E-35,-5.902735867382738E-35
384,1.161668924553004E-34,1.6723007171816521E-34,-1.459253265216162E-36,9.57999290371702E-37,8.611761558004137E-35,-5.904209103213188E-35
386,1.1425623724974846E-34,1.669649196492447E-34,-1.4676107370947762E-36,9.502415789439834E-37,8.75792725705351E-35,-5.903540909088571E-35
388,1.1238807189547901E-34,1.6667579777951452E-34,-1.4752930551768972E-36,9.422641084745695E-37,8.899550066701561E-35,-5.901141126703352E-35
