% Model:              2D-Ag-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 15 2025, 00:06
% Dimension:          1
% Nodes:              51
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(px) (C*m),imag(px) (C*m),real(my)/c_const (C*m),imag(my)/c_const (C*m),real(pz) (C*m),imag(pz) (C*m)
300,1.1178382804787407E-34,5.461122964034616E-35,-2.2231133402294522E-36,-1.1099099925865688E-36,7.826400545361507E-35,3.8270976031824736E-35
302,1.1193003493580204E-34,5.428090253170877E-35,-2.1969143869820617E-36,-1.0884562993977119E-36,7.836409602124284E-35,3.8038753538654985E-35
304,1.1207339934717756E-34,5.395457545200122E-35,-2.1711500087322717E-36,-1.067548176611984E-36,7.846231050769808E-35,3.7809185106840504E-35
306,1.122139753093127E-34,5.363216804807586E-35,-2.1458115416837904E-36,-1.0471684634019435E-36,7.855869448075235E-35,3.75822277558497E-35
307.99999999999994,1.1235181700945947E-34,5.331360094908719E-35,-2.1208904973683055E-36,-1.0273006492332189E-36,7.86532922332725E-35,3.735783934897039E-35
309.99999999999994,1.124869787942314E-34,5.299879593837866E-35,-2.0963785599684262E-36,-1.0079288444653724E-36,7.874614682145235E-35,3.7135978580931847E-35
312,1.1261951514918037E-34,5.268767611193524E-35,-2.0722675836680617E-36,-9.890377524738157E-37,7.883730010153359E-35,3.691660496487039E-35
314,1.1274948066111135E-34,5.238016602193514E-35,-2.0485495900255646E-36,-9.706126432116969E-37,7.892679276534623E-35,3.669967881884395E-35
316,1.128769299652132E-34,5.207619180398928E-35,-2.0252167653648733E-36,-9.526393281362674E-37,7.9014664374574E-35,3.6485161251923147E-35
318,1.1300191767986807E-34,5.17756812873282E-35,-2.0022614581817758E-36,-9.351041364244602E-37,7.910095339378588E-35,3.627301414987934E-35
319.99999999999994,1.1312449833131039E-34,5.1478564087275E-35,-1.9796761765612032E-36,-9.179938924104466E-37,7.918569722244948E-35,3.6063200160631434E-35
321.99999999999994,1.1324472627096696E-34,5.118477167998439E-35,-1.9574535856031644E-36,-9.0129589417725E-37,7.926893222596615E-35,3.585568267951616E-35
324,1.1336265558770804E-34,5.089423745958877E-35,-1.935586504854746E-36,-8.849978932402802E-37,7.935069376565647E-35,3.5650425834356495E-35
326,1.1347834001739802E-34,5.060689677828855E-35,-1.9140679057461605E-36,-8.69088075262714E-37,7.943101622786911E-35,3.544739447050627E-35
328,1.1359183285169644E-34,5.032268697010669E-35,-1.8928909090290527E-36,-8.535550417459166E-37,7.950993305216878E-35,3.5246554135789587E-35
330,1.1370318684816798E-34,5.004154735938758E-35,-1.872048782216312E-36,-8.383877926404282E-37,7.958747675890227E-35,3.5047871065578557E-35
331.99999999999994,1.1381245414322494E-34,4.976341925516894E-35,-1.8515349370223453E-36,-8.235757098262334E-37,7.96636789755984E-35,3.4851312167746094E-35
333.99999999999994,1.1391968616930958E-34,4.94882459327435E-35,-1.8313429268037372E-36,-8.091085414135545E-37,7.973857046298031E-35,3.4656845007888903E-35
336,1.1402493357751836E-34,4.921597260384003E-35,-1.8114664440004827E-36,-7.949763868175731E-37,7.981218114001164E-35,3.4464437794558973E-35
338,1.1412824616658758E-34,4.894654637686712E-35,-1.7918993175782742E-36,-7.811696825634534E-37,7.988454010833284E-35,3.4274059364721254E-35
340,1.1422967281875954E-34,4.867991620862662E-35,-1.7726355104731296E-36,-7.676791887798717E-37,7.995567567597204E-35,3.408567916933874E-35
342,1.1432926144318599E-34,4.841603284900653E-35,-1.7536691170393724E-36,-7.544959763420272E-37,8.002561538041393E-35,3.389926725918854E-35
343.99999999999994,1.1442705892691807E-34,4.81548487799536E-35,-1.7349943605029374E-36,-7.416114146270417E-37,8.009438601105715E-35,3.371479427092096E-35
345.99999999999994,1.1452311109373382E-34,4.789631815010675E-35,-1.7166055904217277E-36,-7.290171598468148E-37,8.016201363098992E-35,3.3532231413305164E-35
348,1.1461746267055184E-34,4.764039670622163E-35,-1.6984972801553547E-36,-7.16705143925624E-37,8.022852359818391E-35,3.335155045377333E-35
350,1.1471015726138758E-34,4.738704172257745E-35,-1.6806640243464335E-36,-7.046675638915319E-37,8.029394058616925E-35,3.317272370522112E-35
352,1.148012373283836E-34,4.7136211929285403E-35,-1.6631005364158655E-36,-6.92896871752892E-37,8.035828860397431E-35,3.299572401302792E-35
354,1.1489074417959265E-34,4.68878674404279E-35,-1.6458016460746496E-36,-6.813857648326957E-37,8.042159101574074E-35,3.2820524742471874E-35
355.99999999999994,1.149787179630564E-34,4.664196968277121E-35,-1.6287622968547155E-36,-6.701271765353895E-37,8.048387055947556E-35,3.264709976625387E-35
357.99999999999994,1.150651976665997E-34,4.639848132569766E-35,-1.6119775436611882E-36,-6.591142675223232E-37,8.054514936563943E-35,3.2475423452509404E-35
360,1.1515022112298074E-34,4.615736621294285E-35,-1.5954425503486322E-36,-6.483404172737133E-37,8.060544897493981E-35,3.2305470652952315E-35
362,1.1523382501957718E-34,4.5918589296489624E-35,-1.5791525873232692E-36,-6.377992160166349E-37,8.06647903557036E-35,3.213721669138224E-35
364,1.1531604491223965E-34,4.5682116573018733E-35,-1.5631030291737846E-36,-6.274844569989977E-37,8.072319392077154E-35,3.197063735246257E-35
366,1.1539691524295185E-34,4.5447915023252294E-35,-1.5472893523324355E-36,-6.17390129091847E-37,8.078067954389802E-35,3.1805708870783773E-35
367.99999999999994,1.1547646936031718E-34,4.521595255418699E-35,-1.5317071327685043E-36,-6.0751040970295075E-37,8.083726657570149E-35,3.1642407920243573E-35
369.99999999999994,1.1555473954287795E-34,4.498619794452951E-35,-1.5163520437156714E-36,-5.9783965798580245E-37,8.089297385905457E-35,3.1480711603638245E-35
372,1.1563175702447806E-34,4.475862079326013E-35,-1.5012198534351783E-36,-5.883724083287046E-37,8.094781974422834E-35,3.1320597442637254E-35
374,1.1570755202140816E-34,4.4533191471401893E-35,-1.4863064230155429E-36,-5.791033641113191E-37,8.100182210328574E-35,3.116204336789952E-35
376,1.1578215376089641E-34,4.4309881076945814E-35,-1.4716077042106832E-36,-5.700273917139046E-37,8.105499834437939E-35,3.1005027709598834E-35
378,1.1585559051053997E-34,4.408866139282806E-35,-1.4571197373168689E-36,-5.611395147687334E-37,8.110736542544643E-35,3.0849529188120015E-35
379.99999999999994,1.15927889608465E-34,4.3869504847940425E-35,-1.4428386490897328E-36,-5.524349086408178E-37,8.115893986741116E-35,3.069552690501357E-35
381.99999999999994,1.1599907749405762E-34,4.36523844810651E-35,-1.4287606507016707E-36,-5.439088951283144E-37,8.120973776727433E-35,3.0543000334278036E-35
384,1.1606917973843082E-34,4.3437273907414086E-35,-1.414882035740392E-36,-5.355569373716781E-37,8.125977481052638E-35,3.039192931381388E-35
386,1.1613822107523912E-34,4.322414728792602E-35,-1.401199178248773E-36,-5.273746349623812E-37,8.130906628333613E-35,3.024229403714027E-35
388,1.1620622543106036E-34,4.3012979300948906E-35,-1.3877085308063266E-36,-5.193577192421714E-37,8.135762708433528E-35,3.009407504537223E-35
390,1.1627321595539794E-34,4.28037451162464E-35,-1.374406622652246E-36,-5.115020487844047E-37,8.140547173597299E-35,2.994725321935686E-35
391.99999999999994,1.1633921505016944E-34,4.2596420371151013E-35,-1.3612900578502776E-36,-5.038036050489972E-37,8.145261439579175E-35,2.9801809772165026E-35
393.99999999999994,1.1640424439857433E-34,4.2390981148740874E-35,-1.3483555134947644E-36,-4.9625848820439845E-37,8.149906886689738E-35,2.9657726241621714E-35
395.99999999999994,1.1646832499308927E-34,4.2187403957804806E-35,-1.3355997379581504E-36,-4.888629131081949E-37,8.154484860853339E-35,2.951498448317623E-35
398,1.165314771629923E-34,4.198566571463691E-35,-1.3230195491792996E-36,-4.816132054403771E-37,8.158996674609572E-35,2.937356666293153E-35
400,1.1659372060060825E-34,4.178574372624511E-35,-1.3106118329922328E-36,-4.74505797982563E-37,8.163443608095478E-35,2.9233455250876314E-35
