% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jan 12 2026, 16:24
% Dimension:          1
% Nodes:              131
% Expressions:        2
% Description:        Table graph
% R0 (nm),F_x (N),F_y (N)
100,1.4403964421285098E-25,-7.046437455543179E-26
100.5,1.5371160311335193E-25,-7.267507529634309E-26
100.99999999999999,1.6398547332441459E-25,-7.481083032940895E-26
101.49999999999999,1.7489373646932463E-25,-7.685078133951472E-26
101.99999999999999,1.8645765529600238E-25,-7.877048724553256E-26
102.5,1.987029139724718E-25,-8.053937447093342E-26
103,2.116546964014116E-25,-8.212725388005722E-26
103.5,2.2532334696686446E-25,-8.34908365557053E-26
103.99999999999999,2.397323097557255E-25,-8.460468322271377E-26
104.49999999999999,2.548842372851686E-25,-8.541095056567984E-26
104.99999999999999,2.7078546550837866E-25,-8.586454741097362E-26
105.5,2.8742862325457952E-25,-8.592011697926524E-26
106,3.0480238162543786E-25,-8.551198423160284E-26
106.5,3.2288198344473526E-25,-8.458321012988114E-26
106.99999999999999,3.416284303611137E-25,-8.306115331333707E-26
107.49999999999999,3.6099294351452168E-25,-8.088124834166963E-26
107.99999999999999,3.809076275319912E-25,-7.796678064958177E-26
108.5,4.0128606681476455E-25,-7.423473173658276E-26
109,4.220309311585407E-25,-6.961282837152283E-26
109.5,4.430118174973005E-25,-6.400691463553523E-26
109.99999999999999,4.640844302140347E-25,-5.73452480484175E-26
110.49999999999999,4.850880286791365E-25,-4.954331642850346E-26
110.99999999999999,5.058317321798666E-25,-4.051576997698486E-26
111.5,5.261108121959313E-25,-3.01874811328417E-26
112,5.456981177550846E-25,-1.8477647540095365E-26
112.5,5.643562011579945E-25,-5.335166014853543E-27
112.99999999999999,5.8183479598108105E-25,9.3028255443008E-27
113.49999999999999,5.978674904612491E-25,2.549258080627377E-26
113.99999999999999,6.122036828617406E-25,4.3278923622300545E-26
114.5,6.245751128213978E-25,6.26913991852033E-26
115,6.347327637890142E-25,8.375131881756434E-26
115.5,6.424455026801945E-25,1.064774991572246E-25
115.99999999999999,6.474851109837503E-25,1.308633821606121E-25
116.49999999999999,6.4965498219746225E-25,1.5688212879839422E-25
116.99999999999999,6.487669880263106E-25,1.8444827055952237E-25
117.5,6.446899721286102E-25,2.133682520367279E-25
118,6.373114766194246E-25,2.4323107396819517E-25
118.5,6.266397379399311E-25,2.7317138801254074E-25
118.99999999999999,6.128640811044081E-25,3.0145543372902707E-25
119.49999999999999,5.966159696677745E-25,3.24709745116255E-25
120,5.794057884660854E-25,3.3675108797571276E-25
120.49999999999999,5.643240795979462E-25,3.2768259355873966E-25
121,5.563588676110593E-25,2.857563116528326E-25
121.49999999999999,5.604382838959744E-25,2.0673639452363694E-25
121.99999999999999,5.76310162941072E-25,1.0725155461548158E-25
122.5,5.960380152381819E-25,2.0269243252408155E-26
122.99999999999999,6.103660711910446E-25,-3.1686846808261364E-26
123.5,6.156365621089881E-25,-4.8961505234761633E-26
123.99999999999999,6.131715647655519E-25,-4.327630914871416E-26
124.5,6.058215552356157E-25,-2.5824465224882084E-26
125,5.961020609087788E-25,-3.782576226473528E-27
125.49999999999999,5.85832839249861E-25,1.8978208294396258E-26
126,5.762396684131188E-25,4.053227616875284E-26
126.49999999999999,5.6824436265704655E-25,6.005448165991003E-26
127,5.625356655381806E-25,7.719739912058597E-26
127.49999999999999,5.597051673221864E-25,9.186741840230458E-26
127.99999999999999,5.603040559071148E-25,1.040739191698931E-25
128.5,5.648580633382777E-25,1.1384100550736265E-25
129,5.739193648421692E-25,1.2121132582296E-25
129.5,5.880351197543898E-25,1.261921444006338E-25
129.99999999999997,6.078307751101406E-25,1.2879807291814393E-25
130.5,6.338852595795384E-25,1.289707812575625E-25
130.99999999999997,6.668616136174474E-25,1.266750007434426E-25
131.5,7.073892453059285E-25,1.2183007179969737E-25
132,7.560876762866942E-25,1.1434971454294851E-25
132.5,8.135381833688793E-25,1.0413504291699333E-25
133,8.802224640998153E-25,9.109862239570002E-26
133.49999999999997,9.564828448849842E-25,7.517847432094122E-26
134,1.0424058676027827E-24,5.633257643032686E-26
134.5,1.1378839442919387E-24,3.459404666882406E-26
135,1.2423252254288942E-24,1.0060330994334107E-26
135.5,1.354816681722133E-24,-1.7060834117822693E-26
135.99999999999997,1.4738570286941937E-24,-4.646043146967284E-26
