% Model:              3D-Au-Plate-two_Beam.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jan 16 2026, 19:20
% Dimension:          1
% Nodes:              71
% Expressions:        2
% Description:        Table graph
% R (nm),F_x (N),F_y (N)
120,-1.1159367233091553E-25,7.210976235088547E-25
120.49999999999999,-1.0530654415989162E-25,7.813602789270908E-25
121,-1.0630410148455488E-25,8.291112950921618E-25
121.49999999999999,-1.0983625416837201E-25,8.536580606388466E-25
121.99999999999999,-1.3832814978614175E-25,8.196874344704798E-25
122.5,-1.6037071443151702E-25,7.462098561238648E-25
122.99999999999999,-1.829819180967955E-25,6.554743331123414E-25
123.5,-1.9371040799463064E-25,5.615843127232327E-25
123.99999999999999,-2.007676119469718E-25,4.861864344895954E-25
124.5,-2.0088841863759585E-25,4.257879390371279E-25
125,-1.9801511855019182E-25,3.752359684173547E-25
125.49999999999999,-1.9523101602727887E-25,3.3334314349962776E-25
126,-1.9215586370921177E-25,2.9791101239993585E-25
126.49999999999999,-1.8809391176562574E-25,2.666412596480724E-25
127,-1.8283430514671937E-25,2.382642276941214E-25
127.49999999999999,-1.7613915334377583E-25,2.1191437411721236E-25
127.99999999999999,-1.69672414332371E-25,1.8543313609935815E-25
128.5,-1.6178692331473184E-25,1.599440396938597E-25
129,-1.5410983726764591E-25,1.3583484654383383E-25
129.5,-1.4756321909918803E-25,1.1154640087860857E-25
129.99999999999997,-1.3814384258294193E-25,8.804413775481766E-26
130.5,-1.2829029635443857E-25,6.351548629594973E-26
130.99999999999997,-1.1766360955646697E-25,4.0802616076417814E-26
131.5,-1.0772898885389314E-25,1.961533834661827E-26
132,-9.623346450374635E-26,-3.53580245875566E-27
132.5,-8.336848712887077E-26,-2.4651626444933208E-26
133,-7.067406860985961E-26,-4.6642777867780667E-26
133.49999999999997,-5.689845811122864E-26,-6.743287911707686E-26
134,-4.515288753496253E-26,-8.489541137233609E-26
134.5,-2.691211515869562E-26,-1.0115645361063852E-25
135,-1.104741387783692E-26,-1.140030506297296E-25
135.5,7.301882160996747E-27,-1.250926403740706E-25
135.99999999999997,2.404001856999318E-26,-1.3370413544200485E-25
136.5,4.030602897971103E-26,-1.368910301680531E-25
136.99999999999997,5.876066752638439E-26,-1.3870944605615417E-25
137.5,7.872001675868915E-26,-1.3680152918105846E-25
138,9.41295201625536E-26,-1.2601855449133137E-25
138.5,1.0925233122630082E-25,-1.126139536988356E-25
139,1.263676994532033E-25,-9.513854686695788E-26
139.49999999999997,1.354892222054752E-25,-7.670067548723664E-26
140,1.477870371195071E-25,-5.350186153511244E-26
140.5,1.4765149739947876E-25,-3.304876422150611E-26
141,1.5935997842371825E-25,-4.354709373014184E-27
141.5,1.664305249707206E-25,2.4753309632227534E-26
141.99999999999997,1.6956423074711036E-25,5.627578654867817E-26
142.5,1.680905116448527E-25,8.091177983489594E-26
142.99999999999997,1.767976086443792E-25,1.061921214299003E-25
143.5,1.7042169321088782E-25,1.2758019618424865E-25
144,1.6861175289249685E-25,1.6265683000731215E-25
144.5,1.5608095293179882E-25,1.8108737964180665E-25
145,1.5649461062416924E-25,2.0201751581834812E-25
145.49999999999997,1.5178878596606992E-25,2.249532782458484E-25
146,1.5227821430595151E-25,2.3189088739323995E-25
146.5,1.3521331583632255E-25,2.564386415867365E-25
147,1.3583103518745749E-25,2.7264584813886644E-25
147.5,1.3156455331972384E-25,2.8418710433403263E-25
147.99999999999997,1.2216817515023925E-25,2.987817524632595E-25
148.5,1.1657026372733763E-25,3.0754413644738764E-25
148.99999999999997,1.128231400985082E-25,3.1636611407349023E-25
149.5,1.0744110525995695E-25,3.243794807568034E-25
150,1.0344630592201838E-25,3.302024219524923E-25
150.5,9.444635901508442E-26,3.368993010971465E-25
151,9.42657304824252E-26,3.4443171341589226E-25
151.49999999999997,8.79623623473074E-26,3.4795996621958935E-25
152,8.2938167075846E-26,3.502252104927075E-25
152.5,7.706979489220412E-26,3.535688309441642E-25
153,7.462712249860049E-26,3.5554570325644953E-25
153.5,7.142854893718611E-26,3.5970729557404907E-25
153.99999999999997,6.678181093898889E-26,3.620638676212673E-25
154.5,6.450346081830478E-26,3.618423415249702E-25
154.99999999999997,6.129447230830764E-26,3.632757173313217E-25
