% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jan 12 2026, 16:24
% Dimension:          1
% Nodes:              131
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
100,-1.2055607089316017E-23,-1.523551099194276E-23,-1.5635377693850116E-23,1.2652838982266812E-23,6.850006366055274E-24,-1.3746960972758694E-24
100.5,-1.2845723153942614E-23,-1.564641463493791E-23,-1.6048521388432066E-23,1.3458633000410163E-23,7.174787469751093E-24,-1.4528727990904563E-24
100.99999999999999,-1.3688134648540196E-23,-1.6050903032235973E-23,-1.6454813462787027E-23,1.4316702102106614E-23,7.517685276141725E-24,-1.5367521336017476E-24
101.49999999999999,-1.4585807010899905E-23,-1.6445935322717556E-23,-1.6851194172570148E-23,1.5229951274768076E-23,7.88001009567855E-24,-1.6268884658181586E-24
101.99999999999999,-1.554173644131568E-23,-1.682803110584238E-23,-1.7234167832693484E-23,1.6201310531267826E-23,8.263196036594488E-24,-1.723904646644617E-24
102.5,-1.6558911410427402E-23,-1.7193232667234243E-23,-1.7599766123981507E-23,1.7233693081280092E-23,8.668818021843593E-24,-1.8285037003025566E-24
103,-1.7640260297126022E-23,-1.7537041904925104E-23,-1.7943486051726114E-23,1.8329943704516416E-23,9.098608201247313E-24,-1.9414821489260287E-24
103.5,-1.8788621783141012E-23,-1.785439817771688E-23,-1.8260267935888696E-23,1.9492809486939003E-23,9.554471979948277E-24,-2.063739799690894E-24
103.99999999999999,-2.000665111605477E-23,-1.813962042463198E-23,-1.8544444886358E-23,2.0724844436144342E-23,1.0038519344637767E-23,-2.1963066309841023E-24
104.49999999999999,-2.1296763491502185E-23,-1.83863736598292E-23,-1.8789703484477454E-23,2.202835544709275E-23,1.055308135417038E-23,-2.34035618829116E-24
104.99999999999999,-2.2661013943029404E-23,-1.858762444174654E-23,-1.898904420702619E-23,2.340527902535393E-23,1.110074124361893E-23,-2.497230064586224E-24
105.5,-2.4101032869522025E-23,-1.873563340983872E-23,-1.9134779229231625E-23,2.4857121397321643E-23,1.168437869021231E-23,-2.668478868139185E-24
106,-2.5617866425774636E-23,-1.8821925917496546E-23,-1.9218501931763862E-23,2.6384794207581157E-23,1.2307201733433995E-23,-2.855888763668301E-24
106.5,-2.721187140014554E-23,-1.8837290472971793E-23,-1.9231089469942624E-23,2.7988517805635433E-23,1.2972795856275201E-23,-3.0615325433096974E-24
106.99999999999999,-2.8882546096533167E-23,-1.877182605160524E-23,-1.916275033501124E-23,2.966764782520527E-23,1.3685178329485695E-23,-3.2878212795911747E-24
107.49999999999999,-3.062834990482887E-23,-1.8614948330163374E-23,-1.9003041288595144E-23,3.1420502179517004E-23,1.444887285714694E-23,-3.537586412132981E-24
107.99999999999999,-3.2446578870786474E-23,-1.8355499620362133E-23,-1.874097077241511E-23,3.324423671493166E-23,1.5268981001182683E-23,-3.814153438471373E-24
