% Model:              2D-Au-Plate-from-wl.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 15 2025, 16:49
% Dimension:          1
% Nodes:              71
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),F_x (N),F_y (N),F_z (N)
400,1.5234912173424243E-25,-2.668104013053729E-26,-4.067800906044745E-25
410,1.323477887410296E-25,-3.9990442203081927E-26,-4.447897781644733E-25
419.99999999999994,9.253466349067375E-26,-7.097317530258973E-26,-5.3356917641977405E-25
429.99999999999994,1.3272711944623662E-25,-5.505987465928473E-26,-5.111384046346089E-25
439.99999999999994,2.1282786440162533E-25,-5.067976532399875E-26,-6.121018389821182E-25
450,2.41731536068167E-25,-2.7693118047489984E-26,-5.046875753962317E-25
460,2.843608003204637E-25,-2.0220624145076388E-27,-4.198879045203956E-25
470,2.5080654873977286E-25,-2.0400908366113825E-26,-6.040343992914604E-25
480,2.505355267125547E-25,7.035800905288448E-27,-4.140456368548744E-25
490,2.017893990487498E-25,4.9071209989029404E-26,-1.8758293500978141E-25
500,2.2932713970318914E-25,1.0735415634776231E-26,-2.4656046016777864E-25
509.99999999999994,2.7655019296551323E-25,-1.8834010552638078E-28,-3.197757454569172E-25
519.9999999999999,2.228773300849476E-25,-8.751453313757554E-26,-9.136397523997049E-25
530,9.885831094444656E-26,-1.4092342159014966E-25,-1.5116213517984897E-24
540,9.074662288624019E-26,-1.5710141585548635E-25,-1.689110806479587E-24
550,7.802336960639477E-26,-1.477187571125177E-25,-1.7112702861615627E-24
560,8.526467830346663E-26,-1.0078898703650292E-25,-1.3811646130539828E-24
570,9.813761552094361E-26,-5.93621905905847E-26,-1.4555631557895437E-24
580,1.0978637551177556E-25,-5.713914263470187E-26,-2.4866254718164207E-24
590,1.8792833980635043E-25,-2.857296362149434E-26,-4.412428003367938E-24
600,3.045101473349713E-25,6.126392578054406E-26,-4.24688363761538E-24
610,2.670558459950255E-25,-1.1564397415301342E-26,-3.244727657532587E-24
619.9999999999999,2.0336658058540607E-25,-1.1658203798418953E-26,-1.6452271411304286E-24
629.9999999999999,2.7157111378396064E-25,-3.543314255576457E-26,-2.334626446498463E-24
639.9999999999999,3.4417512856583906E-25,-5.615308505661994E-26,-2.9575563484426904E-24
650,4.305817741797671E-25,-7.001138343907563E-26,-3.5097241396426234E-24
660,5.334580413341525E-25,-8.123287875194784E-26,-4.054266533133018E-24
670,6.535917923644873E-25,-9.186516277614934E-26,-4.604244245799068E-24
680,7.946861003098172E-25,-1.015080253472382E-25,-5.154817630443081E-24
690,9.57730801272013E-25,-1.0831261689439772E-25,-5.6392501489747E-24
700,1.1373585117671376E-24,-1.098635327268411E-25,-5.9225299271884614E-24
710,1.3140242197511246E-24,-1.0363152665944601E-25,-5.73590259614699E-24
720,1.4283849714876052E-24,-9.027559095809075E-26,-4.769650521177127E-24
729.9999999999999,1.4082533093946181E-24,-7.467763102348077E-26,-2.8738443674861793E-24
739.9999999999999,1.2219191573424992E-24,-6.701226450413849E-26,-4.983005557075789E-25
