% Model:              2D-Au-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jul 2 2025, 20:50
% Dimension:          1
% Nodes:              61
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),F_x (N),F_y (N),F_z (N)
800,3.9734348949670715E-25,4.472699772553026E-37,-2.3287999150431555E-24
804.9999999999999,4.310911651102477E-25,6.03247825091045E-37,-2.7749564900974962E-24
810,4.661699047814059E-25,-2.389289285951602E-37,-3.1687175323300562E-24
814.9999999999999,5.035204275436546E-25,1.0750024024010365E-36,-3.531128643175782E-24
820,5.438006205328204E-25,-8.133049633680563E-38,-3.874302304278276E-24
825,5.87479687580519E-25,1.1878214062964917E-36,-4.205570547846836E-24
830,6.349473653947319E-25,8.610545264248475E-39,-4.528979803107719E-24
835,6.86564901886598E-25,1.2577800032645797E-37,-4.846774180994948E-24
839.9999999999999,7.426665552690472E-25,9.59921230301188E-38,-5.160133935863791E-24
845,8.026386446958002E-25,-4.640615867916323E-37,-5.465839331690913E-24
849.9999999999999,8.676730208962741E-25,-3.813529381563271E-37,-5.767165840560143E-24
855,9.381128795560275E-25,-7.41011669337353E-37,-6.062611611297538E-24
859.9999999999999,1.0142906207812942E-24,7.338972602615091E-37,-6.3497281930163825E-24
865,1.0953023356362981E-24,-7.010644534153964E-37,-6.622692110920507E-24
869.9999999999999,1.1824453364003154E-24,5.056011849767117E-38,-6.879949424832534E-24
875,1.2771754106974406E-24,4.783392606788504E-37,-7.116407272131796E-24
879.9999999999999,1.3782330145878725E-24,-2.1784044577580083E-37,-7.321759518174142E-24
885,1.4838157937554611E-24,1.0281874455445774E-36,-7.48566735399875E-24
890,1.5945668294687593E-24,-6.246546128270968E-37,-7.596850026479886E-24
894.9999999999999,1.708583065206547E-24,-3.1058994389052843E-37,-7.640263958526734E-24
900,1.8239314302071883E-24,-9.15439623517751E-37,-7.598017385745092E-24
904.9999999999999,1.9380433088832867E-24,3.1283541135883385E-37,-7.448832807234942E-24
910,2.046958438089481E-24,1.1111375112449733E-36,-7.171246977491766E-24
914.9999999999999,2.1454243786062945E-24,-2.7630960365774537E-36,-6.743584205571234E-24
920,2.2270055953195284E-24,2.324316634840744E-37,-6.1478345939793796E-24
924.9999999999999,2.284015162094471E-24,3.410084715972707E-37,-5.3898220675503695E-24
930,2.3104109124024953E-24,-6.988372112401645E-37,-4.461803665647533E-24
934.9999999999999,2.2993227418415152E-24,1.3331932619434466E-36,-3.364343582874106E-24
940,2.246452617194962E-24,-6.707073246610417E-36,-2.1554094841571187E-24
945,2.1533492759832468E-24,-5.270605059373886E-37,-9.163763677278169E-25
949.9999999999999,2.023260649038679E-24,-1.0463771795109966E-36,3.032599798935003E-25
954.9999999999999,1.8638667298613435E-24,-7.281585970262499E-38,1.4331693878009776E-24
960,1.6855981628052515E-24,2.0277247024843876E-36,2.4141873440988032E-24
965,1.499607104676867E-24,-1.42544428297732E-36,3.2053200114102148E-24
969.9999999999999,1.3161662393537574E-24,-2.402647897056481E-36,3.787259282421575E-24
974.9999999999999,1.1434779022941185E-24,-8.267157586769582E-37,4.159699826411495E-24
980,9.871805968694885E-25,6.128788887866792E-38,4.338242318080851E-24
985,8.503968052399575E-25,2.1994288244817815E-36,4.346850631717849E-24
989.9999999999999,7.342046554530216E-25,-6.165726772270408E-37,4.212861860644038E-24
994.9999999999999,6.3968710699782635E-25,-5.741839367167375E-37,3.969284325599948E-24
1000,5.636961501602131E-25,-1.0262813365171978E-36,3.63716029158178E-24
1005,5.038386678143505E-25,2.9900346016118585E-37,3.2261956974547527E-24
1010,4.594157330455755E-25,2.5970377350816133E-39,2.760907281126289E-24
1014.9999999999999,4.287289381995457E-25,6.082985696831637E-37,2.2668638603748846E-24
1019.9999999999999,4.0924668086496135E-25,-2.1261799543329676E-37,1.7443066665682803E-24
1025,3.9933361820454543E-25,-8.120704676983284E-38,1.2010310415829625E-24
1030,3.974884681132957E-25,1.087994047082844E-37,6.432585181335283E-25
1035,4.023991654697318E-25,8.785859125794223E-37,7.577105173117028E-26
1039.9999999999998,4.1285662404587204E-25,-1.8165272361293643E-38,-4.973774070575083E-25
1045,4.2780041413472385E-25,6.677857004646157E-38,-1.0727927968013498E-24
1050,4.4624929929701395E-25,-1.175709345264517E-37,-1.647342089163729E-24
1055,4.6731708287936435E-25,-1.2444335161944522E-36,-2.2179857492119335E-24
1060,4.901670771215063E-25,7.207369743563515E-37,-2.781648981500315E-24
1064.9999999999998,5.140286697619009E-25,2.541314172652918E-37,-3.334992282146648E-24
1070,5.381545128112335E-25,3.6400703692180173E-37,-3.874624589052592E-24
1075,5.618524794999161E-25,4.378971095040296E-37,-4.3967925923034984E-24
1080,5.844645353402159E-25,-7.478673378538813E-37,-4.897731791418744E-24
1084.9999999999998,6.04896131267219E-25,-8.587656175298407E-37,-5.364221053333759E-24
1090,6.231981762381756E-25,-6.4316801969603405E-37,-5.803593714045904E-24
1095,6.3926902933709315E-25,5.040592452492784E-37,-6.21951886202299E-24
1100,6.522295116479378E-25,3.7531862972350077E-37,-6.599354577057811E-24
