,wl,px,py,pz,mx,my,mz,Fx,Fxe0,Fxe1,Fxe2,Fxm0,Fxm1,Fxm2,Fxcross,Fy,Fye0,Fye1,Fye2,Fym0,Fym1,Fym2,Fycross,Fz,Fze0,Fze1,Fze2,Fzm0,Fzm1,Fzm2,Fzcross,Fxspp,Fxsppe1,Fxsppe2,Fxsppm1,Fxsppm2,Fyspp,Fysppe1,Fysppe2,Fysppm1,Fysppm2
0,600 nanometer,(1.7110795321119616e-31-3.043527170571243e-32j) coulomb * meter,0j coulomb * meter,(-3.9289595496334e-33-1.1602945006269293e-32j) coulomb * meter,0j ampere * meter ** 2,(7.881094980917937e-24+1.9363719092540897e-23j) ampere * meter ** 2,0j ampere * meter ** 2,6.180902550966314e-25 newton,5.825910369055033e-25 newton,3.7376599600694194e-26 newton,-4.788196563993584e-27 newton,3.788466952433018e-26 newton,0.0 newton,-4.25225162066709e-27 newton,-3.072160274923555e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,0.0 newton,-5.577940978638507e-26 newton,-1.4324493165178465e-25 newton,-4.514967911073139e-25 newton,1.1229815146718873e-25 newton,4.206399520569556e-25 newton,6.989758183402789e-26 newton,2.736079703139452e-26 newton,-9.123416941685327e-26 newton,-4.216740639131125e-27 newton,3.170830650280299e-26 newton,-1.799231883766548e-26 newton,0.0 newton,-1.7932728304268541e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
1,606 nanometer,(1.6488919916970121e-31-3.703260872822802e-32j) coulomb * meter,0j coulomb * meter,(-3.6757515016488436e-33-1.0414333919406721e-32j) coulomb * meter,0j ampere * meter ** 2,(6.004564901093561e-24+9.538952339920873e-24j) ampere * meter ** 2,0j ampere * meter ** 2,5.789820140498267e-25 newton,5.510969326685111e-25 newton,3.2062133833679317e-26 newton,-2.6358140984491688e-27 newton,1.4218947413542669e-26 newton,0.0 newton,-1.7386993219936053e-27 newton,-1.4021486445463646e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,0.0 newton,-2.5459108957885377e-25 newton,-1.2981145806753433e-25 newton,-4.1217481563968885e-25 newton,7.227193160377343e-26 newton,2.655121130305399e-25 newton,1.9332484080565808e-26 newton,3.824097631579178e-27 newton,-7.354544221808884e-26 newton,9.875552681832013e-27 newton,2.6468468223115397e-26 newton,-8.291918785519342e-27 newton,0.0 newton,-8.300996755764009e-27 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
2,612 nanometer,(1.619999667798556e-31-4.0355055921935514e-32j) coulomb * meter,0j coulomb * meter,(-3.381470150503593e-33-9.236599584702992e-33j) coulomb * meter,0j ampere * meter ** 2,(2.6135854415109925e-24+4.078932761572947e-24j) ampere * meter ** 2,0j ampere * meter ** 2,5.61676872492945e-25 newton,5.35743086127696e-25 newton,2.7492913287461847e-26 newton,-1.0080269769165134e-27 newton,5.305309034602562e-27 newton,0.0 newton,-6.923674012144268e-28 newton,-5.1640415786845596e-27 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,0.0 newton,-3.796118421067696e-25 newton,-1.1481178144071902e-25 newton,-3.878481941016483e-25 newton,3.062876256227362e-26 newton,1.1382135717416773e-25 newton,3.394036961850998e-27 newton,3.9362138426639356e-27 newton,-2.873223710535855e-26 newton,1.5918311597054744e-26 newton,2.209454527727617e-26 newton,-3.0663344544500305e-27 newton,0.0 newton,-3.1098992257713575e-27 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
3,618 nanometer,(1.6146606175145207e-31-4.306234567526072e-32j) coulomb * meter,0j coulomb * meter,(-3.0465176958278733e-33-8.08558784883032e-33j) coulomb * meter,0j ampere * meter ** 2,(-5.157397815388611e-25+1.2120343564517216e-24j) ampere * meter ** 2,0j ampere * meter ** 2,5.542262524924318e-25 newton,5.294159660537111e-25 newton,2.3530895383432605e-26 newton,-4.0217259905006025e-29 newton,2.4620761270745237e-27 newton,0.0 newton,-2.638469261814302e-28 newton,-8.786208856999723e-28 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,0.0 newton,-4.556373764108637e-25 newton,-1.0123003288376105e-25 newton,-3.7422063223422363e-25 newton,-2.581244804645551e-27 newton,-3.1225720183865362e-27 newton,2.382462591105514e-28 newton,1.0814467314947678e-26 newton,1.4464391956094824e-26 newton,1.7365565778629732e-26 newton,1.8426258178783832e-26 newton,-5.606341125337346e-28 newton,0.0 newton,-5.000582876202536e-28 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
4,624 nanometer,(1.620454357706452e-31-4.6032091166289023e-32j) coulomb * meter,0j coulomb * meter,(-2.6748266514343545e-33-6.999635771253176e-33j) coulomb * meter,0j ampere * meter ** 2,(-3.072253102259301e-24-2.3626017244445216e-25j) ampere * meter ** 2,0j ampere * meter ** 2,5.495327073089625e-25 newton,5.261989589161525e-25 newton,2.0033597008160608e-26 newton,4.603477656042729e-28 newton,1.9187966787697686e-27 newton,0.0 newton,-9.305110899693755e-29 newton,1.0140580492722314e-27 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,0.0 newton,-5.020112839425161e-25 newton,-8.964537568078022e-26 newton,-3.6586565813026105e-25 newton,-2.750482096723769e-26 newton,-8.889355488708376e-26 newton,1.2374070684939101e-27 newton,1.8636315408504968e-26 newton,5.0024403245847795e-26 newton,1.656154847747226e-26 newton,1.5327372874379639e-26 newton,5.0610462792099165e-28 newton,0.0 newton,7.280709751716045e-28 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
5,630 nanometer,(1.631072725335948e-31-4.967643142067543e-32j) coulomb * meter,0j coulomb * meter,(-2.2729119534691922e-33-5.9258133507684946e-33j) coulomb * meter,0j ampere * meter ** 2,(-5.080874918647394e-24-8.5548345853685e-25j) ampere * meter ** 2,0j ampere * meter ** 2,5.4501488309304845e-25 newton,5.2386712980335825e-25 newton,1.6721175914466789e-26 newton,6.577144715400315e-28 newton,2.1625412078454087e-27 newton,0.0 newton,-3.665228760026389e-29 newton,1.642973983438328e-27 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,0.0 newton,-5.285010188742129e-25 newton,-7.868019433887745e-26 newton,-3.6035656324848873e-25 newton,-4.565875460558721e-26 newton,-1.5049408000719401e-25 newton,3.280940888497808e-27 newton,2.5674442150901388e-26 newton,7.773319028653525e-26 newton,1.4518018604037667e-26 newton,1.2503784347291033e-26 newton,8.194974591873331e-28 newton,0.0 newton,1.1947367975592989e-27 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
6,636 nanometer,(1.641965440842828e-31-5.406422067556388e-32j) coulomb * meter,0j coulomb * meter,(-1.841360744472166e-33-4.869922903155963e-33j) coulomb * meter,0j ampere * meter ** 2,(-6.603955344129092e-24-9.481127049090559e-25j) ampere * meter ** 2,0j ampere * meter ** 2,5.390731335124071e-25 newton,5.207647598954726e-25 newton,1.3534814704760255e-26 newton,6.619558439400355e-28 newton,2.5480908191271087e-27 newton,0.0 newton,-3.353477578519393e-29 newton,1.5970470248922745e-27 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,0.0 newton,-5.400842434742075e-25 newton,-6.786741916162836e-26 newton,-3.559138004112699e-25 newton,-5.827758418743248e-26 newton,-1.9299196888669268e-25 newton,5.212363842911081e-27 newton,3.141474648932755e-26 newton,9.833941884057727e-26 newton,1.1866243303253522e-26 newton,9.895526217606283e-27 newton,7.452867908788758e-28 newton,0.0 newton,1.2254302947682505e-27 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
7,642 nanometer,(1.648564836063539e-31-5.919647270605235e-32j) coulomb * meter,0j coulomb * meter,(-1.3813060706257514e-33-3.835437305345686e-33j) coulomb * meter,0j ampere * meter ** 2,(-7.72564900609684e-24-6.837575117275759e-25j) ampere * meter ** 2,0j ampere * meter ** 2,5.302930400412437e-25 newton,5.153404822114218e-25 newton,1.043966822415115e-26 newton,5.5237931438748905e-28 newton,2.7960295513724966e-27 newton,0.0 newton,-5.432451632528263e-29 newton,1.2188052562359522e-27 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,0.0 newton,-5.392275723454199e-25 newton,-5.680587890916931e-26 newton,-3.509292968131633e-25 newton,-6.646674809864495e-26 newton,-2.206724087706342e-25 newton,6.669063260337005e-27 newton,3.592165832513491e-26 newton,1.1305603866071998e-25 newton,8.977572450144763e-27 newton,7.464875888146622e-27 newton,4.976302649875146e-28 newton,0.0 newton,1.0150662970106157e-27 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
8,648 nanometer,(1.6476677240788725e-31-6.499927353078868e-32j) coulomb * meter,0j coulomb * meter,(-8.93660075971688e-34-2.8298253239556413e-33j) coulomb * meter,0j ampere * meter ** 2,(-8.48489734784215e-24-1.6287820056891208e-25j) ampere * meter ** 2,0j ampere * meter ** 2,5.178579306325421e-25 newton,5.066369954952781e-25 newton,7.44268464783724e-27 newton,3.8313901029033467e-28 newton,2.766870943546218e-27 newton,0.0 newton,-8.226199782902237e-29 newton,7.105025334192754e-28 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,0.0 newton,-5.269362056497605e-25 newton,-4.520998542136796e-26 newton,-3.444442729002512e-25 newton,-7.08370380004249e-26 newton,-2.3582778787777134e-25 newton,7.553792848326473e-27 newton,3.92733071142108e-26 newton,1.225557785875176e-25 newton,6.0928177499788765e-27 newton,5.2064832631127156e-27 newton,2.0344128261843236e-28 newton,0.0 newton,6.828932042476817e-28 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
9,654 nanometer,(1.6360063704089225e-31-7.135112495394838e-32j) coulomb * meter,0j coulomb * meter,(-3.8018250297509015e-34-1.8612339927708882e-33j) coulomb * meter,0j ampere * meter ** 2,(-8.907938193993096e-24+5.462135558870504e-25j) ampere * meter ** 2,0j ampere * meter ** 2,5.010023952707877e-25 newton,4.937453637522105e-25 newton,4.5683376071248346e-27 newton,1.9461374102213645e-28 newton,2.398551728466084e-27 newton,0.0 newton,-1.0624234613665845e-28 newton,2.0177078810078173e-28 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,0.0 newton,-5.035034701591165e-25 newton,-3.289070802235151e-26 newton,-3.355919017611449e-25 newton,-7.185056264930872e-26 newton,-2.4005220637793006e-25 newton,7.897241305734336e-27 newton,4.159575492996487e-26 newton,1.2738891241591945e-25 newton,3.380166124132774e-27 newton,3.1273370872493e-27 newton,-5.788586341504443e-29 newton,0.0 newton,3.1071490029857546e-28 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
