% Model:              3D-Au-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jul 2 2025, 20:31
% Dimension:          1
% Nodes:              61
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(px) (C*m),imag(px) (C*m),real(my) (m^2*A),imag(my) (m^2*A),real(pz) (C*m),imag(pz) (C*m)
800,8.042443887338445E-32,-3.144288364199001E-31,-7.307440405646479E-24,2.048614817004331E-23,-8.587472878185482E-32,-2.513195658817458E-32
804.9999999999999,1.0263467127530684E-31,-3.23634460725884E-31,-8.398178185682216E-24,2.1529936270210613E-23,-8.566001725458343E-32,-3.049516155400144E-32
810,1.234876047987841E-31,-3.352008160159638E-31,-9.828242946000167E-24,2.22603898744009E-23,-8.530870322149386E-32,-3.5589527067342265E-32
814.9999999999999,1.4435699201464894E-31,-3.4836964044569467E-31,-1.1498033245596585E-23,2.2720928507277797E-23,-8.485158923424159E-32,-4.046271249310238E-32
820,1.6596067055132978E-31,-3.6266027778162573E-31,-1.3363363825613556E-23,2.293439244797977E-23,-8.431278379555619E-32,-4.515377579132557E-32
825,1.8874462302835663E-31,-3.7773095448092143E-31,-1.5406367819780362E-23,2.2903749507343023E-23,-8.371325135110673E-32,-4.968895116848322E-32
830,2.1305580187989426E-31,-3.933503887409938E-31,-1.761786277891119E-23,2.262288800409353E-23,-8.305911538844369E-32,-5.409705476483715E-32
835,2.3920157976287686E-31,-4.093139004414229E-31,-1.9994741536352673E-23,2.207299244040661E-23,-8.235372809363972E-32,-5.839949013347281E-32
839.9999999999999,2.67473435284533E-31,-4.254393923413075E-31,-2.2536570707074154E-23,2.1226901340680675E-23,-8.160157549384549E-32,-6.26130730921011E-32
845,2.977197743257134E-31,-4.414202181492382E-31,-2.519043549860912E-23,2.0069191201185097E-23,-8.083091028989722E-32,-6.671077537651362E-32
849.9999999999999,3.306607592608915E-31,-4.571713069439673E-31,-2.800244069495642E-23,1.8543421853349467E-23,-8.001928095892039E-32,-7.074843890490015E-32
