% Model:              3D-Ag-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 15 2025, 16:16
% Dimension:          1
% Nodes:              51
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(px) (C*m),imag(px) (C*m),real(my)/c_const (C*m),imag(my)/c_const (C*m),real(pz) (C*m),imag(pz) (C*m)
300,1.0969748920653965E-34,9.632646444069116E-35,-2.288945321667868E-36,-2.6298738456803025E-37,8.135350890041234E-35,7.430477734777646E-36
302,1.110485812727938E-34,9.369744394165013E-35,-2.2361306937878746E-36,-2.975009473669829E-37,8.050040081753521E-35,8.829160534541106E-36
304,1.1293893217104308E-34,9.050934040620662E-35,-2.1733814286192637E-36,-3.4196401974013844E-37,7.922886704201894E-35,1.062708614568167E-35
306,1.1475540244219812E-34,8.712652796533109E-35,-2.1132393949771785E-36,-3.893745947113505E-37,7.799608158808887E-35,1.2578953405780846E-35
307.99999999999994,1.1646856313424749E-34,8.354272628503903E-35,-2.0562103089928686E-36,-4.397638914505182E-37,7.682366381008366E-35,1.469063926724389E-35
309.99999999999994,1.1804244276826253E-34,7.975513123704416E-35,-2.002906092929471E-36,-4.930910393712459E-37,7.573814009863419E-35,1.6965275161383787E-35
312,1.2031597005309213E-34,7.63676557042944E-35,-1.937780164261178E-36,-5.373691651985645E-37,7.414433570631174E-35,1.8928474773312602E-35
314,1.2302962761219198E-34,7.301607105880612E-35,-1.8658505314537494E-36,-5.798381881615076E-37,7.222118344097975E-35,2.0852395268210183E-35
316,1.2571101893303762E-34,6.930040715448688E-35,-1.7958600012180937E-36,-6.281790980255603E-37,7.030343212289409E-35,2.3044544084355729E-35
318,1.2830879274239614E-34,6.513059065117855E-35,-1.72869893891595E-36,-6.8382531082989386E-37,6.842828807201192E-35,2.5568469119030547E-35
319.99999999999994,1.3075161244636997E-34,6.036910970110088E-35,-1.6655780749200764E-36,-7.489659573564391E-37,6.664738727629058E-35,2.851986426077351E-35
321.99999999999994,1.396243591801165E-34,6.011577031010575E-35,-1.4915980470078426E-36,-7.2976862420491304E-37,6.038148187207564E-35,2.7981958130749627E-35
324,1.5157433112202536E-34,6.347528947477038E-35,-1.2678946271008087E-36,-6.465983194755219E-37,5.19492598427269E-35,2.4813801755314465E-35
326,1.639034914887885E-34,6.986864199818846E-35,-1.0414203217806481E-36,-5.121014081710547E-37,4.3179116033862147E-35,1.9501725025055286E-35
328,1.7564032241798665E-34,7.905641740259216E-35,-8.270175485736208E-37,-3.311041458904564E-37,3.465097239473113E-35,1.219420790796488E-35
330,1.8607593383766333E-34,9.07111604019034E-35,-6.320708129938488E-37,-1.0849723157103572E-37,2.6640317579174295E-35,3.088066599383836E-36
331.99999999999994,1.9169119143499774E-34,1.022898045206208E-34,-5.126143362027645E-37,1.1497119636991731E-37,2.1503957299609644E-35,-6.105637455559741E-36
333.99999999999994,1.8904000850671437E-34,1.0754584920496886E-34,-5.550672985344435E-37,2.344923174956493E-37,2.3181286166530462E-35,-1.1388624819864405E-35
336,1.8688036508451386E-34,1.1207820279183952E-34,-6.010120525411542E-37,3.467126369891842E-37,2.494307560965915E-35,-1.6697333294745208E-35
338,1.8575983649730367E-34,1.1659861704179566E-34,-6.5140493271456694E-37,4.540100469190688E-37,2.6990186769170754E-35,-2.2276074687293771E-35
340,1.852602872231573E-34,1.2241822684189013E-34,-7.102581421191449E-37,5.563531340553821E-37,2.983127258248933E-35,-2.8063562104025363E-35
342,1.8367722667047392E-34,1.298576153721013E-34,-7.801395700601817E-37,6.479049799352179E-37,3.36652679302194E-35,-3.3447324441076277E-35
343.99999999999994,1.8058487773881065E-34,1.3670924897899486E-34,-8.434976591526124E-37,7.154890865829182E-37,3.747749174690824E-35,-3.7762409599266366E-35
345.99999999999994,1.7634247832109034E-34,1.4225758960454712E-34,-9.001150308254015E-37,7.68650273534721E-37,4.162549262776318E-35,-4.1323582143410564E-35
348,1.7186228282822515E-34,1.465083293480714E-34,-9.521084989261967E-37,8.165288772516068E-37,4.5960951387811044E-35,-4.3841554648190333E-35
350,1.67778589886926E-34,1.5009708727049021E-34,-1.0038604872020564E-36,8.628294468361085E-37,4.981740628732498E-35,-4.554640247100245E-35
352,1.6385711193909226E-34,1.5367868518124716E-34,-1.0599200051075721E-36,9.045699376545212E-37,5.311042592519215E-35,-4.697970696386231E-35
354,1.5955168029144173E-34,1.5718773094789694E-34,-1.1182239523370076E-36,9.363417623521978E-37,5.604771737146546E-35,-4.839848356578474E-35
355.99999999999994,1.559175484878103E-34,1.5943562532543E-34,-1.1590267915454609E-36,9.513727555764353E-37,5.821424045090892E-35,-4.95289132897241E-35
357.99999999999994,1.5232271280219555E-34,1.6121542361800304E-34,-1.1948403290021022E-36,9.616377670621198E-37,6.026709973301798E-35,-5.065452537347867E-35
360,1.4876952723085355E-34,1.6266375391016824E-34,-1.2275666213053816E-36,9.694760332566687E-37,6.231489149447461E-35,-5.180190212578963E-35
362,1.4531143666939465E-34,1.6384704430561307E-34,-1.2577497816543901E-36,9.756173932446412E-37,6.439157344756113E-35,-5.295260297967425E-35
364,1.4196399232433896E-34,1.6482211785718868E-34,-1.2858617368097922E-36,9.80383718823764E-37,6.65223331816941E-35,-5.407851723013939E-35
366,1.3872605102363263E-34,1.6562994173385202E-34,-1.312230542660757E-36,9.839116194537662E-37,6.871833597295728E-35,-5.514278577801999E-35
367.99999999999994,1.3560819000213925E-34,1.662898808367178E-34,-1.3368627009701103E-36,9.861660092346636E-37,7.096036243562763E-35,-5.610090685292223E-35
369.99999999999994,1.3290453041777905E-34,1.6667657221036608E-34,-1.3563041754354238E-36,9.854862845519015E-37,7.300798860783604E-35,-5.681735101568957E-35
372,1.3027421098846035E-34,1.6698466940364215E-34,-1.3746430255630792E-36,9.840273000277642E-37,7.505560299069228E-35,-5.742192867950501E-35
374,1.277125460766848E-34,1.6722167816356407E-34,-1.3919339285975513E-36,9.81824111440212E-37,7.707872837619657E-35,-5.791657202175715E-35
376,1.252156336062235E-34,1.6739364543830608E-34,-1.4082203718269438E-36,9.789152383040313E-37,7.905789562227276E-35,-5.831158480147702E-35
378,1.2278021859146824E-34,1.6750562349605193E-34,-1.4235389937961249E-36,9.75341551894925E-37,8.098055850958826E-35,-5.862154041141042E-35
379.99999999999994,1.2040356036713328E-34,1.675619609049932E-34,-1.4379221962722622E-36,9.711452494477691E-37,8.284068160902795E-35,-5.886167217172772E-35
381.99999999999994,1.1816144782264746E-34,1.6751469111361774E-34,-1.450495269262294E-36,9.657656351201446E-37,8.457963408633237E-35,-5.901333141414548E-35
384,1.1620270211893256E-34,1.6727642159351815E-34,-1.4595679450916544E-36,9.58206355906716E-37,8.60907570188517E-35,-5.903333016749382E-35
386,1.1428804573996365E-34,1.6701226210474694E-34,-1.4679351300430796E-36,9.504060484638198E-37,8.755349691527497E-35,-5.90312106355129E-35
388,1.124160045584569E-34,1.6672375528956453E-34,-1.4756227443472201E-36,9.423872042060949E-37,8.897126544803476E-35,-5.901109679530558E-35
390,1.105852270711078E-34,1.6641235334215658E-34,-1.4826559283628282E-36,9.341715154301417E-37,9.034735079704933E-35,-5.897601445245368E-35
391.99999999999994,1.0879446339263846E-34,1.6607942720031214E-34,-1.489059093088498E-36,9.257797741244122E-37,9.168477560712198E-35,-5.892816818908286E-35
393.99999999999994,1.070425488533957E-34,1.6572627362162275E-34,-1.4948559527818776E-36,9.172318138514549E-37,9.298624251411594E-35,-5.886916566759161E-35
395.99999999999994,1.0532839308391425E-34,1.6535411950649751E-34,-1.5000695686978235E-36,9.085464571124774E-37,9.425417247043295E-35,-5.880021335074204E-35
398,1.03653144858066E-34,1.649643516524354E-34,-1.5046984553393414E-36,8.997440234966735E-37,9.548908099786653E-35,-5.872237246181467E-35
400,1.0201853030250516E-34,1.6455846705803057E-34,-1.508735768906959E-36,8.908456013442883E-37,9.669100105259214E-35,-5.863672507326203E-35
