% Model:              2D-Ag-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 14 2025, 19:49
% Dimension:          1
% Nodes:              51
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),F_x (N),F_y (N),F_z (N)
300,6.707707210791377E-30,-3.634902680841383E-43,-1.17925546362691E-29
302,6.509529130226266E-30,4.402254004637746E-43,-1.1521872867295329E-29
304,6.316150016516403E-30,2.8817780887218752E-43,-1.1257703296004329E-29
306,6.127446267589183E-30,-1.2369656104080609E-43,-1.0999811848876372E-29
307.99999999999994,5.943307603944438E-30,-2.7978002917205443E-44,-1.0747992633936853E-29
309.99999999999994,5.7636352165383E-30,-1.9092769208322524E-43,-1.0502064661673847E-29
312,5.588340019394223E-30,-3.3375100009362114E-43,-1.0261868743018847E-29
314,5.4173410432994945E-30,-6.476494658239687E-44,-1.002726455861414E-29
316,5.250563969190328E-30,-8.904926997839124E-45,-9.798127920074185E-30
318,5.087939767019271E-30,-5.029442230771405E-43,-9.574348258179631E-30
319.99999999999994,4.929403523124084E-30,-2.4697616188334413E-43,-9.355826282930118E-30
321.99999999999994,4.774893347947055E-30,-4.025473243813333E-43,-9.142471904637744E-30
324,4.624349468445299E-30,2.335489835126244E-43,-8.934202327181761E-30
326,4.4777134001858214E-30,-7.419988861886213E-43,-8.730940392576767E-30
328,4.334927285812895E-30,2.89403677186336E-43,-8.532613096966445E-30
330,4.195933327534026E-30,5.086979152842044E-44,-8.339150324660823E-30
331.99999999999994,4.060673325734195E-30,-3.974640404613075E-43,-8.150483766603836E-30
333.99999999999994,3.9290883350595366E-30,-5.129361658640809E-43,-7.966546003415937E-30
336,3.801118390005475E-30,-1.6806613833524237E-44,-7.787269768548858E-30
338,3.676702325843034E-30,-2.3413890897833544E-43,-7.612587347179338E-30
340,3.555777671004561E-30,-5.417347930863463E-43,-7.442430109853373E-30
342,3.438280590844201E-30,2.295052128838335E-43,-7.276728176730194E-30
343.99999999999994,3.3241458990139095E-30,3.0050116954853576E-43,-7.115410178190246E-30
345.99999999999994,3.2133071060937404E-30,2.8585214484397368E-43,-6.958403109488236E-30
348,3.1056965035713758E-30,-1.903819810081355E-44,-6.805632270624133E-30
350,3.0012452816487086E-30,2.498823652290544E-43,-6.657021269260695E-30
352,2.8998836749983138E-30,-5.364716440717754E-43,-6.512492070720159E-30
354,2.801541105953687E-30,-2.539676066202717E-43,-6.371965113512227E-30
355.99999999999994,2.7061463645156718E-30,-3.884968140462795E-44,-6.235359439638361E-30
357.99999999999994,2.6136277707789445E-30,1.4881437139260383E-43,-6.1025928671422516E-30
360,2.5239133583375116E-30,4.43411363144263E-43,-5.9735821712908874E-30
362,2.436931052349845E-30,-1.9438528740173404E-44,-5.848243279149511E-30
364,2.352608826604585E-30,-1.0460557091969875E-43,-5.7264914892312846E-30
366,2.2708748945528622E-30,2.71379533477403E-43,-5.608241659158971E-30
367.99999999999994,2.1916578354114567E-30,3.8489213999008925E-43,-5.493408434501692E-30
369.99999999999994,2.1148867696713366E-30,3.1078340572967443E-43,-5.381906430919769E-30
372,2.0404914765401557E-30,-5.496762672797856E-44,-5.273650447097604E-30
374,1.9684025441437514E-30,1.797450962926557E-43,-5.168555627997486E-30
376,1.8985514596645092E-30,-1.809125834006897E-43,-5.06653766074266E-30
378,1.8308707302829516E-30,-1.2151069094202502E-43,-4.967512922577355E-30
379.99999999999994,1.765293969853338E-30,2.656342715334208E-43,-4.871398637904238E-30
381.99999999999994,1.7017559849002387E-30,-2.459299827456228E-43,-4.7781130062574085E-30
384,1.6401928391005292E-30,7.904388524691651E-44,-4.6875753356940365E-30
386,1.5805419179657912E-30,1.6052831072101354E-47,-4.5997061440016215E-30
388,1.5227419844118727E-30,-1.2663735896653962E-42,-4.514427255514028E-30
390,1.466733201969646E-30,-7.642891618723933E-44,-4.431661898070685E-30
391.99999999999994,1.4124571856271517E-30,-5.408625460643229E-44,-4.3513347615371335E-30
393.99999999999994,1.3598570247411831E-30,1.6392445146832706E-43,-4.27337206132728E-30
395.99999999999994,1.3088772839797394E-30,5.1626514500541056E-43,-4.19770159959555E-30
398,1.2594640283527403E-30,2.681282043111266E-44,-4.124252798852594E-30
400,1.211564825284E-30,-1.0890562384281012E-43,-4.052956729341655E-30
