% Model:              SPP2-from-lambda.mph
% Version:            COMSOL 6.1.0.282
% Date:               Nov 27 2024, 14:58
% Dimension:          1
% Nodes:              61
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),px (C*m),py (C*m),pz (C*m)
600,1.4119169314095788E-31,-3.799641626187892E-36,-1.6192307963479667E-32
610,1.3465836419696837E-31,-2.9091787599616604E-36,-1.017924568012373E-32
620,1.2965036776066559E-31,-2.2561614955340713E-36,-6.177527901682947E-33
630,1.2547177100247412E-31,-2.783640419253982E-36,-6.384396928983515E-33
640,1.2175575097071514E-31,-8.426145122685175E-37,-1.4993125492399157E-32
650,1.1759840659190944E-31,-9.21234799454106E-37,-3.424442733022499E-32
660,1.282525904991014E-31,-7.211897583268417E-37,-5.1760767379004E-32
670,1.2972806732418154E-31,1.3980751425326036E-36,-5.366285820732052E-32
680,1.1247760454191573E-31,2.1577796279151487E-36,-4.553801871497916E-32
690,8.652925291737206E-32,1.4826863640019551E-36,-3.4954937764286553E-32
700,5.900665327888029E-32,6.872874564770421E-37,-2.453674963150246E-32
710,3.332532951148642E-32,3.0115072004439948E-37,-1.4462528060326273E-32
720,1.4987490869348742E-32,9.939691744581626E-38,-6.1388666850855345E-33
730,6.118294215025885E-33,-4.91352862552592E-38,-1.8610018093915598E-33
740,7.966846661700821E-33,-2.785864791296062E-37,-5.090616261543602E-33
749.9999999999999,1.8288092546038902E-32,-5.034326560841141E-37,-1.591313955125138E-32
760,2.6716315540519166E-32,-2.029386507338406E-37,-2.923027686859739E-32
770,-3.688197859498177E-32,9.872265405031642E-37,-4.043790697261179E-32
780,-3.489899539969663E-32,-2.5219937797817414E-37,-4.788764086129053E-32
790,8.341687681417332E-32,1.0284235415391703E-36,-5.215925098891946E-32
800,1.4552424529112908E-31,1.5538058958031756E-36,-5.383146743355837E-32
810,1.9713180673663233E-31,2.0885326636084735E-36,-5.346636238629286E-32
820,2.4933860969033153E-31,2.5362994963216018E-36,-5.142046048740416E-32
830,3.054739356973975E-31,2.752291363131886E-36,-4.803212214786692E-32
840,3.6733481271506256E-31,2.7372009652445607E-36,-4.3640796287717043E-32
850,4.351789043756545E-31,2.418869196757635E-36,-3.870100549271064E-32
859.9999999999999,5.103136294588843E-31,1.81149174473467E-36,-3.3483410498685947E-32
870,5.916471495582096E-31,9.882300366388811E-37,-2.836810899749938E-32
879.9999999999999,6.796806238143185E-31,-1.207712548494512E-38,-2.3435054305462236E-32
890,7.702725447669998E-31,-9.96500376293379E-37,-1.89852086521411E-32
900,8.598669090572768E-31,-2.0767141898132005E-36,-1.502620153761375E-32
910,9.430481246567079E-31,-3.7983582330956056E-36,-1.1587361390839054E-32
920,1.012824204725076E-30,-3.731974447436326E-36,-8.651805108211367E-33
930,1.0610028811881545E-30,-3.820655353842536E-36,-6.223027839389592E-33
940,1.079502916321452E-30,-2.9219914573785738E-36,-4.135787257819379E-33
949.9999999999999,1.0621902791927913E-30,-4.913575630642292E-37,-2.4049467017580574E-33
960,1.005887408484041E-30,2.1313977926717376E-36,-9.04118112339629E-34
969.9999999999999,9.130836023088373E-31,3.51403730395046E-36,4.572252756543857E-34
980,7.928532638001065E-31,3.375660045354108E-36,1.767151008544249E-33
989.9999999999999,6.602287077758842E-31,2.636293529123749E-36,3.12223077227878E-33
1000,5.35361676891844E-31,1.7678535087351096E-36,4.56953873971281E-33
1010,4.3122771870205135E-31,3.905672793310611E-37,6.27512654257164E-33
1019.9999999999999,3.618471047943839E-31,1.8623503225676405E-37,8.253092073145389E-33
1030,3.2835535570787105E-31,-1.1164381489852317E-36,1.0619159925962279E-32
1040,3.2654189963582804E-31,-1.0876030401779302E-36,1.3461793975539426E-32
1050,3.4755245260913656E-31,-1.0664753347205406E-36,1.685322356460974E-32
1060,3.8114067316000513E-31,-1.2183102071565E-36,2.086169871370808E-32
1070,4.181989419351914E-31,-7.59961864070334E-37,2.5545765177649284E-32
1080.0000000000002,4.520874666290579E-31,-7.128069527700737E-37,3.0946709911408355E-32
1090,4.782432889156032E-31,-5.486959889023152E-37,3.705660526622416E-32
1100,4.9660329143956535E-31,-4.558949695404865E-37,4.3982908295234184E-32
1109.9999999999998,5.060184567173869E-31,-3.845211745867387E-37,5.161277431014526E-32
1120,5.080191978387027E-31,-2.6405240687912224E-37,6.00007099265787E-32
1130,5.036256787587534E-31,-1.2155338258746255E-37,6.900836528394852E-32
1140,4.94203898584851E-31,1.6361901775702065E-38,7.864605962409497E-32
1149.9999999999998,4.813650452954856E-31,1.5605045340315332E-37,8.874065161670671E-32
1160,4.661162224093077E-31,2.2297019324973883E-37,9.922948156897116E-32
1170,4.493679713712839E-31,2.6797152826526606E-37,1.0999601250331829E-31
1180,4.318396782331568E-31,2.733305622302916E-37,1.2092102097474401E-31
1190,4.1407760122784854E-31,2.5250775305232988E-37,1.3188340727002673E-31
1199.9999999999998,3.964828110758E-31,2.1571132941642146E-37,1.4276697640598857E-31
