% Model:              3D-Au-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               Jan 21 2025, 02:59
% Dimension:          1
% Nodes:              40
% Expressions:        6
% Description:        Table graph
% Rs (um),F_x (N),F_y (N),F_z (N),-F_x_m (N),-F_y_m (N),-F_z_m (N)
0.35,7.160909543592201E-25,5.134171599869952E-26,-1.1406261578716163E-24,7.164236195523433E-25,5.127066480532228E-26,-1.1425733307688824E-24
0.3923076923076923,7.124544300361922E-25,4.672614746032003E-26,-1.1679400550178527E-24,7.133149055055708E-25,4.698907775293819E-26,-1.1690340345718294E-24
0.43461538461538457,7.114807598529388E-25,4.428339088142628E-26,-1.177497164511029E-24,7.119865475826918E-25,4.416562972723824E-26,-1.1788401153352266E-24
0.4769230769230769,7.116147606278504E-25,4.312118692166566E-26,-1.170614556891735E-24,7.123858980504675E-25,4.3254872863350026E-26,-1.1717322920946406E-24
0.519230769230769,7.129457126988177E-25,4.4089529592174147E-26,-1.1532155038205065E-24,7.138743742374032E-25,4.4240145282333357E-26,-1.1539299758756758E-24
0.5615384615384615,7.147736244952491E-25,4.604542724623424E-26,-1.1347326658159954E-24,7.1553693175182825E-25,4.605849262495896E-26,-1.1352510401445214E-24
0.6038461538461538,7.162188140452754E-25,4.852062372356358E-26,-1.120261597274648E-24,7.170203316402425E-25,4.8462805083005684E-26,-1.1211353534861242E-24
0.6461538461538461,7.172409908025906E-25,4.9966725319594414E-26,-1.1148630026684197E-24,7.178075205307029E-25,5.0013389293546307E-26,-1.1157574327447358E-24
0.6884615384615383,7.178402177382622E-25,5.029814329299296E-26,-1.1194990525672476E-24,7.183335017586563E-25,5.043725654648672E-26,-1.1202676926683369E-24
0.7307692307692307,7.17213466488192E-25,4.964614001820204E-26,-1.1301974880150676E-24,7.180341355884457E-25,4.9858937478725017E-26,-1.1312729799906971E-24
0.773076923076923,7.166405714501556E-25,4.820727251297543E-26,-1.1430350212203992E-24,7.1733450480551285E-25,4.81969168951894E-26,-1.1437987524699039E-24
0.8153846153846154,7.152974894368943E-25,4.6530969868237586E-26,-1.1511028082349793E-24,7.162024841545186E-25,4.660569493355775E-26,-1.152016887010418E-24
0.8576923076923075,7.140408153827997E-25,4.562289697944606E-26,-1.1522541288924013E-24,7.147926843695705E-25,4.5562575070288505E-26,-1.1533622810455865E-24
0.8999999999999998,7.130008422715122E-25,4.5522834979347724E-26,-1.1460364365336523E-24,7.140353030115815E-25,4.545962188067481E-26,-1.1465317675620606E-24
0.9423076923076922,7.13874536209742E-25,4.643983226307499E-26,-1.1350618199999068E-24,7.145065581404192E-25,4.6432081779701497E-26,-1.1358463961437326E-24
0.9846153846153844,7.1396745450926345E-25,4.739570222150643E-26,-1.1252358625385627E-24,7.148562306493556E-25,4.7784445314807917E-26,-1.1260479057814152E-24
1.0269230769230768,7.151343583010333E-25,4.886680926383851E-26,-1.1212820031619047E-24,7.158772217801052E-25,4.897316452064704E-26,-1.122210597610009E-24
1.069230769230769,7.158498488845207E-25,4.95311823158726E-26,-1.121746890803248E-24,7.166296170660988E-25,4.93577876558626E-26,-1.1229064984397253E-24
1.1115384615384616,7.1645365451649055E-25,4.8812910166082944E-26,-1.1293994093825116E-24,7.173526899166316E-25,4.89027825775513E-26,-1.1306146678615425E-24
1.1538461538461535,7.167050426303912E-25,4.7466955731762875E-26,-1.1392978363661546E-24,7.1750050552930375E-25,4.759794731614741E-26,-1.140729410421119E-24
1.196153846153846,7.170752127159988E-25,4.636806704289984E-26,-1.1473247858459305E-24,7.176641086714557E-25,4.6275339529677476E-26,-1.1481752459880468E-24
1.2384615384615385,7.162080769234815E-25,4.470685994745925E-26,-1.1503944741152673E-24,7.167117947546731E-25,4.4890716556766487E-26,-1.1516710363996331E-24
1.2807692307692307,7.152362667878422E-25,4.4719401131177196E-26,-1.1468309796474742E-24,7.162063488303722E-25,4.4906066085409857E-26,-1.1478329434773113E-24
1.3230769230769228,7.143683187671878E-25,4.544256822702944E-26,-1.1391519278754627E-24,7.15256295134134E-25,4.5428937095388594E-26,-1.1401467996117806E-24
1.3653846153846152,7.1435958446864785E-25,4.6810832507613193E-26,-1.1305831317112415E-24,7.151557520918589E-25,4.6785980421257827E-26,-1.1318928639848206E-24
1.4076923076923076,7.143068474377573E-25,4.816179079882037E-26,-1.1239167938764633E-24,7.153628595105429E-25,4.81850213136125E-26,-1.124734330679022E-24
1.4499999999999997,7.142924606139283E-25,4.877787431642261E-26,-1.1229622735348999E-24,7.152662924994784E-25,4.885025035480714E-26,-1.1235173476595726E-24
1.4923076923076921,7.151416476004207E-25,4.8808851451300853E-26,-1.1268040273401945E-24,7.156972351478288E-25,4.893570847157563E-26,-1.1273354002888052E-24
1.5346153846153845,7.15969665706475E-25,4.813913597100379E-26,-1.1338758432107598E-24,7.16599455706009E-25,4.809336997464446E-26,-1.1348063795744606E-24
1.5769230769230766,7.163118415972658E-25,4.6950533613562074E-26,-1.1423809919635092E-24,7.171569949310978E-25,4.6942199608738854E-26,-1.1435536284363898E-24
1.6192307692307693,7.168806428773877E-25,4.5681863531001885E-26,-1.1481555669441158E-24,7.1756512513575175E-25,4.581926429928215E-26,-1.148927169452614E-24
1.6615384615384614,7.172423325512727E-25,4.587054097799398E-26,-1.1467723808291397E-24,7.176646204871304E-25,4.586374949005114E-26,-1.1479687053450228E-24
1.7038461538461533,7.162093796769388E-25,4.5970177511795054E-26,-1.1428719384286336E-24,7.168477794457244E-25,4.613894425636069E-26,-1.1435886522637702E-24
1.7461538461538462,7.156657883301422E-25,4.739450024636129E-26,-1.1356769621274089E-24,7.163098369999313E-25,4.7313283014757537E-26,-1.1360967183379096E-24
1.7884615384615383,7.146124420488395E-25,4.806627746078681E-26,-1.1285981178037434E-24,7.152012380833565E-25,4.82199834638274E-26,-1.1291323279791921E-24
1.8307692307692303,7.142422785633185E-25,4.8995309586401697E-26,-1.1242273835174007E-24,7.14843869817052E-25,4.9066719813300157E-26,-1.125567405104518E-24
