% Model:              2D-Au-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               Jan 21 2025, 02:59
% Dimension:          1
% Nodes:              30
% Expressions:        3
% Description:        Table graph
% r_air (m),F_x (N),F_y (N),F_z (N)
4.0E-7,7.382128691575442E-25,4.3063462523785423E-26,-1.2081552695201298E-24
4.896551724137931E-7,7.417139274575841E-25,4.54472326109497E-26,-1.2893959810408864E-24
5.793103448275862E-7,7.193220428606276E-25,5.0843024816246746E-26,-1.1696120009406433E-24
6.689655172413793E-7,6.94975600229537E-25,5.0632015050204063E-26,-1.0604150609231406E-24
7.586206896551724E-7,7.00966759698873E-25,4.543313888428667E-26,-1.0850841873494735E-24
8.482758620689655E-7,7.222449970163357E-25,4.2464823414915516E-26,-1.1782756401187542E-24
9.379310344827587E-7,7.26115984616324E-25,4.599711155295092E-26,-1.1917105565961188E-24
1.0275862068965516E-6,7.119346437699374E-25,5.0533992961911064E-26,-1.1285673309550995E-24
1.1172413793103448E-6,7.0173017969040535E-25,4.863081584918195E-26,-1.0930496865217734E-24
1.206896551724138E-6,7.09763616065362E-25,4.372391431517267E-26,-1.1302468764765792E-24
1.296551724137931E-6,7.223081321373052E-25,4.3679149261280715E-26,-1.1728245425007766E-24
1.3862068965517242E-6,7.2021547799904935E-25,4.843418177067834E-26,-1.1576374872837862E-24
1.4758620689655174E-6,7.077273513700655E-25,4.9674198220911687E-26,-1.1160109438966266E-24
1.5655172413793105E-6,7.052130384412891E-25,4.576516424096615E-26,-1.1152965427181764E-24
1.6551724137931035E-6,7.155063077649524E-25,4.32118747899456E-26,-1.1505488404305948E-24
1.7448275862068966E-6,7.221121172967531E-25,4.6426649621999337E-26,-1.1628524596629463E-24
1.8344827586206898E-6,7.14379102621452E-25,4.9872555269814844E-26,-1.1371025249988736E-24
1.924137931034483E-6,7.057634805735114E-25,4.78452489327101E-26,-1.1166666171939393E-24
2.0137931034482763E-6,7.097367073523737E-25,4.401468803460774E-26,-1.1328002215591752E-24
2.103448275862069E-6,7.191559107704439E-25,4.464713126419458E-26,-1.1556586834491218E-24
2.193103448275862E-6,7.188794862187466E-25,4.8738225251292177E-26,-1.15046127124103E-24
2.2827586206896553E-6,7.09324490735306E-25,4.906295746980654E-26,-1.1280098583218874E-24
2.3724137931034484E-6,7.067814065970518E-25,4.534373933001821E-26,-1.1246604398870854E-24
2.4620689655172416E-6,7.149583867194914E-25,4.382138725890292E-26,-1.1437133465691106E-24
2.5517241379310347E-6,7.204760886356398E-25,4.695723822748641E-26,-1.1537426119014085E-24
2.641379310344828E-6,7.141112613771771E-25,4.914344235635976E-26,-1.1405485108786489E-24
2.731034482758621E-6,7.068231177270356E-25,4.669506580809583E-26,-1.1258110258914381E-24
2.8206896551724138E-6,7.104686325580727E-25,4.393323016206192E-26,-1.1326292053035108E-24
2.910344827586207E-6,7.188460438692646E-25,4.5563688650696434E-26,-1.1483991802061094E-24
3.0E-6,7.178851105910522E-25,4.88719635823487E-26,-1.1480632128213586E-24
