% Model:              2D-Au-Plate-from-wl.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 21 2025, 22:59
% Dimension:          1
% Nodes:              101
% Expressions:        5
% Description:        Table graph
% R0 (nm),C_ED (m^2),C_MD (m^2),C_EQ (m^2),C_MQ (m^2),C_full (m^2)
60,2.9972238514936544E-15,6.795225480050419E-17,1.4938976819544296E-18,2.8012976636027178E-21,3.0666728052737762E-15
60.99999999999999,3.4056043218649255E-15,8.220404749832701E-17,1.777661068885191E-18,3.6162800069538066E-21,3.4895896467121445E-15
61.99999999999999,3.8638602825181335E-15,9.928266057220936E-17,2.1093890083416233E-18,4.6534374573889674E-21,3.965256985536142E-15
63,4.377486425239413E-15,1.197290107266534E-16,2.4960575572580757E-18,5.969692310017343E-21,4.499717463215634E-15
63.99999999999999,4.952519887275786E-15,1.4418677779535196E-16,2.94541787277811E-18,7.635736182877468E-21,5.099659718680098E-15
64.99999999999999,5.595609906410222E-15,1.7342223503760676E-16,3.466077035599468E-18,9.739190703802823E-21,5.772507957674131E-15
66,6.314079156640619E-15,2.083483280112688E-16,4.067543981900912E-18,1.2388468745926088E-20,6.5265074171025345E-15
67,7.115972963943706E-15,2.5005381708789275E-16,4.7602497137105166E-18,1.5717472001193242E-20,7.370802748217312E-15
67.99999999999999,8.010185464650708E-15,2.998378793954619E-16,5.555701020611302E-18,1.9891294379238216E-20,8.31559893636116E-15
69,9.006451665487353E-15,3.5925332837099337E-16,6.4663304551466175E-18,2.5113174242510794E-20,9.372196437487735E-15
70,1.0115518732229716E-14,4.3015748977443714E-16,7.505723307930564E-18,3.1632883213965285E-20,1.05532135781953E-14
70.99999999999999,1.1349271107045349E-14,5.147749046504476E-16,8.688755802567268E-18,3.975689606322384E-20,1.1872774524394427E-14
72,1.2720725921713078E-14,6.157742148130756E-16,1.003137752053897E-17,4.9860710669697324E-20,1.3346581374757363E-14
73,1.4244312554179416E-14,7.363599933378169E-16,1.1551166155695007E-17,6.240356020865359E-20,1.499228611723314E-14
73.99999999999999,1.593591982441212E-14,8.803880043837475E-16,1.3267277005862468E-17,7.794620065659334E-20,1.6829653052002388E-14
75,1.7813070793128168E-14,1.0525032847150897E-15,1.520082749818884E-17,9.717212139074324E-20,1.888087207746284E-14
76,1.98950591726619E-14,1.2583115203982604E-15,1.737531576185294E-17,1.209128397807566E-19,2.1170866921661797E-14
