% Model:              2D-Ag-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 14 2025, 01:49
% Dimension:          1
% Nodes:              51
% Expressions:        4
% Description:        Table graph
% lambda0 (nm),real(px) (C*m),imag(px) (C*m),real(pz) (C*m),imag(pz) (C*m)
300,1.3076651924139911E-33,1.1202527225225558E-33,-9.620702442034348E-34,-6.269096312520679E-35
302,1.321963923091104E-33,1.0884084681149758E-33,-9.512164117015965E-34,-8.011030032566404E-35
304,1.3423791138726799E-33,1.0498235327981352E-33,-9.35251233300315E-34,-1.0238920311293504E-34
306,1.3618023675737203E-33,1.0090921379976307E-33,-9.197687925906448E-34,-1.265039938917282E-34
307.99999999999994,1.3799004017665515E-33,9.661693204509093E-34,-9.05025194338673E-34,-1.5251497945783801E-34
309.99999999999994,1.3962708116459542E-33,9.210496187597794E-34,-8.913300396999427E-34,-1.8044832354009767E-34
312,1.4209750233214167E-33,8.804636146430486E-34,-8.714420099171191E-34,-2.0448083933359683E-34
314,1.4507939932944261E-33,8.402424278452136E-34,-8.475699041154448E-34,-2.27909178700491E-34
316,1.480062270883248E-33,7.95919173709095E-34,-8.237832371778878E-34,-2.544522330983386E-34
318,1.508185523561356E-33,7.4648628311810634E-34,-8.00524702454509E-34,-2.8482320290225506E-34
319.99999999999994,1.534343804691891E-33,6.903861976173962E-34,-7.784032424328067E-34,-3.2009904421310437E-34
321.99999999999994,1.6364216425250828E-33,6.845081272475975E-34,-7.033965026900924E-34,-3.1310324229839738E-34
324,1.7743984173205055E-33,7.192584245281301E-34,-6.029924832429774E-34,-2.7557622006026683E-34
326,1.9162332326451998E-33,7.880656139830834E-34,-4.98361354915792E-34,-2.1389672878031436E-34
328,2.0498349034831828E-33,8.873852191474816E-34,-3.958724766141646E-34,-1.3023509358329003E-34
330,2.16496621630076E-33,1.0118366439081426E-33,-2.9822000624982165E-34,-2.789370175589139E-35
331.99999999999994,2.2200748335060218E-33,1.1311101033333012E-33,-2.3266094935621033E-34,7.317485206087858E-35
333.99999999999994,2.192169487428788E-33,1.1779788242858986E-33,-2.4564704212742544E-34,1.3445204160588018E-34
336,2.1768759500115616E-33,1.2125371588435531E-33,-2.5731270025698287E-34,1.978555285689313E-34
338,2.1868270703200393E-33,1.2482592924424315E-33,-2.70103049574209E-34,2.686306566022524E-34
340,2.2163768799833814E-33,1.3110240736229874E-33,-2.9314556151542564E-34,3.4899186877568847E-34
342,2.2334089536382657E-33,1.4163998068639847E-33,-3.3463597046704692E-34,4.303944696534994E-34
343.99999999999994,2.2129981333368623E-33,1.5252922428147231E-33,-3.8282465794255536E-34,4.982812076268533E-34
345.99999999999994,2.1624196369946906E-33,1.6141630935146405E-33,-4.429476501934835E-34,5.55577902844584E-34
348,2.104407660056122E-33,1.677204809431038E-33,-5.124881707543529E-34,5.913254844178411E-34
350,2.0553106445563408E-33,1.727527877000002E-33,-5.73002241252188E-34,6.06453627760598E-34
352,2.010590418014868E-33,1.7810340076941684E-33,-6.190620768395539E-34,6.1487983186584995E-34
354,1.956657256169864E-33,1.8367588208611556E-33,-6.554079368871448E-34,6.2451656468835375E-34
355.99999999999994,1.907119683472049E-33,1.8724585468302616E-33,-6.801069310824234E-34,6.341998248960932E-34
357.99999999999994,1.8568799420621864E-33,1.8993553502683762E-33,-7.027776970272916E-34,6.455908936053645E-34
360,1.807292756240803E-33,1.9198181784719428E-33,-7.253332562044625E-34,6.587288007809921E-34
362,1.759631941483977E-33,1.935409731122005E-33,-7.48679806748178E-34,6.731680469379852E-34
364,1.7142259328766233E-33,1.9474489022274034E-33,-7.735272718623856E-34,6.882199283453556E-34
366,1.6709986910384728E-33,1.9568575944569175E-33,-8.002663969630651E-34,7.029689073744356E-34
367.99999999999994,1.6299697850176802E-33,1.9641370484708707E-33,-8.286890964886087E-34,7.16332287354905E-34
369.99999999999994,1.5947767209191355E-33,1.9679572302303328E-33,-8.554421121623485E-34,7.261090472517997E-34
372,1.5608768243237905E-33,1.9707752168296577E-33,-8.826572530513867E-34,7.338358852532706E-34
374,1.5281447205403183E-33,1.9727231115440257E-33,-9.09724606574288E-34,7.394778388976879E-34
376,1.496476754792748E-33,1.973899818741523E-33,-9.36140849661252E-34,7.432295160630491E-34
378,1.465787353869019E-33,1.974382226303901E-33,-9.615716140380888E-34,7.4541214331658995E-34
379.99999999999994,1.4360055201096843E-33,1.9742322684967583E-33,-9.858495201500028E-34,7.463774913666432E-34
381.99999999999994,1.4080394323757881E-33,1.9728833275577755E-33,-1.0081810228203025E-33,7.461022832669406E-34
384,1.3836872504664865E-33,1.9692998385178866E-33,-1.0272283939482289E-33,7.4430734118863505E-34
386,1.3599577041819756E-33,1.9654531883378926E-33,-1.0454104837681283E-33,7.422557482828479E-34
388,1.3368209082325638E-33,1.9613592434501095E-33,-1.0628090011274424E-33,7.400376572074864E-34
390,1.3142502524380378E-33,1.95703270996329E-33,-1.0795026902398413E-33,7.377152657529988E-34
391.99999999999994,1.2922218484255439E-33,1.952487309283313E-33,-1.0955633979766227E-33,7.353300617211175E-34
393.99999999999994,1.2707140936209778E-33,1.9477359095511964E-33,-1.1110545693777983E-33,7.329087184288488E-34
395.99999999999994,1.2497073240221097E-33,1.942790627783002E-33,-1.1260311334290004E-33,7.304676105077803E-34
398,1.2292098555283107E-33,1.9376657727554644E-33,-1.1405228351918907E-33,7.2802022486995244E-34
400,1.2092375705200705E-33,1.9323771067278327E-33,-1.15454863083702E-33,7.2557687263609065E-34
