% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:29
% Dimension:          1
% Nodes:              151
% Expressions:        2
% Description:        Table graph
% R0 (nm),F_x (N),F_y (N)
90,3.885624168204225E-26,1.4287531369863923E-26
90.5,4.145398725916806E-26,1.4647403180143808E-26
91,4.423276062246615E-26,1.501979181142538E-26
91.5,4.720492030061322E-26,1.5408233403612813E-26
91.99999999999999,5.038470794714273E-26,1.5812714313808333E-26
92.49999999999999,5.378604964677443E-26,1.623815703931341E-26
93,5.74234910700765E-26,1.6687381168915984E-26
93.5,6.13155681833695E-26,1.716247259315226E-26
94,6.547526604256641E-26,1.7672983902182475E-26
94.5,6.992274587956866E-26,1.822221969161302E-26
94.99999999999999,7.467986831385202E-26,1.880924270699179E-26
95.49999999999999,7.976311422148001E-26,1.944819891375995E-26
96,8.51935661975924E-26,2.014638532726084E-26
96.5,9.099499715321552E-26,2.0908612089413246E-26
97,9.718947637206257E-26,2.174675255981565E-26
97.5,1.038005696978597E-25,2.2669439704728357E-26
97.99999999999999,1.1085811217916708E-25,2.3682294811175997E-26
98.49999999999999,1.1838399386287556E-25,2.4802845542594578E-26
98.99999999999999,1.264041372011105E-25,2.60471584268793E-26
99.5,1.3494689505432518E-25,2.7427639926386347E-26
100,1.4403964421293028E-25,2.896113842958728E-26
100.5,1.5371160311328055E-25,3.0663796235975513E-26
100.99999999999999,1.6398547332441718E-25,3.256025151842831E-26
101.49999999999999,1.7489373646937822E-25,3.466668247936495E-26
101.99999999999999,1.8645765529597887E-25,3.700814306879364E-26
102.5,1.9870291397248204E-25,3.961040332841629E-26
103,2.116546964013626E-25,4.2495238815284995E-26
103.5,2.2532334696519297E-25,4.5702613928308455E-26
103.99999999999999,2.397323097553451E-25,4.9246555913102106E-26
104.49999999999999,2.548842372843672E-25,5.317341596683697E-26
104.99999999999999,2.7078546550832866E-25,5.751208761382262E-26
105.5,2.87428623253432E-25,6.229276174665252E-26
106,3.0480238162518985E-25,6.755566282306385E-26
106.5,3.228819834448698E-25,7.333273516969149E-26
106.99999999999999,3.4162843036068033E-25,7.966520740406712E-26
