% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:29
% Dimension:          1
% Nodes:              151
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
90,-8.083971668926444E-24,-3.110831941100029E-24,-8.215342462953311E-24,3.842400968168351E-24,1.651557958164781E-24,-2.3728328129749798E-24
90.5,-8.439697992438668E-24,-3.1626054588674593E-24,-8.509695353749655E-24,4.068193973806841E-24,1.722185079405154E-24,-2.4775257388875887E-24
91,-8.811771602198083E-24,-3.2107015825694665E-24,-8.812983013763353E-24,4.308446364942434E-24,1.7958806364486007E-24,-2.587079417561582E-24
91.5,-9.200969237578063E-24,-3.2544898407094606E-24,-9.125296349493482E-24,4.564155678509642E-24,1.8727937257425374E-24,-2.701758944797854E-24
91.99999999999999,-9.608093601866867E-24,-3.2932710356676605E-24,-9.44669501066065E-24,4.836386114232368E-24,1.953082145346574E-24,-2.8218485995206245E-24
92.49999999999999,-1.0033979463526746E-23,-3.326265622711116E-24,-9.77720369462755E-24,5.126280910670287E-24,2.036912824024961E-24,-2.9476517623941336E-24
93,-1.0479490838413987E-23,-3.352612293312483E-24,-1.0116808903129506E-23,5.4350600138258455E-24,2.124463341222794E-24,-3.079494639527745E-24
93.5,-1.094551761422771E-23,-3.3713510207216554E-24,-1.0465444548527537E-23,5.7640310877500674E-24,2.215921681496949E-24,-3.217726487279475E-24
94,-1.143297283298903E-23,-3.3814249768150774E-24,-1.0822991315942543E-23,6.114584202739988E-24,2.3114870833523328E-24,-3.36272227587162E-24
94.5,-1.1942794571752612E-23,-3.3816589814507694E-24,-1.1189263122211773E-23,6.4882102998464445E-24,2.4113722112173995E-24,-3.514886371756097E-24
94.99999999999999,-1.2475937202992162E-23,-3.370755744682877E-24,-1.1563997764852733E-23,6.886496070300708E-24,2.515802175314899E-24,-3.674653318332621E-24
95.49999999999999,-1.3033367724576521E-23,-3.3472799679164094E-24,-1.1946843330051214E-23,7.311133533011437E-24,2.6250172387395216E-24,-3.842492180429994E-24
96,-1.3616062232788006E-23,-3.3096526774008995E-24,-1.2337351020539612E-23,7.763919045024885E-24,2.7392726190780508E-24,-4.018909122805373E-24
96.5,-1.4224988800330678E-23,-3.256124327269541E-24,-1.2734946481874666E-23,8.246762084265544E-24,2.8588407162034904E-24,-4.204452666171105E-24
97,-1.4861105921896805E-23,-3.1847760090539864E-24,-1.3138927266151154E-23,8.761682097051556E-24,2.9840120344001503E-24,-4.399716733873835E-24
97.5,-1.5525356319012594E-23,-3.093494940672408E-24,-1.354844042912756E-23,9.31082256357754E-24,3.1150958472108603E-24,-4.605343863675057E-24
97.99999999999999,-1.6218638145280344E-23,-2.9799555213793637E-24,-1.396245198816318E-23,9.896440415032502E-24,3.252423690314638E-24,-4.822034344420694E-24
98.49999999999999,-1.6941799832961276E-23,-2.841610686702697E-24,-1.4379735150021876E-23,1.0520911118372957E-23,3.39634913822206E-24,-5.050549535640354E-24
98.99999999999999,-1.7695608884049414E-23,-2.6756696118662907E-24,-1.479883426490399E-23,1.1186720810934624E-23,3.5472504204897005E-24,-5.291720297788488E-24
99.5,-1.8480739800353128E-23,-2.4790857864143702E-24,-1.5218046246268747E-23,1.1896464466865445E-23,3.7055326082069795E-24,-5.546453638423016E-24
