% Model:              2D-Au-Plate_from_psi.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:26
% Dimension:          1
% Nodes:              100
% Expressions:        6
% Description:        Table graph
% psi,real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
0,-2.1090378625192477E-23,-8.269497163692142E-24,-2.0511345517687578E-23,5.1977998999975736E-23,1.0522955544607594E-23,-2.879318458664187E-24
0.03173325912716963,-2.0574475490684125E-23,-9.611140064496508E-24,-2.0502791057467078E-23,5.195632105961704E-23,1.0710039935646687E-23,-2.2128342561420445E-24
0.06346651825433926,-2.0077003165530172E-23,-1.0957652958548726E-23,-2.0477140730850868E-23,5.189132031892837E-23,1.090564181685429E-23,-1.5497761091306024E-24
0.0951997773815089,-1.9598856210825328E-23,-1.2307025456376812E-23,-2.0434433724607128E-23,5.1783096081471495E-23,1.1109527759139247E-23,-8.911776939104572E-25
0.12693303650867852,-1.914099430123064E-23,-1.365726369267539E-23,-2.0374735432648333E-23,5.163181406259914E-23,1.1321494228535154E-23,-2.3808505340667866E-25
0.15866629563584814,-1.870444479451144E-23,-1.5006386577900174E-23,-2.0298137581947268E-23,5.1437706708513815E-23,1.1541367499049348E-23,4.084412159259872E-25
0.1903995547630178,-1.8290305790726005E-23,-1.6352421932644208E-23,-2.020475841274363E-23,5.1201073652955886E-23,1.1769003720797049E-23,1.0473235910061616E-24
0.2221328138901874,-1.7899749722104642E-23,-1.7693402407513774E-23,-2.009474291712037E-23,5.0922282321760545E-23,1.2004289131260507E-23,1.6774650134272674E-24
0.25386607301735703,-1.7534027517430964E-23,-1.9027361083064264E-23,-1.996826314127361E-23,5.06017686988573E-23,1.2247140396233857E-23,2.2977459918491544E-24
0.28559933214452665,-1.7194473387401057E-23,-2.03523266335643E-23,-1.982551855826931E-23,5.024003827087324E-23,1.2497505064931532E-23,2.907021357220136E-24
0.3173325912716963,-1.688251027981563E-23,-2.1666317924435956E-23,-1.966673651962138E-23,4.983766717147534E-23,1.2755362120646332E-23,3.504116606521131E-24
0.3490658503988659,-1.6599656055081406E-23,-2.2967337895744422E-23,-1.9492172795782087E-23,4.9395303551043603E-23,1.3020722603953554E-23,4.087823763506185E-24
0.3807991095260356,-1.634753043298383E-23,-2.4253366562570183E-23,-1.9302112217621084E-23,4.8913669202236523E-23,1.329363027942188E-23,4.65689667645703E-24
0.4125323686532052,-1.6127862760210386E-23,-2.5522352936711203E-23,-1.909686943318185E-23,4.8393561477701874E-23,1.3574162308642223E-23,5.210045663212963E-24
0.4442656277803748,-1.594250064382097E-23,-2.6772205642261374E-23,-1.8876789796567928E-23,4.783585554261542E-23,1.386242988153428E-23,5.745931402654004E-24
0.47599888690754444,-1.5793419487387467E-23,-2.800078195921513E-23,-1.8642250408713032E-23,4.7241507012097756E-23,1.415857874357323E-23,6.263157959427586E-24
0.5077321460347141,-1.568273295214786E-23,-2.9205874983373486E-23,-1.8393661333101677E-23,4.661155503198974E-23,1.4462789537819976E-23,6.760264815141523E-24
0.5394654051618837,-1.5612704342805072E-23,-3.038519853638736E-23,-1.8131467013321345E-23,4.5947125871084893E-23,1.477527785619069E-23,7.2357177647701E-24
0.5711986642890533,-1.558575888324214E-23,-3.153636939565087E-23,-1.7856147923649E-23,4.5249437103892827E-23,1.509629386268309E-23,7.687898522150698E-24
0.6029319234162229,-1.5604496797049362E-23,-3.265688633890947E-23,-1.756822248878982E-23,4.4519802475475486E-23,1.5426121310276785E-23,8.11509286406028E-24
0.6346651825433925,-1.567170703539492E-23,-3.374410541214685E-23,-1.726824931445388E-23,4.375963755395915E-23,1.5765075720437783E-23,8.51547712987464E-24
0.6663984416705622,-1.5790381392440942E-23,-3.479521073131637E-23,-1.6956829776606711E-23,4.297046629199306E-23,1.6113501426453097E-23,8.887102885445134E-24
0.6981317007977318,-1.5963728605715053E-23,-3.58071800197943E-23,-1.6634611024088524E-23,4.215392863571369E-23,1.6471767095381467E-23,9.227879558965307E-24
0.7298649599249014,-1.6195187841591823E-23,-3.6776743966617194E-23,-1.6302289456598002E-23,4.1311789338328064E-23,1.6840259233644683E-23,9.53555486830401E-24
0.7615982190520711,-1.6488440696230485E-23,-3.770033837156332E-23,-1.5960614747668444E-23,4.0445948154787024E-23,1.721937304284496E-23,9.807692891010041E-24
0.7933314781792408,-1.6847420476543173E-23,-3.857404793245357E-23,-1.5610394489837502E-23,3.9558451613147783E-23,1.7609499819327206E-23,1.0041649690766317E-23
0.8250647373064104,-1.7276317034557607E-23,-3.9393540445840145E-23,-1.5252499545995523E-23,3.865150657548166E-23,1.8011009877119008E-23,1.0234546522983195E-23
0.85679799643358,-1.7779574775556755E-23,-4.015399016406649E-23,-1.4887870195895457E-23,3.772749581380309E-23,1.8424229713677435E-23,1.0383240819326035E-23
