% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:29
% Dimension:          1
% Nodes:              151
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
90,3.5036855031735595E-32,8.757209445107631E-32,4.2526644358187825E-32,-8.916634567198437E-32,3.622916878296935E-32,-4.675855297639188E-32
90.5,3.650401551785341E-32,8.966102755225265E-32,4.311007143353457E-32,-9.17722281420432E-32,3.612134034957467E-32,-4.783684490153149E-32
91,3.803996383152788E-32,9.178244937358049E-32,4.3671111533803643E-32,-9.445314917347542E-32,3.598544464535766E-32,-4.8915637775817465E-32
91.5,3.9648185453117094E-32,9.393541712331986E-32,4.420668734792434E-32,-9.721105925743412E-32,3.582128616489226E-32,-4.99941197597325E-32
91.99999999999999,4.133225807371092E-32,9.611870355167291E-32,4.4713449264386797E-32,-1.000477813346307E-31,3.562885348996673E-32,-5.107076586861501E-32
92.49999999999999,4.3095979345889375E-32,9.833090733448365E-32,4.5187772094698955E-32,-1.0296517805325178E-31,3.5408093201523265E-32,-5.214456780075439E-32
93,4.4943264095771294E-32,1.0057034410139847E-31,4.562573957081798E-32,-1.0596500446252238E-31,3.515907070721219E-32,-5.321422511901431E-32
93.5,4.687822463941752E-32,1.0283504974647367E-31,4.602309938150281E-32,-1.0904896687419301E-31,3.4881860390302117E-32,-5.427869378943275E-32
94,4.8905074072471586E-32,1.05122730623594E-31,4.637528512893749E-32,-1.12218620710667E-31,3.4576604232862043E-32,-5.533661700033205E-32
94.5,5.102821404247153E-32,1.074307539522936E-31,4.6677356677798566E-32,-1.154754222227488E-31,3.424357459138543E-32,-5.638694695113493E-32
94.99999999999999,5.325216100666937E-32,1.0975607226822815E-31,4.692399118571731E-32,-1.1882062789731763E-31,3.388310169631272E-32,-5.742839008823582E-32
95.49999999999999,5.558157943343727E-32,1.1209522986451424E-31,4.710947054242529E-32,-1.2225531866539186E-31,3.349550253556913E-32,-5.846003432609786E-32
